Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,3,African American Studies,5B,1,Clg of Letters & Science,african american studies
1,2017 Spring,1,African American Studies,11B,1,Clg of Letters & Science,african american studies
2,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,african american studies
3,2017 Spring,2,African American Studies,101,1,Clg of Letters & Science,african american studies
4,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,african american studies
5,2017 Spring,3,African American Studies,117,1,Clg of Letters & Science,african american studies
6,2017 Spring,1,African American Studies,131,1,Clg of Letters & Science,african american studies
7,2017 Spring,2,African American Studies,139,2,Clg of Letters & Science,african american studies
8,2017 Spring,2,African American Studies,142AC,1,Clg of Letters & Science,african american studies
9,2017 Spring,1,African American Studies,C156,1,Clg of Letters & Science,african american studies
10,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,african american studies
11,2017 Spring,1,African American Studies,159,1,Clg of Letters & Science,african american studies
12,2017 Spring,4,African American Studies,198,1,Clg of Letters & Science,african american studies
13,2017 Spring,1,American Studies,10,1,Clg of Letters & Science,african american studies
14,2017 Spring,1,American Studies,H195,1,Clg of Letters & Science,african american studies
15,2017 Spring,1,Anthropology,112,1,Clg of Letters & Science,african american studies
16,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,african american studies
17,2017 Spring,1,Anthropology,183,1,Clg of Letters & Science,african american studies
18,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,african american studies
19,2017 Spring,1,Chicano Studies,110,1,Clg of Letters & Science,african american studies
20,2017 Spring,1,Comparative Literature,R1A,3,Clg of Letters & Science,african american studies
21,2017 Spring,1,Education,197,63,Grad School of Education,african american studies
22,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,5,Clg of Natural Resources,african american studies
23,2017 Spring,1,Ethnic Studies,197,11,Clg of Letters & Science,african american studies
24,2017 Spring,1,History,103D,2,Clg of Letters & Science,african american studies
25,2017 Spring,1,History,103S,1,Clg of Letters & Science,african american studies
26,2017 Spring,1,Mathematics,198,2,Clg of Letters & Science,african american studies
27,2017 Spring,1,Molecular & Cell Biology,100B,1,Clg of Letters & Science,african american studies
28,2017 Spring,1,Molecular & Cell Biology,140,1,Clg of Letters & Science,african american studies
29,2017 Spring,1,Nutritional Science & Tox,160,1,Clg of Natural Resources,african american studies
30,2017 Spring,1,Physical Education,1,18,Clg of Letters & Science,african american studies
31,2017 Spring,1,Physical Education,1,21,Clg of Letters & Science,african american studies
32,2017 Spring,1,Physics,8A,2,Clg of Letters & Science,african american studies
33,2017 Spring,1,Political Science,109H,1,Clg of Letters & Science,african american studies
34,2017 Spring,1,Political Science,109P,1,Clg of Letters & Science,african american studies
35,2017 Spring,1,Political Science,179,1,Clg of Letters & Science,african american studies
36,2017 Spring,1,Psychology,160,1,Clg of Letters & Science,african american studies
37,2017 Spring,1,Public Health,198,10,School of Public Health,african american studies
38,2017 Spring,1,Public Health,198,17,School of Public Health,african american studies
39,2017 Spring,1,Social Welfare,185AC,1,School of Social Welfare,african american studies
40,2017 Spring,1,Statistics,2,1,Clg of Letters & Science,african american studies
