Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,5B,1,Clg of Letters & Science,american studies
1,2017 Spring,3,African American Studies,117,1,Clg of Letters & Science,american studies
2,2017 Spring,4,African American Studies,139,2,Clg of Letters & Science,american studies
3,2017 Spring,5,African American Studies,142AC,1,Clg of Letters & Science,american studies
4,2017 Spring,1,African American Studies,C156,1,Clg of Letters & Science,american studies
5,2017 Spring,1,African American Studies,158B,1,Clg of Letters & Science,american studies
6,2017 Spring,1,African American Studies,197,1,Clg of Letters & Science,american studies
7,2017 Spring,2,African American Studies,198,2,Clg of Letters & Science,american studies
8,2017 Spring,3,American Studies,10,1,Clg of Letters & Science,american studies
9,2017 Spring,22,American Studies,101,1,Clg of Letters & Science,american studies
10,2017 Spring,18,American Studies,102,1,Clg of Letters & Science,american studies
11,2017 Spring,7,American Studies,102,2,Clg of Letters & Science,american studies
12,2017 Spring,5,American Studies,110,1,Clg of Letters & Science,american studies
13,2017 Spring,8,American Studies,H110,1,Clg of Letters & Science,american studies
14,2017 Spring,8,American Studies,H110,2,Clg of Letters & Science,american studies
15,2017 Spring,3,American Studies,C111E,1,Clg of Letters & Science,american studies
16,2017 Spring,6,American Studies,C112B,1,Clg of Letters & Science,american studies
17,2017 Spring,1,American Studies,C152,1,Clg of Letters & Science,american studies
18,2017 Spring,13,American Studies,C172,1,Clg of Letters & Science,american studies
19,2017 Spring,20,American Studies,191,1,Clg of Letters & Science,american studies
20,2017 Spring,17,American Studies,191,2,Clg of Letters & Science,american studies
21,2017 Spring,19,American Studies,191,3,Clg of Letters & Science,american studies
22,2017 Spring,12,American Studies,H195,1,Clg of Letters & Science,american studies
23,2017 Spring,1,Anthropology,137,1,Clg of Letters & Science,american studies
24,2017 Spring,1,Anthropology,174AC,1,Clg of Letters & Science,american studies
25,2017 Spring,1,Anthropology,189,1,Clg of Letters & Science,american studies
26,2017 Spring,1,Art Practice,15,1,Clg of Letters & Science,american studies
27,2017 Spring,1,Art Practice,100,1,Clg of Letters & Science,american studies
28,2017 Spring,1,Art Practice,160,1,Clg of Letters & Science,american studies
29,2017 Spring,1,Asian Studies,198,5,Clg of Letters & Science,american studies
30,2017 Spring,1,Astronomy,198,1,Clg of Letters & Science,american studies
31,2017 Spring,2,Business Admin-Undergrad,96,2,Haas School of Business,american studies
32,2017 Spring,1,Business Admin-Undergrad,102B,2,Haas School of Business,american studies
33,2017 Spring,1,Business Admin-Undergrad,115,1,Haas School of Business,american studies
34,2017 Spring,1,Business Admin-Undergrad,119,1,Haas School of Business,american studies
35,2017 Spring,1,Business Admin-Undergrad,155,1,Haas School of Business,american studies
36,2017 Spring,2,Business Admin-Undergrad,157,1,Haas School of Business,american studies
37,2017 Spring,2,Business Admin-Undergrad,160,1,Haas School of Business,american studies
38,2017 Spring,2,Business Admin-Undergrad,167,1,Haas School of Business,american studies
39,2017 Spring,1,Business Admin-Undergrad,178,1,Haas School of Business,american studies
40,2017 Spring,1,Business Admin-Undergrad,195A,1,Haas School of Business,american studies
41,2017 Spring,4,Business Admin-Undergrad,196,2,Haas School of Business,american studies
42,2017 Spring,2,Business Admin-Undergrad,198,7,Haas School of Business,american studies
43,2017 Spring,1,Business Admin-Undergrad,198,8,Haas School of Business,american studies
44,2017 Spring,3,Chicano Studies,50,1,Clg of Letters & Science,american studies
45,2017 Spring,2,Chicano Studies,176,1,Clg of Letters & Science,american studies
46,2017 Spring,1,Chicano Studies,180,1,Clg of Letters & Science,american studies
47,2017 Spring,2,Chicano Studies,180,2,Clg of Letters & Science,american studies
48,2017 Spring,1,Chinese,1B,2,Clg of Letters & Science,american studies
49,2017 Spring,1,City & Regional Planning,114,1,Clg of Environmental Design,american studies
50,2017 Spring,1,City & Regional Planning,118AC,1,Clg of Environmental Design,american studies
51,2017 Spring,1,Cognitive Science,C127,1,Clg of Letters & Science,american studies
