Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,anthropology
1,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,anthropology
2,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,anthropology
3,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,anthropology
4,2017 Spring,3,Anthropology,1,1,Clg of Letters & Science,anthropology
5,2017 Spring,12,Anthropology,2AC,1,Clg of Letters & Science,anthropology
6,2017 Spring,4,Anthropology,3AC,1,Clg of Letters & Science,anthropology
7,2017 Spring,1,Anthropology,84,1,Clg of Letters & Science,anthropology
8,2017 Spring,8,Anthropology,C100,1,Clg of Letters & Science,anthropology
9,2017 Spring,64,Anthropology,112,1,Clg of Letters & Science,anthropology
10,2017 Spring,20,Anthropology,119,1,Clg of Letters & Science,anthropology
11,2017 Spring,12,Anthropology,121AC,1,Clg of Letters & Science,anthropology
12,2017 Spring,15,Anthropology,122E,1,Clg of Letters & Science,anthropology
13,2017 Spring,10,Anthropology,127B,1,Clg of Letters & Science,anthropology
14,2017 Spring,16,Anthropology,128,1,Clg of Letters & Science,anthropology
15,2017 Spring,19,Anthropology,128,2,Clg of Letters & Science,anthropology
16,2017 Spring,16,Anthropology,134,1,Clg of Letters & Science,anthropology
17,2017 Spring,15,Anthropology,137,1,Clg of Letters & Science,anthropology
18,2017 Spring,15,Anthropology,156,1,Clg of Letters & Science,anthropology
19,2017 Spring,28,Anthropology,156A,1,Clg of Letters & Science,anthropology
20,2017 Spring,20,Anthropology,160AC,1,Clg of Letters & Science,anthropology
21,2017 Spring,4,Anthropology,162,1,Clg of Letters & Science,anthropology
22,2017 Spring,16,Anthropology,169B,1,Clg of Letters & Science,anthropology
23,2017 Spring,7,Anthropology,170,1,Clg of Letters & Science,anthropology
24,2017 Spring,47,Anthropology,174AC,1,Clg of Letters & Science,anthropology
25,2017 Spring,15,Anthropology,180,1,Clg of Letters & Science,anthropology
26,2017 Spring,19,Anthropology,183,1,Clg of Letters & Science,anthropology
27,2017 Spring,6,Anthropology,189,1,Clg of Letters & Science,anthropology
28,2017 Spring,9,Anthropology,189,2,Clg of Letters & Science,anthropology
29,2017 Spring,12,Anthropology,189,3,Clg of Letters & Science,anthropology
30,2017 Spring,11,Anthropology,189,4,Clg of Letters & Science,anthropology
31,2017 Spring,5,Anthropology,196,1,Clg of Letters & Science,anthropology
32,2017 Spring,2,Anthropology,198,20,Clg of Letters & Science,anthropology
33,2017 Spring,1,Art Practice,12,1,Clg of Letters & Science,anthropology
34,2017 Spring,2,Art Practice,15,1,Clg of Letters & Science,anthropology
35,2017 Spring,1,Art Practice,117,1,Clg of Letters & Science,anthropology
36,2017 Spring,1,Art Practice,185,2,Clg of Letters & Science,anthropology
37,2017 Spring,1,Asian American Studies,176,1,Clg of Letters & Science,anthropology
38,2017 Spring,1,Astronomy,98,2,Clg of Letters & Science,anthropology
39,2017 Spring,2,Biology,1B,1,Clg of Letters & Science,anthropology
