Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,applied math
1,2017 Spring,1,African American Studies,131,1,Clg of Letters & Science,applied math
2,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,applied math
3,2017 Spring,1,American Studies,C172,1,Clg of Letters & Science,applied math
4,2017 Spring,2,Anthropology,2AC,1,Clg of Letters & Science,applied math
5,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,applied math
6,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,applied math
7,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,applied math
8,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,applied math
9,2017 Spring,1,Anthropology,198,20,Clg of Letters & Science,applied math
10,2017 Spring,2,Arabic,20B,1,Clg of Letters & Science,applied math
11,2017 Spring,1,Architecture,98,5,Clg of Environmental Design,applied math
12,2017 Spring,1,Architecture,170B,1,Clg of Environmental Design,applied math
13,2017 Spring,3,Architecture,198,4,Clg of Environmental Design,applied math
14,2017 Spring,1,Architecture,198BC,2,Clg of Environmental Design,applied math
15,2017 Spring,2,Armenian,126,1,Clg of Letters & Science,applied math
16,2017 Spring,1,Art Practice,123,1,Clg of Letters & Science,applied math
17,2017 Spring,1,Art Practice,180,1,Clg of Letters & Science,applied math
18,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,applied math
19,2017 Spring,2,Asian American Studies,132AC,1,Clg of Letters & Science,applied math
20,2017 Spring,1,Asian American Studies,198,4,Clg of Letters & Science,applied math
21,2017 Spring,2,Asian Studies,198,2,Clg of Letters & Science,applied math
22,2017 Spring,2,Asian Studies,198,4,Clg of Letters & Science,applied math
23,2017 Spring,1,Astronomy,7B,1,Clg of Letters & Science,applied math
24,2017 Spring,1,Astronomy,C12,1,Clg of Letters & Science,applied math
25,2017 Spring,1,Astronomy,C161,1,Clg of Letters & Science,applied math
26,2017 Spring,1,Astronomy,198,1,Clg of Letters & Science,applied math
27,2017 Spring,1,Astronomy,198,2,Clg of Letters & Science,applied math
28,2017 Spring,3,Bioengineering,25,1,Clg of Engineering,applied math
29,2017 Spring,1,Biology,1A,2,Clg of Letters & Science,applied math
30,2017 Spring,1,Buddhist Studies,C115,1,Clg of Letters & Science,applied math
31,2017 Spring,1,Buddhist Studies,C128,1,Clg of Letters & Science,applied math
32,2017 Spring,1,Business Admin-Undergrad,10,1,Haas School of Business,applied math
33,2017 Spring,2,Business Admin-Undergrad,96,1,Haas School of Business,applied math
34,2017 Spring,2,Business Admin-Undergrad,101A,1,Haas School of Business,applied math
35,2017 Spring,3,Business Admin-Undergrad,102A,1,Haas School of Business,applied math
36,2017 Spring,1,Business Admin-Undergrad,103,1,Haas School of Business,applied math
37,2017 Spring,8,Business Admin-Undergrad,103,2,Haas School of Business,applied math
38,2017 Spring,1,Business Admin-Undergrad,104,1,Haas School of Business,applied math
39,2017 Spring,1,Business Admin-Undergrad,105,2,Haas School of Business,applied math
40,2017 Spring,1,Business Admin-Undergrad,106,1,Haas School of Business,applied math
41,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,applied math
42,2017 Spring,4,Business Admin-Undergrad,118,1,Haas School of Business,applied math
43,2017 Spring,3,Business Admin-Undergrad,131,1,Haas School of Business,applied math
44,2017 Spring,2,Business Admin-Undergrad,137,1,Haas School of Business,applied math
45,2017 Spring,1,Business Admin-Undergrad,152,2,Haas School of Business,applied math
46,2017 Spring,1,Business Admin-Undergrad,169,1,Haas School of Business,applied math
47,2017 Spring,1,Business Admin-Undergrad,178,1,Haas School of Business,applied math
48,2017 Spring,1,Business Admin-Undergrad,180,1,Haas School of Business,applied math
49,2017 Spring,1,Business Admin-Undergrad,192B,1,Haas School of Business,applied math
50,2017 Spring,2,Business Admin-Undergrad,198,1,Haas School of Business,applied math
51,2017 Spring,1,Business Admin-Undergrad,198,5,Haas School of Business,applied math
52,2017 Spring,2,Celtic Studies,R1B,2,Clg of Letters & Science,applied math
53,2017 Spring,2,Celtic Studies,173,1,Clg of Letters & Science,applied math
54,2017 Spring,1,Chemical Engineering,198,3,Clg of Chemistry,applied math
55,2017 Spring,1,Chemistry,3BL,1,Clg of Chemistry,applied math
56,2017 Spring,1,Chemistry,98,3,Clg of Chemistry,applied math
57,2017 Spring,2,Chemistry,125,1,Clg of Chemistry,applied math
58,2017 Spring,1,City & Regional Planning,118AC,1,Clg of Environmental Design,applied math
59,2017 Spring,1,Civil & Environmental Eng,103,1,Clg of Engineering,applied math
60,2017 Spring,1,Civil & Environmental Eng,130N,1,Clg of Engineering,applied math
61,2017 Spring,1,Civil & Environmental Eng,155,1,Clg of Engineering,applied math
62,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,applied math
63,2017 Spring,1,Classics,17B,1,Clg of Letters & Science,applied math
64,2017 Spring,1,Classics,28,1,Clg of Letters & Science,applied math
65,2017 Spring,1,Classics,35,1,Clg of Letters & Science,applied math
