Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,24,3,Clg of Letters & Science,architecture
1,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,architecture
2,2017 Spring,1,American Studies,101,1,Clg of Letters & Science,architecture
3,2017 Spring,1,American Studies,C112B,1,Clg of Letters & Science,architecture
4,2017 Spring,1,American Studies,C172,1,Clg of Letters & Science,architecture
5,2017 Spring,3,Anthropology,1,1,Clg of Letters & Science,architecture
6,2017 Spring,4,Anthropology,3AC,1,Clg of Letters & Science,architecture
7,2017 Spring,1,Anthropology,R5B,4,Clg of Letters & Science,architecture
8,2017 Spring,4,Anthropology,121AC,1,Clg of Letters & Science,architecture
9,2017 Spring,7,Anthropology,137,1,Clg of Letters & Science,architecture
10,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,architecture
11,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,architecture
12,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,architecture
13,2017 Spring,63,Architecture,11B,1,Clg of Environmental Design,architecture
14,2017 Spring,4,Architecture,98,5,Clg of Environmental Design,architecture
15,2017 Spring,1,Architecture,98,6,Clg of Environmental Design,architecture
16,2017 Spring,8,Architecture,98BC,1,Clg of Environmental Design,architecture
17,2017 Spring,8,Architecture,98BC,2,Clg of Environmental Design,architecture
18,2017 Spring,133,Architecture,100B,1,Clg of Environmental Design,architecture
19,2017 Spring,55,Architecture,100D,1,Clg of Environmental Design,architecture
20,2017 Spring,3,Architecture,100D,2,Clg of Environmental Design,architecture
21,2017 Spring,2,Architecture,100D,3,Clg of Environmental Design,architecture
22,2017 Spring,1,Architecture,100D,4,Clg of Environmental Design,architecture
23,2017 Spring,14,Architecture,100D,5,Clg of Environmental Design,architecture
24,2017 Spring,13,Architecture,102B,1,Clg of Environmental Design,architecture
25,2017 Spring,9,Architecture,102B,2,Clg of Environmental Design,architecture
26,2017 Spring,14,Architecture,109,1,Clg of Environmental Design,architecture
27,2017 Spring,1,Architecture,129,1,Clg of Environmental Design,architecture
28,2017 Spring,1,Architecture,129,2,Clg of Environmental Design,architecture
