Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,African American Studies,28AC,1,Clg of Letters & Science,art
1,2017 Spring,1,American Studies,102,2,Clg of Letters & Science,art
2,2017 Spring,1,American Studies,H110,2,Clg of Letters & Science,art
3,2017 Spring,1,Anthropology,162,1,Clg of Letters & Science,art
4,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,art
5,2017 Spring,1,Armenian,126,1,Clg of Letters & Science,art
6,2017 Spring,1,Art Practice,13,1,Clg of Letters & Science,art
7,2017 Spring,1,Art Practice,100,1,Clg of Letters & Science,art
8,2017 Spring,13,Art Practice,102,1,Clg of Letters & Science,art
9,2017 Spring,3,Art Practice,102,2,Clg of Letters & Science,art
10,2017 Spring,4,Art Practice,117,1,Clg of Letters & Science,art
11,2017 Spring,8,Art Practice,118,1,Clg of Letters & Science,art
12,2017 Spring,20,Art Practice,119,1,Clg of Letters & Science,art
13,2017 Spring,11,Art Practice,120,1,Clg of Letters & Science,art
14,2017 Spring,11,Art Practice,123,1,Clg of Letters & Science,art
15,2017 Spring,7,Art Practice,137,1,Clg of Letters & Science,art
16,2017 Spring,16,Art Practice,138,1,Clg of Letters & Science,art
17,2017 Spring,5,Art Practice,141,1,Clg of Letters & Science,art
18,2017 Spring,11,Art Practice,160,1,Clg of Letters & Science,art
19,2017 Spring,2,Art Practice,160,2,Clg of Letters & Science,art
20,2017 Spring,8,Art Practice,180,1,Clg of Letters & Science,art
21,2017 Spring,14,Art Practice,185,1,Clg of Letters & Science,art
22,2017 Spring,16,Art Practice,185,2,Clg of Letters & Science,art
23,2017 Spring,1,Art Practice,198,1,Clg of Letters & Science,art
24,2017 Spring,2,Art Practice,198,5,Clg of Letters & Science,art
25,2017 Spring,1,Asian American Studies,198,2,Clg of Letters & Science,art
26,2017 Spring,3,Asian Studies,198,2,Clg of Letters & Science,art
27,2017 Spring,2,Asian Studies,198,4,Clg of Letters & Science,art
28,2017 Spring,1,Buddhist Studies,C115,1,Clg of Letters & Science,art
29,2017 Spring,1,Business Admin-Undergrad,C5,1,Haas School of Business,art
30,2017 Spring,1,Business Admin-Undergrad,131,1,Haas School of Business,art
31,2017 Spring,1,Business Admin-Undergrad,180,1,Haas School of Business,art
32,2017 Spring,1,Business Admin-Undergrad,190T,3,Haas School of Business,art
33,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,art
34,2017 Spring,1,Chemistry,1B,1,Clg of Chemistry,art
35,2017 Spring,3,Chicano Studies,180AC,1,Clg of Letters & Science,art
36,2017 Spring,3,Chicano Studies,197,4,Clg of Letters & Science,art
37,2017 Spring,1,Chinese,1B,4,Clg of Letters & Science,art
38,2017 Spring,1,Computer Science,186,1,Clg of Engineering,art
39,2017 Spring,1,Czech,26B,1,Clg of Letters & Science,art
40,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,art
41,2017 Spring,1,Education,140AC,1,Grad School of Education,art
42,2017 Spring,1,Education,182AC,1,Grad School of Education,art
43,2017 Spring,1,Electrical Engineering,16A,1,Clg of Engineering,art
