Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,Asian American Studies,20A,1,Clg of Letters & Science,asian american and asian diaspora studies
1,2017 Spring,3,Asian American Studies,121,1,Clg of Letters & Science,asian american and asian diaspora studies
2,2017 Spring,1,Asian American Studies,138,1,Clg of Letters & Science,asian american and asian diaspora studies
3,2017 Spring,2,Asian American Studies,144,1,Clg of Letters & Science,asian american and asian diaspora studies
4,2017 Spring,2,Asian American Studies,151AC,1,Clg of Letters & Science,asian american and asian diaspora studies
5,2017 Spring,2,Asian American Studies,176,1,Clg of Letters & Science,asian american and asian diaspora studies
6,2017 Spring,1,Asian American Studies,197,3,Clg of Letters & Science,asian american and asian diaspora studies
7,2017 Spring,1,Asian American Studies,197,7,Clg of Letters & Science,asian american and asian diaspora studies
8,2017 Spring,1,Asian American Studies,197,11,Clg of Letters & Science,asian american and asian diaspora studies
9,2017 Spring,1,Asian American Studies,197,12,Clg of Letters & Science,asian american and asian diaspora studies
10,2017 Spring,3,Asian American Studies,197,15,Clg of Letters & Science,asian american and asian diaspora studies
11,2017 Spring,1,Chemistry,3B,2,Clg of Chemistry,asian american and asian diaspora studies
12,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,asian american and asian diaspora studies
13,2017 Spring,1,Chicano Studies,110,1,Clg of Letters & Science,asian american and asian diaspora studies
14,2017 Spring,1,Chicano Studies,176,1,Clg of Letters & Science,asian american and asian diaspora studies
15,2017 Spring,1,Chinese,112,1,Clg of Letters & Science,asian american and asian diaspora studies
16,2017 Spring,2,Computer Science,C8,1,Clg of Engineering,asian american and asian diaspora studies
17,2017 Spring,1,East Asian Languages,C128,1,Clg of Letters & Science,asian american and asian diaspora studies
18,2017 Spring,1,Education,182AC,1,Grad School of Education,asian american and asian diaspora studies
19,2017 Spring,1,Education,183,1,Grad School of Education,asian american and asian diaspora studies
20,2017 Spring,1,Education,195B,1,Grad School of Education,asian american and asian diaspora studies
21,2017 Spring,1,Education,197,21,Grad School of Education,asian american and asian diaspora studies
22,2017 Spring,1,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,asian american and asian diaspora studies
23,2017 Spring,1,"Env Sci, Policy, & Mgmt",88A,1,Clg of Natural Resources,asian american and asian diaspora studies
24,2017 Spring,3,Ethnic Studies,11AC,1,Clg of Letters & Science,asian american and asian diaspora studies
25,2017 Spring,1,Ethnic Studies,21AC,1,Clg of Letters & Science,asian american and asian diaspora studies
26,2017 Spring,2,Ethnic Studies,101B,1,Clg of Letters & Science,asian american and asian diaspora studies
27,2017 Spring,2,Ethnic Studies,122AC,1,Clg of Letters & Science,asian american and asian diaspora studies
28,2017 Spring,1,Ethnic Studies,181AC,1,Clg of Letters & Science,asian american and asian diaspora studies
29,2017 Spring,1,Ethnic Studies,197,3,Clg of Letters & Science,asian american and asian diaspora studies
30,2017 Spring,1,Ethnic Studies,197,10,Clg of Letters & Science,asian american and asian diaspora studies
31,2017 Spring,1,Integrative Biology,140,1,Clg of Letters & Science,asian american and asian diaspora studies
32,2017 Spring,1,LGBT Studies,146,1,Clg of Letters & Science,asian american and asian diaspora studies
33,2017 Spring,1,Media Studies,103,1,Clg of Letters & Science,asian american and asian diaspora studies
34,2017 Spring,1,Physical Education,1,3,Clg of Letters & Science,asian american and asian diaspora studies
35,2017 Spring,1,Physical Education,1,5,Clg of Letters & Science,asian american and asian diaspora studies
36,2017 Spring,2,Physical Education,1,17,Clg of Letters & Science,asian american and asian diaspora studies
37,2017 Spring,1,Physical Education,1,43,Clg of Letters & Science,asian american and asian diaspora studies
38,2017 Spring,1,Physical Education,2,18,Clg of Letters & Science,asian american and asian diaspora studies
39,2017 Spring,1,Public Health,150A,1,School of Public Health,asian american and asian diaspora studies
40,2017 Spring,1,Public Health,150E,1,School of Public Health,asian american and asian diaspora studies
41,2017 Spring,1,South & SE Asian Studies,C145,1,Clg of Letters & Science,asian american and asian diaspora studies
