Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,College Writing Programs,25AC,1,Clg of Letters & Science,asian studies
1,2017 Spring,1,Economics,133,1,Clg of Letters & Science,asian studies
2,2017 Spring,1,Film,160,2,Clg of Letters & Science,asian studies
3,2017 Spring,1,History,117A,1,Clg of Letters & Science,asian studies
4,2017 Spring,1,History,119A,1,Clg of Letters & Science,asian studies
5,2017 Spring,1,Korean,10B,2,Clg of Letters & Science,asian studies
6,2017 Spring,1,Letters & Science,70C,1,Clg of Letters & Science,asian studies
7,2017 Spring,1,Political Economy,101,1,Clg of Letters & Science,asian studies
8,2017 Spring,1,Political Science,143E,1,Clg of Letters & Science,asian studies
9,2017 Spring,1,Sociology,H190B,1,Clg of Letters & Science,asian studies
