Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,3,Anthropology,170,1,Clg of Letters & Science,asian studies china
1,2017 Spring,1,Anthropology,189,4,Clg of Letters & Science,asian studies china
2,2017 Spring,2,Asian Studies,150,1,Clg of Letters & Science,asian studies china
3,2017 Spring,1,Asian Studies,198,2,Clg of Letters & Science,asian studies china
4,2017 Spring,1,Business Admin-Undergrad,120B,1,Haas School of Business,asian studies china
5,2017 Spring,1,Chinese,100XB,1,Clg of Letters & Science,asian studies china
6,2017 Spring,1,Chinese,110B,1,Clg of Letters & Science,asian studies china
7,2017 Spring,1,Chinese,112,1,Clg of Letters & Science,asian studies china
8,2017 Spring,1,Design Innovation,22,1,Clg of Engineering,asian studies china
9,2017 Spring,1,East Asian Languages,105,1,Clg of Letters & Science,asian studies china
10,2017 Spring,1,East Asian Languages,110,1,Clg of Letters & Science,asian studies china
11,2017 Spring,1,Economics,1,1,Clg of Letters & Science,asian studies china
12,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,14,Clg of Natural Resources,asian studies china
13,2017 Spring,1,Ethnic Studies,197,11,Clg of Letters & Science,asian studies china
14,2017 Spring,1,Geography,164,1,Clg of Letters & Science,asian studies china
15,2017 Spring,1,German,1,3,Clg of Letters & Science,asian studies china
16,2017 Spring,1,Global Studies,110Q,1,Clg of Letters & Science,asian studies china
17,2017 Spring,3,History,100F,1,Clg of Letters & Science,asian studies china
18,2017 Spring,1,History,100F,2,Clg of Letters & Science,asian studies china
19,2017 Spring,2,History,117A,1,Clg of Letters & Science,asian studies china
20,2017 Spring,1,History of Art,198,1,Clg of Letters & Science,asian studies china
21,2017 Spring,1,International & Area Stds,102,1,Clg of Letters & Science,asian studies china
22,2017 Spring,1,International & Area Stds,106,1,Clg of Letters & Science,asian studies china
23,2017 Spring,1,International & Area Stds,150,1,Clg of Letters & Science,asian studies china
24,2017 Spring,1,International & Area Stds,150,5,Clg of Letters & Science,asian studies china
25,2017 Spring,1,Music,148,1,Clg of Letters & Science,asian studies china
26,2017 Spring,1,Physical Education,1,19,Clg of Letters & Science,asian studies china
27,2017 Spring,1,Political Science,111AC,1,Clg of Letters & Science,asian studies china
28,2017 Spring,1,Political Science,124C,1,Clg of Letters & Science,asian studies china
29,2017 Spring,1,Political Science,143E,1,Clg of Letters & Science,asian studies china
30,2017 Spring,1,Political Science,179,1,Clg of Letters & Science,asian studies china
31,2017 Spring,1,Political Science,191,4,Clg of Letters & Science,asian studies china
32,2017 Spring,1,Psychology,110,1,Clg of Letters & Science,asian studies china
33,2017 Spring,1,Psychology,131,1,Clg of Letters & Science,asian studies china
34,2017 Spring,1,Psychology,133,1,Clg of Letters & Science,asian studies china
35,2017 Spring,1,Public Policy,190,2,Goldman School Public Policy,asian studies china
36,2017 Spring,1,Public Policy,190,11,Goldman School Public Policy,asian studies china
37,2017 Spring,1,South & SE Asian Studies,120,1,Clg of Letters & Science,asian studies china
38,2017 Spring,1,South & SE Asian Studies,C145,1,Clg of Letters & Science,asian studies china
39,2017 Spring,1,South & SE Asian Studies,150,1,Clg of Letters & Science,asian studies china
40,2017 Spring,1,Statistics,2,1,Clg of Letters & Science,asian studies china
