Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,astrophysics
1,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,astrophysics
2,2017 Spring,6,Astronomy,7B,1,Clg of Letters & Science,astrophysics
3,2017 Spring,14,Astronomy,121,1,Clg of Letters & Science,astrophysics
4,2017 Spring,18,Astronomy,C161,1,Clg of Letters & Science,astrophysics
5,2017 Spring,2,Astronomy,198,1,Clg of Letters & Science,astrophysics
6,2017 Spring,1,Astronomy,198,3,Clg of Letters & Science,astrophysics
7,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,astrophysics
8,2017 Spring,1,Chemistry,1AL,1,Clg of Chemistry,astrophysics
9,2017 Spring,1,Chemistry,4B,1,Clg of Chemistry,astrophysics
10,2017 Spring,1,Chemistry,120A,1,Clg of Chemistry,astrophysics
11,2017 Spring,1,Classics,35,1,Clg of Letters & Science,astrophysics
12,2017 Spring,1,College Writing Programs,R4B,2,Clg of Letters & Science,astrophysics
13,2017 Spring,2,Computer Science,61B,1,Clg of Engineering,astrophysics
14,2017 Spring,1,Computer Science,161,1,Clg of Engineering,astrophysics
15,2017 Spring,1,Computer Science,186,1,Clg of Engineering,astrophysics
16,2017 Spring,2,Computer Science,188,1,Clg of Engineering,astrophysics
17,2017 Spring,1,Computer Science,189,1,Clg of Engineering,astrophysics
18,2017 Spring,1,Computer Science,C191,1,Clg of Engineering,astrophysics
19,2017 Spring,1,Earth & Planetary Science,102,1,Clg of Letters & Science,astrophysics
20,2017 Spring,1,Earth & Planetary Science,104,1,Clg of Letters & Science,astrophysics
21,2017 Spring,1,Earth & Planetary Science,150,1,Clg of Letters & Science,astrophysics
22,2017 Spring,1,Education,40AC,1,Grad School of Education,astrophysics
23,2017 Spring,1,Electrical Engineering,105,1,Clg of Engineering,astrophysics
24,2017 Spring,2,Electrical Engineering,198,2,Clg of Engineering,astrophysics
25,2017 Spring,1,Engineering,157AC,1,Clg of Engineering,astrophysics
26,2017 Spring,1,Ethnic Studies,198,5,Clg of Letters & Science,astrophysics
27,2017 Spring,1,Ethnic Studies,198,15,Clg of Letters & Science,astrophysics
28,2017 Spring,1,Film,151,1,Clg of Letters & Science,astrophysics
29,2017 Spring,1,French,3,3,Clg of Letters & Science,astrophysics
30,2017 Spring,1,Gender & Womens Studies,198,4,Clg of Letters & Science,astrophysics
31,2017 Spring,1,Geography,130,1,Clg of Letters & Science,astrophysics
32,2017 Spring,1,German,174,1,Clg of Letters & Science,astrophysics
33,2017 Spring,1,German,182,1,Clg of Letters & Science,astrophysics
34,2017 Spring,1,History,4B,1,Clg of Letters & Science,astrophysics
35,2017 Spring,1,History,162B,1,Clg of Letters & Science,astrophysics
36,2017 Spring,1,History of Art,R1B,8,Clg of Letters & Science,astrophysics
37,2017 Spring,1,Jewish Studies,198,1,Clg of Letters & Science,astrophysics
38,2017 Spring,1,Letters & Science,C30V,1,Clg of Letters & Science,astrophysics
39,2017 Spring,1,Letters & Science,70A,1,Clg of Letters & Science,astrophysics
40,2017 Spring,1,Letters & Science,C180U,1,Clg of Letters & Science,astrophysics
41,2017 Spring,1,Linguistics,198,2,Clg of Letters & Science,astrophysics
42,2017 Spring,1,Mathematics,98,12,Clg of Letters & Science,astrophysics
43,2017 Spring,2,Mathematics,104,1,Clg of Letters & Science,astrophysics
44,2017 Spring,1,Mathematics,104,6,Clg of Letters & Science,astrophysics
45,2017 Spring,1,Mathematics,113,5,Clg of Letters & Science,astrophysics
46,2017 Spring,2,Mathematics,121B,1,Clg of Letters & Science,astrophysics
47,2017 Spring,3,Mathematics,126,1,Clg of Letters & Science,astrophysics
48,2017 Spring,1,Mathematics,128A,1,Clg of Letters & Science,astrophysics
49,2017 Spring,1,Mathematics,198,2,Clg of Letters & Science,astrophysics
50,2017 Spring,1,Molecular & Cell Biology,50,1,Clg of Letters & Science,astrophysics
51,2017 Spring,1,Molecular & Cell Biology,C103,1,Clg of Letters & Science,astrophysics
52,2017 Spring,1,Molecular & Cell Biology,150,1,Clg of Letters & Science,astrophysics
53,2017 Spring,1,Molecular & Cell Biology,150L,1,Clg of Letters & Science,astrophysics
54,2017 Spring,1,Music,142,1,Clg of Letters & Science,astrophysics
