Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,atmospheric science
1,2017 Spring,1,Civil & Environmental Eng,107,1,Clg of Engineering,atmospheric science
2,2017 Spring,2,Earth & Planetary Science,102,1,Clg of Letters & Science,atmospheric science
3,2017 Spring,1,Earth & Planetary Science,103,1,Clg of Letters & Science,atmospheric science
4,2017 Spring,1,Earth & Planetary Science,150,1,Clg of Letters & Science,atmospheric science
5,2017 Spring,1,Earth & Planetary Science,C180,1,Clg of Letters & Science,atmospheric science
6,2017 Spring,3,Earth & Planetary Science,C182,1,Clg of Letters & Science,atmospheric science
7,2017 Spring,1,Economics,138,1,Clg of Letters & Science,atmospheric science
8,2017 Spring,1,Energy and Resources,102,1,Clg of Natural Resources,atmospheric science
9,2017 Spring,1,Ethnic Studies,21AC,1,Clg of Letters & Science,atmospheric science
10,2017 Spring,2,Geography,143,1,Clg of Letters & Science,atmospheric science
11,2017 Spring,1,History,100D,1,Clg of Letters & Science,atmospheric science
12,2017 Spring,1,Interdisciplinary Studies,198,5,Clg of Letters & Science,atmospheric science
13,2017 Spring,1,Philosophy,3,1,Clg of Letters & Science,atmospheric science
14,2017 Spring,1,Public Policy,C103,1,Goldman School Public Policy,atmospheric science
