Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,bioengineering
1,2017 Spring,1,African American Studies,194B,1,Clg of Letters & Science,bioengineering
2,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,bioengineering
3,2017 Spring,2,Anthropology,3AC,1,Clg of Letters & Science,bioengineering
4,2017 Spring,1,Anthropology,R5B,1,Clg of Letters & Science,bioengineering
5,2017 Spring,2,Anthropology,121AC,1,Clg of Letters & Science,bioengineering
6,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,bioengineering
7,2017 Spring,1,Arabic,1B,7,Clg of Letters & Science,bioengineering
8,2017 Spring,1,Art Practice,198,1,Clg of Letters & Science,bioengineering
9,2017 Spring,1,Asian American Studies,R2A,1,Clg of Letters & Science,bioengineering
10,2017 Spring,1,Asian American Studies,R2B,2,Clg of Letters & Science,bioengineering
11,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,bioengineering
12,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,bioengineering
13,2017 Spring,2,Asian American Studies,132AC,1,Clg of Letters & Science,bioengineering
14,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,bioengineering
15,2017 Spring,19,Bioengineering,11,1,Clg of Engineering,bioengineering
16,2017 Spring,1,Bioengineering,24,1,Clg of Engineering,bioengineering
17,2017 Spring,113,Bioengineering,25,1,Clg of Engineering,bioengineering
18,2017 Spring,3,Bioengineering,84,1,Clg of Engineering,bioengineering
19,2017 Spring,6,Bioengineering,98,16,Clg of Engineering,bioengineering
20,2017 Spring,1,Bioengineering,98,19,Clg of Engineering,bioengineering
21,2017 Spring,1,Bioengineering,98,27,Clg of Engineering,bioengineering
22,2017 Spring,23,Bioengineering,101,1,Clg of Engineering,bioengineering
23,2017 Spring,73,Bioengineering,104,1,Clg of Engineering,bioengineering
24,2017 Spring,45,Bioengineering,110,1,Clg of Engineering,bioengineering
25,2017 Spring,18,Bioengineering,111,1,Clg of Engineering,bioengineering
26,2017 Spring,30,Bioengineering,115,1,Clg of Engineering,bioengineering
27,2017 Spring,35,Bioengineering,121,1,Clg of Engineering,bioengineering
28,2017 Spring,11,Bioengineering,135,1,Clg of Engineering,bioengineering
29,2017 Spring,11,Bioengineering,144,1,Clg of Engineering,bioengineering
30,2017 Spring,7,Bioengineering,163L,10,Clg of Engineering,bioengineering
31,2017 Spring,9,Bioengineering,198,16,Clg of Engineering,bioengineering
32,2017 Spring,4,Bioengineering,198,27,Clg of Engineering,bioengineering
33,2017 Spring,9,Biology,1A,1,Clg of Letters & Science,bioengineering
34,2017 Spring,3,Biology,1A,2,Clg of Letters & Science,bioengineering
35,2017 Spring,10,Biology,1AL,1,Clg of Letters & Science,bioengineering
36,2017 Spring,2,Biology,1AL,2,Clg of Letters & Science,bioengineering
37,2017 Spring,4,Biology,1B,1,Clg of Letters & Science,bioengineering
38,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,bioengineering
39,2017 Spring,3,Business Admin-Undergrad,96,2,Haas School of Business,bioengineering
40,2017 Spring,1,Business Admin-Undergrad,192A,1,Haas School of Business,bioengineering
41,2017 Spring,1,Business Admin-Undergrad,198,2,Haas School of Business,bioengineering
42,2017 Spring,1,Business Admin-Undergrad,198,8,Haas School of Business,bioengineering
43,2017 Spring,1,Chemical Engineering,141,1,Clg of Chemistry,bioengineering
44,2017 Spring,1,Chemical Engineering,150A,1,Clg of Chemistry,bioengineering
45,2017 Spring,5,Chemical Engineering,198,3,Clg of Chemistry,bioengineering
46,2017 Spring,2,Chemistry,1A,1,Clg of Chemistry,bioengineering
47,2017 Spring,1,Chemistry,1A,2,Clg of Chemistry,bioengineering
48,2017 Spring,1,Chemistry,1AL,1,Clg of Chemistry,bioengineering
49,2017 Spring,1,Chemistry,1B,1,Clg of Chemistry,bioengineering
50,2017 Spring,18,Chemistry,3A,1,Clg of Chemistry,bioengineering
51,2017 Spring,50,Chemistry,3A,2,Clg of Chemistry,bioengineering
52,2017 Spring,34,Chemistry,3AL,1,Clg of Chemistry,bioengineering
53,2017 Spring,26,Chemistry,3AL,2,Clg of Chemistry,bioengineering
54,2017 Spring,4,Chemistry,3B,1,Clg of Chemistry,bioengineering
55,2017 Spring,5,Chemistry,3B,2,Clg of Chemistry,bioengineering
56,2017 Spring,5,Chemistry,3BL,1,Clg of Chemistry,bioengineering
57,2017 Spring,2,Chemistry,3BL,2,Clg of Chemistry,bioengineering
58,2017 Spring,1,Chemistry,120A,1,Clg of Chemistry,bioengineering
59,2017 Spring,2,Chemistry,130B,1,Clg of Chemistry,bioengineering
60,2017 Spring,1,Chicano Studies,R1A,1,Clg of Letters & Science,bioengineering
61,2017 Spring,1,Chicano Studies,194B,1,Clg of Letters & Science,bioengineering
62,2017 Spring,1,Chinese,10Y,1,Clg of Letters & Science,bioengineering
63,2017 Spring,1,Chinese,110B,1,Clg of Letters & Science,bioengineering
64,2017 Spring,1,Civil & Environmental Eng,98,5,Clg of Engineering,bioengineering
65,2017 Spring,1,Classics,130,1,Clg of Letters & Science,bioengineering
66,2017 Spring,1,Classics,161,1,Clg of Letters & Science,bioengineering
67,2017 Spring,1,Cognitive Science,198,5,Clg of Letters & Science,bioengineering
68,2017 Spring,1,College Writing Programs,R1A,6,Clg of Letters & Science,bioengineering
69,2017 Spring,2,College Writing Programs,R4B,1,Clg of Letters & Science,bioengineering
70,2017 Spring,2,College Writing Programs,R4B,6,Clg of Letters & Science,bioengineering
71,2017 Spring,1,College Writing Programs,R4B,8,Clg of Letters & Science,bioengineering
72,2017 Spring,1,College Writing Programs,R4B,13,Clg of Letters & Science,bioengineering
73,2017 Spring,1,College Writing Programs,10B,1,Clg of Letters & Science,bioengineering
74,2017 Spring,2,College Writing Programs,106,1,Clg of Letters & Science,bioengineering
75,2017 Spring,1,College Writing Programs,130,1,Clg of Letters & Science,bioengineering
76,2017 Spring,1,College Writing Programs,150AC,1,Clg of Letters & Science,bioengineering
77,2017 Spring,2,Comparative Literature,R1A,1,Clg of Letters & Science,bioengineering
78,2017 Spring,1,Comparative Literature,R1A,5,Clg of Letters & Science,bioengineering
79,2017 Spring,1,Comparative Literature,R1B,2,Clg of Letters & Science,bioengineering
80,2017 Spring,1,Comparative Literature,R1B,13,Clg of Letters & Science,bioengineering
81,2017 Spring,1,Comparative Literature,60AC,1,Clg of Letters & Science,bioengineering
82,2017 Spring,1,Computer Science,9F,1,Clg of Engineering,bioengineering
83,2017 Spring,1,Computer Science,9H,1,Clg of Engineering,bioengineering
84,2017 Spring,35,Computer Science,61A,1,Clg of Engineering,bioengineering
85,2017 Spring,23,Computer Science,61B,1,Clg of Engineering,bioengineering
86,2017 Spring,6,Computer Science,61C,1,Clg of Engineering,bioengineering
87,2017 Spring,18,Computer Science,70,1,Clg of Engineering,bioengineering
88,2017 Spring,1,Computer Science,97,213,Clg of Engineering,bioengineering
89,2017 Spring,3,Computer Science,160,1,Clg of Engineering,bioengineering
90,2017 Spring,3,Computer Science,160,2,Clg of Engineering,bioengineering
91,2017 Spring,6,Computer Science,161,1,Clg of Engineering,bioengineering
92,2017 Spring,1,Computer Science,162,1,Clg of Engineering,bioengineering
93,2017 Spring,5,Computer Science,170,1,Clg of Engineering,bioengineering
94,2017 Spring,2,Computer Science,184,1,Clg of Engineering,bioengineering
95,2017 Spring,2,Computer Science,186,1,Clg of Engineering,bioengineering
96,2017 Spring,2,Computer Science,188,1,Clg of Engineering,bioengineering
97,2017 Spring,8,Computer Science,189,1,Clg of Engineering,bioengineering
98,2017 Spring,1,Computer Science,195,1,Clg of Engineering,bioengineering
99,2017 Spring,1,Computer Science,197,203,Clg of Engineering,bioengineering
100,2017 Spring,7,Computer Science,197,214,Clg of Engineering,bioengineering
101,2017 Spring,2,Computer Science,198,1,Clg of Engineering,bioengineering
102,2017 Spring,1,Computer Science,198,49,Clg of Engineering,bioengineering
103,2017 Spring,2,Computer Science,198,58,Clg of Engineering,bioengineering
104,2017 Spring,2,Computer Science,198,67,Clg of Engineering,bioengineering
105,2017 Spring,1,Computer Science,198,75,Clg of Engineering,bioengineering
106,2017 Spring,1,Computer Science,198,303,Clg of Engineering,bioengineering
107,2017 Spring,1,Computer Science,198,642,Clg of Engineering,bioengineering
108,2017 Spring,1,Design Innovation,21,1,Clg of Engineering,bioengineering
109,2017 Spring,3,Design Innovation,22,1,Clg of Engineering,bioengineering
110,2017 Spring,3,Design Innovation,98,1,Clg of Engineering,bioengineering
111,2017 Spring,1,Earth & Planetary Science,C12,1,Clg of Letters & Science,bioengineering
112,2017 Spring,1,East Asian Languages,R1B,2,Clg of Letters & Science,bioengineering
113,2017 Spring,1,East Asian Languages,105,1,Clg of Letters & Science,bioengineering
114,2017 Spring,1,Economics,1,1,Clg of Letters & Science,bioengineering
115,2017 Spring,1,Economics,2,1,Clg of Letters & Science,bioengineering
116,2017 Spring,1,Education,98,13,Grad School of Education,bioengineering
117,2017 Spring,1,Education,140AC,3,Grad School of Education,bioengineering
118,2017 Spring,1,Education,182AC,1,Grad School of Education,bioengineering
119,2017 Spring,1,Education,190AC,3,Grad School of Education,bioengineering
120,2017 Spring,1,Education,198,35,Grad School of Education,bioengineering
121,2017 Spring,39,Electrical Engineering,16A,1,Clg of Engineering,bioengineering
122,2017 Spring,9,Electrical Engineering,16B,1,Clg of Engineering,bioengineering
123,2017 Spring,5,Electrical Engineering,105,1,Clg of Engineering,bioengineering
124,2017 Spring,2,Electrical Engineering,117,1,Clg of Engineering,bioengineering
125,2017 Spring,5,Electrical Engineering,120,1,Clg of Engineering,bioengineering
126,2017 Spring,1,Electrical Engineering,127,1,Clg of Engineering,bioengineering
127,2017 Spring,2,Electrical Engineering,C128,1,Clg of Engineering,bioengineering
128,2017 Spring,2,Electrical Engineering,143,1,Clg of Engineering,bioengineering
129,2017 Spring,1,Electrical Engineering,198,1,Clg of Engineering,bioengineering
130,2017 Spring,2,Electrical Engineering,198,2,Clg of Engineering,bioengineering
131,2017 Spring,1,Electrical Engineering,198,13,Clg of Engineering,bioengineering
132,2017 Spring,1,Energy and Resources,102,1,Clg of Natural Resources,bioengineering
133,2017 Spring,37,Engineering,7,1,Clg of Engineering,bioengineering
134,2017 Spring,4,Engineering,25,1,Clg of Engineering,bioengineering
135,2017 Spring,15,Engineering,26,1,Clg of Engineering,bioengineering
136,2017 Spring,1,Engineering,27,1,Clg of Engineering,bioengineering
137,2017 Spring,27,Engineering,45,1,Clg of Engineering,bioengineering
138,2017 Spring,2,Engineering,98,1,Clg of Engineering,bioengineering
139,2017 Spring,6,Engineering,157AC,1,Clg of Engineering,bioengineering
140,2017 Spring,1,Engineering,198,1,Clg of Engineering,bioengineering
141,2017 Spring,2,English,R1A,3,Clg of Letters & Science,bioengineering
142,2017 Spring,1,English,R1A,5,Clg of Letters & Science,bioengineering
143,2017 Spring,1,English,R1A,6,Clg of Letters & Science,bioengineering
144,2017 Spring,1,English,R1B,3,Clg of Letters & Science,bioengineering
145,2017 Spring,1,English,28,1,Clg of Letters & Science,bioengineering
146,2017 Spring,1,English,80K,1,Clg of Letters & Science,bioengineering
147,2017 Spring,1,"Env Sci, Policy, & Mgmt",15,1,Clg of Natural Resources,bioengineering
148,2017 Spring,2,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,bioengineering
149,2017 Spring,1,"Env Sci, Policy, & Mgmt",98,2,Clg of Natural Resources,bioengineering
150,2017 Spring,4,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,bioengineering
151,2017 Spring,1,Ethnic Studies,122AC,1,Clg of Letters & Science,bioengineering
152,2017 Spring,1,Ethnic Studies,180,1,Clg of Letters & Science,bioengineering
153,2017 Spring,1,Ethnic Studies,198,4,Clg of Letters & Science,bioengineering
154,2017 Spring,1,Filipino,W101B,1,Clg of Letters & Science,bioengineering
155,2017 Spring,1,Film,R1B,1,Clg of Letters & Science,bioengineering
