Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,bioengineering and materials science engineering
1,2017 Spring,5,Bioengineering,104,1,Clg of Engineering,bioengineering and materials science engineering
2,2017 Spring,5,Bioengineering,110,1,Clg of Engineering,bioengineering and materials science engineering
3,2017 Spring,3,Bioengineering,111,1,Clg of Engineering,bioengineering and materials science engineering
4,2017 Spring,1,Bioengineering,115,1,Clg of Engineering,bioengineering and materials science engineering
5,2017 Spring,1,Bioengineering,121,1,Clg of Engineering,bioengineering and materials science engineering
6,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,bioengineering and materials science engineering
7,2017 Spring,1,Computer Science,198,75,Clg of Engineering,bioengineering and materials science engineering
8,2017 Spring,2,Engineering,7,1,Clg of Engineering,bioengineering and materials science engineering
9,2017 Spring,2,Engineering,45,1,Clg of Engineering,bioengineering and materials science engineering
10,2017 Spring,1,Engineering,45L,3,Clg of Engineering,bioengineering and materials science engineering
11,2017 Spring,1,Industrial Eng & Ops Rsch,191,1,Clg of Engineering,bioengineering and materials science engineering
12,2017 Spring,1,Letters & Science,160B,1,Clg of Letters & Science,bioengineering and materials science engineering
13,2017 Spring,8,Materials Science & Eng,104,1,Clg of Engineering,bioengineering and materials science engineering
14,2017 Spring,3,Materials Science & Eng,151,1,Clg of Engineering,bioengineering and materials science engineering
15,2017 Spring,2,Mathematics,54,2,Clg of Letters & Science,bioengineering and materials science engineering
16,2017 Spring,1,Music,150C,1,Clg of Letters & Science,bioengineering and materials science engineering
17,2017 Spring,1,Music,152A,1,Clg of Letters & Science,bioengineering and materials science engineering
18,2017 Spring,1,Native American Studies,173AC,1,Clg of Letters & Science,bioengineering and materials science engineering
19,2017 Spring,1,Nutritional Science & Tox,115,1,Clg of Natural Resources,bioengineering and materials science engineering
20,2017 Spring,1,Physical Education,1,8,Clg of Letters & Science,bioengineering and materials science engineering
21,2017 Spring,1,Psychology,133,1,Clg of Letters & Science,bioengineering and materials science engineering
22,2017 Spring,1,Sociology,121,1,Clg of Letters & Science,bioengineering and materials science engineering
23,2017 Spring,1,South Asian,142,1,Clg of Letters & Science,bioengineering and materials science engineering
24,2017 Spring,1,Theater Dance & Perf Stds,10,4,Clg of Letters & Science,bioengineering and materials science engineering
25,2017 Spring,1,Theater Dance & Perf Stds,181,2,Clg of Letters & Science,bioengineering and materials science engineering
