Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,131,1,Clg of Letters & Science,business administration
1,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,business administration
2,2017 Spring,3,African American Studies,197,3,Clg of Letters & Science,business administration
3,2017 Spring,1,American Studies,101,1,Clg of Letters & Science,business administration
4,2017 Spring,1,American Studies,C172,1,Clg of Letters & Science,business administration
5,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,business administration
6,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,business administration
7,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,business administration
8,2017 Spring,1,Anthropology,121AC,1,Clg of Letters & Science,business administration
9,2017 Spring,4,Anthropology,160AC,1,Clg of Letters & Science,business administration
10,2017 Spring,1,Anthropology,174AC,1,Clg of Letters & Science,business administration
11,2017 Spring,2,Anthropology,180,1,Clg of Letters & Science,business administration
12,2017 Spring,4,Anthropology,198,20,Clg of Letters & Science,business administration
13,2017 Spring,1,Arabic,1B,6,Clg of Letters & Science,business administration
14,2017 Spring,1,Arabic,20B,2,Clg of Letters & Science,business administration
15,2017 Spring,1,Architecture,198,1,Clg of Environmental Design,business administration
16,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,business administration
17,2017 Spring,2,Armenian,101B,1,Clg of Letters & Science,business administration
18,2017 Spring,1,Art Practice,15,1,Clg of Letters & Science,business administration
19,2017 Spring,5,Asian American Studies,121,1,Clg of Letters & Science,business administration
20,2017 Spring,10,Asian American Studies,132AC,1,Clg of Letters & Science,business administration
21,2017 Spring,1,Asian American Studies,138,1,Clg of Letters & Science,business administration
22,2017 Spring,1,Asian American Studies,176,1,Clg of Letters & Science,business administration
23,2017 Spring,1,Asian American Studies,198,3,Clg of Letters & Science,business administration
24,2017 Spring,1,Asian American Studies,198,4,Clg of Letters & Science,business administration
25,2017 Spring,1,Asian Studies,150,2,Clg of Letters & Science,business administration
26,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,business administration
27,2017 Spring,2,Astronomy,C12,1,Clg of Letters & Science,business administration
28,2017 Spring,2,Astronomy,198,2,Clg of Letters & Science,business administration
29,2017 Spring,1,Bioengineering,104,1,Clg of Engineering,business administration
30,2017 Spring,1,Bioengineering,111,1,Clg of Engineering,business administration
31,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,business administration
32,2017 Spring,1,Buddhist Studies,C117,1,Clg of Letters & Science,business administration
33,2017 Spring,1,Buddhist Studies,C128,1,Clg of Letters & Science,business administration
34,2017 Spring,1,Business Admin-Undergrad,96,2,Haas School of Business,business administration
35,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,business administration
36,2017 Spring,33,Business Admin-Undergrad,100,1,Haas School of Business,business administration
37,2017 Spring,29,Business Admin-Undergrad,100,2,Haas School of Business,business administration
38,2017 Spring,29,Business Admin-Undergrad,100,3,Haas School of Business,business administration
39,2017 Spring,23,Business Admin-Undergrad,100,4,Haas School of Business,business administration
40,2017 Spring,33,Business Admin-Undergrad,100,5,Haas School of Business,business administration
41,2017 Spring,32,Business Admin-Undergrad,100,6,Haas School of Business,business administration
42,2017 Spring,34,Business Admin-Undergrad,101A,1,Haas School of Business,business administration
43,2017 Spring,20,Business Admin-Undergrad,101B,1,Haas School of Business,business administration
44,2017 Spring,40,Business Admin-Undergrad,101B,2,Haas School of Business,business administration
45,2017 Spring,37,Business Admin-Undergrad,101B,3,Haas School of Business,business administration
46,2017 Spring,49,Business Admin-Undergrad,101B,4,Haas School of Business,business administration
47,2017 Spring,20,Business Admin-Undergrad,101B,5,Haas School of Business,business administration
48,2017 Spring,51,Business Admin-Undergrad,102A,1,Haas School of Business,business administration
49,2017 Spring,128,Business Admin-Undergrad,102B,1,Haas School of Business,business administration
50,2017 Spring,89,Business Admin-Undergrad,102B,2,Haas School of Business,business administration
51,2017 Spring,119,Business Admin-Undergrad,103,1,Haas School of Business,business administration
52,2017 Spring,40,Business Admin-Undergrad,103,2,Haas School of Business,business administration
53,2017 Spring,221,Business Admin-Undergrad,104,1,Haas School of Business,business administration
54,2017 Spring,55,Business Admin-Undergrad,105,1,Haas School of Business,business administration
55,2017 Spring,65,Business Admin-Undergrad,105,2,Haas School of Business,business administration
56,2017 Spring,197,Business Admin-Undergrad,106,1,Haas School of Business,business administration
57,2017 Spring,107,Business Admin-Undergrad,107,1,Haas School of Business,business administration
58,2017 Spring,47,Business Admin-Undergrad,115,1,Haas School of Business,business administration
59,2017 Spring,7,Business Admin-Undergrad,118,1,Haas School of Business,business administration
60,2017 Spring,12,Business Admin-Undergrad,119,1,Haas School of Business,business administration
61,2017 Spring,13,Business Admin-Undergrad,120AB,1,Haas School of Business,business administration
62,2017 Spring,30,Business Admin-Undergrad,120AB,2,Haas School of Business,business administration
63,2017 Spring,14,Business Admin-Undergrad,120B,1,Haas School of Business,business administration
64,2017 Spring,9,Business Admin-Undergrad,127,1,Haas School of Business,business administration
65,2017 Spring,42,Business Admin-Undergrad,131,1,Haas School of Business,business administration
66,2017 Spring,26,Business Admin-Undergrad,137,1,Haas School of Business,business administration
67,2017 Spring,6,Business Admin-Undergrad,141,1,Haas School of Business,business administration
68,2017 Spring,18,Business Admin-Undergrad,152,1,Haas School of Business,business administration
69,2017 Spring,13,Business Admin-Undergrad,152,2,Haas School of Business,business administration
70,2017 Spring,25,Business Admin-Undergrad,155,1,Haas School of Business,business administration
71,2017 Spring,11,Business Admin-Undergrad,157,1,Haas School of Business,business administration
72,2017 Spring,19,Business Admin-Undergrad,160,1,Haas School of Business,business administration
73,2017 Spring,17,Business Admin-Undergrad,161,1,Haas School of Business,business administration
74,2017 Spring,8,Business Admin-Undergrad,167,1,Haas School of Business,business administration
75,2017 Spring,16,Business Admin-Undergrad,169,1,Haas School of Business,business administration
76,2017 Spring,14,Business Admin-Undergrad,170,1,Haas School of Business,business administration
77,2017 Spring,7,Business Admin-Undergrad,C172,1,Haas School of Business,business administration
78,2017 Spring,16,Business Admin-Undergrad,178,1,Haas School of Business,business administration
79,2017 Spring,15,Business Admin-Undergrad,179,1,Haas School of Business,business administration
80,2017 Spring,17,Business Admin-Undergrad,180,1,Haas School of Business,business administration
81,2017 Spring,9,Business Admin-Undergrad,190T,1,Haas School of Business,business administration
82,2017 Spring,3,Business Admin-Undergrad,190T,2,Haas School of Business,business administration
83,2017 Spring,8,Business Admin-Undergrad,190T,3,Haas School of Business,business administration
84,2017 Spring,29,Business Admin-Undergrad,191P,1,Haas School of Business,business administration
85,2017 Spring,27,Business Admin-Undergrad,191P,2,Haas School of Business,business administration
86,2017 Spring,6,Business Admin-Undergrad,192A,1,Haas School of Business,business administration
87,2017 Spring,8,Business Admin-Undergrad,192B,1,Haas School of Business,business administration
88,2017 Spring,13,Business Admin-Undergrad,192N,1,Haas School of Business,business administration
