Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,156,1,Clg of Letters & Science,ced individual major
1,2017 Spring,1,Architecture,11B,1,Clg of Environmental Design,ced individual major
2,2017 Spring,1,Architecture,129,1,Clg of Environmental Design,ced individual major
3,2017 Spring,1,Architecture,160,1,Clg of Environmental Design,ced individual major
4,2017 Spring,1,Architecture,170B,1,Clg of Environmental Design,ced individual major
5,2017 Spring,1,Architecture,179,2,Clg of Environmental Design,ced individual major
6,2017 Spring,1,Art Practice,14,1,Clg of Letters & Science,ced individual major
7,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,ced individual major
8,2017 Spring,1,City & Regional Planning,113B,1,Clg of Environmental Design,ced individual major
9,2017 Spring,1,Design Innovation,15,1,Clg of Engineering,ced individual major
10,2017 Spring,1,Design Innovation,22,1,Clg of Engineering,ced individual major
11,2017 Spring,1,Development Studies,C100,1,Clg of Letters & Science,ced individual major
12,2017 Spring,1,Economics,1,1,Clg of Letters & Science,ced individual major
13,2017 Spring,1,Economics,140,1,Clg of Letters & Science,ced individual major
14,2017 Spring,2,Environmental Design,4B,1,Clg of Environmental Design,ced individual major
15,2017 Spring,1,Environmental Design,4C,1,Clg of Environmental Design,ced individual major
16,2017 Spring,1,German,152,1,Clg of Letters & Science,ced individual major
17,2017 Spring,1,Industrial Eng & Ops Rsch,165,1,Clg of Engineering,ced individual major
18,2017 Spring,1,Industrial Eng & Ops Rsch,166,1,Clg of Engineering,ced individual major
19,2017 Spring,1,Industrial Eng & Ops Rsch,170,1,Clg of Engineering,ced individual major
20,2017 Spring,2,Landscape Arch & Env Plan,130,1,Clg of Environmental Design,ced individual major
21,2017 Spring,1,Landscape Arch & Env Plan,140,1,Clg of Environmental Design,ced individual major
22,2017 Spring,1,Letters & Science,C30Z,1,Clg of Letters & Science,ced individual major
23,2017 Spring,1,Physical Education,1,17,Clg of Letters & Science,ced individual major
24,2017 Spring,1,Physical Education,1,28,Clg of Letters & Science,ced individual major
25,2017 Spring,1,Physical Education,1,34,Clg of Letters & Science,ced individual major
