Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,100,1,Clg of Letters & Science,chemical biology
1,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,chemical biology
2,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,chemical biology
3,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,chemical biology
4,2017 Spring,4,Anthropology,3AC,1,Clg of Letters & Science,chemical biology
5,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,chemical biology
6,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,chemical biology
7,2017 Spring,1,Art Practice,198,1,Clg of Letters & Science,chemical biology
8,2017 Spring,1,Asian American Studies,R2A,1,Clg of Letters & Science,chemical biology
9,2017 Spring,2,Asian American Studies,176,1,Clg of Letters & Science,chemical biology
10,2017 Spring,1,Asian American Studies,197,8,Clg of Letters & Science,chemical biology
11,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,chemical biology
12,2017 Spring,2,Asian Studies,198,4,Clg of Letters & Science,chemical biology
13,2017 Spring,1,Bioengineering,11,1,Clg of Engineering,chemical biology
14,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,chemical biology
15,2017 Spring,1,Bioengineering,84,1,Clg of Engineering,chemical biology
16,2017 Spring,1,Bioengineering,104,1,Clg of Engineering,chemical biology
17,2017 Spring,1,Bioengineering,110,1,Clg of Engineering,chemical biology
18,2017 Spring,1,Bioengineering,111,1,Clg of Engineering,chemical biology
19,2017 Spring,1,Bioengineering,135,1,Clg of Engineering,chemical biology
20,2017 Spring,24,Biology,1A,1,Clg of Letters & Science,chemical biology
21,2017 Spring,3,Biology,1A,2,Clg of Letters & Science,chemical biology
22,2017 Spring,22,Biology,1AL,1,Clg of Letters & Science,chemical biology
23,2017 Spring,5,Biology,1AL,2,Clg of Letters & Science,chemical biology
24,2017 Spring,10,Biology,1B,1,Clg of Letters & Science,chemical biology
25,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,chemical biology
26,2017 Spring,2,Biology,1B,3,Clg of Letters & Science,chemical biology
27,2017 Spring,1,Chemical Engineering,141,1,Clg of Chemistry,chemical biology
28,2017 Spring,1,Chemical Engineering,150A,1,Clg of Chemistry,chemical biology
29,2017 Spring,1,Chemical Engineering,198,3,Clg of Chemistry,chemical biology
30,2017 Spring,1,Chemistry,1A,1,Clg of Chemistry,chemical biology
31,2017 Spring,4,Chemistry,3A,1,Clg of Chemistry,chemical biology
32,2017 Spring,3,Chemistry,3A,2,Clg of Chemistry,chemical biology
33,2017 Spring,7,Chemistry,3AL,1,Clg of Chemistry,chemical biology
34,2017 Spring,2,Chemistry,3B,1,Clg of Chemistry,chemical biology
35,2017 Spring,2,Chemistry,3B,2,Clg of Chemistry,chemical biology
36,2017 Spring,3,Chemistry,3BL,1,Clg of Chemistry,chemical biology
37,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,chemical biology
38,2017 Spring,33,Chemistry,4B,1,Clg of Chemistry,chemical biology
39,2017 Spring,3,Chemistry,98W,1,Clg of Chemistry,chemical biology
40,2017 Spring,4,Chemistry,98W,4,Clg of Chemistry,chemical biology
41,2017 Spring,2,Chemistry,104B,1,Clg of Chemistry,chemical biology
42,2017 Spring,24,Chemistry,105,1,Clg of Chemistry,chemical biology
43,2017 Spring,17,Chemistry,C110L,1,Clg of Chemistry,chemical biology
44,2017 Spring,54,Chemistry,112B,1,Clg of Chemistry,chemical biology
45,2017 Spring,32,Chemistry,114,1,Clg of Chemistry,chemical biology
46,2017 Spring,3,Chemistry,115,1,Clg of Chemistry,chemical biology
47,2017 Spring,43,Chemistry,120A,1,Clg of Chemistry,chemical biology
48,2017 Spring,8,Chemistry,125,1,Clg of Chemistry,chemical biology
49,2017 Spring,6,Chemistry,C130,1,Clg of Chemistry,chemical biology
50,2017 Spring,4,Chemistry,130B,1,Clg of Chemistry,chemical biology
51,2017 Spring,2,Chemistry,C150,1,Clg of Chemistry,chemical biology
52,2017 Spring,9,Chemistry,C182,1,Clg of Chemistry,chemical biology
53,2017 Spring,1,Chemistry,C191,1,Clg of Chemistry,chemical biology
54,2017 Spring,1,Chicano Studies,R1A,1,Clg of Letters & Science,chemical biology
55,2017 Spring,1,Chicano Studies,150B,1,Clg of Letters & Science,chemical biology
56,2017 Spring,1,Chicano Studies,180AC,1,Clg of Letters & Science,chemical biology
57,2017 Spring,1,Chicano Studies,197,4,Clg of Letters & Science,chemical biology
58,2017 Spring,1,Chinese,1B,4,Clg of Letters & Science,chemical biology
59,2017 Spring,1,Chinese,10Y,2,Clg of Letters & Science,chemical biology
60,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,chemical biology
61,2017 Spring,1,Classics,28,1,Clg of Letters & Science,chemical biology
62,2017 Spring,1,Cognitive Science,198,6,Clg of Letters & Science,chemical biology
63,2017 Spring,1,College Writing Programs,R4B,2,Clg of Letters & Science,chemical biology
64,2017 Spring,1,College Writing Programs,R4B,6,Clg of Letters & Science,chemical biology
65,2017 Spring,1,College Writing Programs,R4B,9,Clg of Letters & Science,chemical biology
66,2017 Spring,1,College Writing Programs,10A,1,Clg of Letters & Science,chemical biology
67,2017 Spring,2,College Writing Programs,25AC,1,Clg of Letters & Science,chemical biology
68,2017 Spring,1,College Writing Programs,50AC,1,Clg of Letters & Science,chemical biology
69,2017 Spring,1,College Writing Programs,110,1,Clg of Letters & Science,chemical biology
70,2017 Spring,1,Comparative Literature,R1A,4,Clg of Letters & Science,chemical biology
71,2017 Spring,1,Comparative Literature,R1A,5,Clg of Letters & Science,chemical biology
72,2017 Spring,1,Comparative Literature,R1B,1,Clg of Letters & Science,chemical biology
73,2017 Spring,1,Comparative Literature,R1B,6,Clg of Letters & Science,chemical biology
74,2017 Spring,1,Comparative Literature,R1B,18,Clg of Letters & Science,chemical biology
75,2017 Spring,4,Computer Science,C8,1,Clg of Engineering,chemical biology
76,2017 Spring,10,Computer Science,61A,1,Clg of Engineering,chemical biology
77,2017 Spring,10,Computer Science,61B,1,Clg of Engineering,chemical biology
78,2017 Spring,3,Computer Science,61C,1,Clg of Engineering,chemical biology
79,2017 Spring,3,Computer Science,70,1,Clg of Engineering,chemical biology
80,2017 Spring,1,Computer Science,160,3,Clg of Engineering,chemical biology
81,2017 Spring,1,Computer Science,161,1,Clg of Engineering,chemical biology
82,2017 Spring,1,Computer Science,170,1,Clg of Engineering,chemical biology
83,2017 Spring,2,Computer Science,186,1,Clg of Engineering,chemical biology
84,2017 Spring,1,Computer Science,188,1,Clg of Engineering,chemical biology
85,2017 Spring,1,Computer Science,189,1,Clg of Engineering,chemical biology
86,2017 Spring,2,Computer Science,198,48,Clg of Engineering,chemical biology
87,2017 Spring,1,Computer Science,198,67,Clg of Engineering,chemical biology
88,2017 Spring,1,Computer Science,198,153,Clg of Engineering,chemical biology
89,2017 Spring,1,Dutch,166,1,Clg of Letters & Science,chemical biology
90,2017 Spring,1,Earth & Planetary Science,24,1,Clg of Letters & Science,chemical biology
91,2017 Spring,1,Earth & Planetary Science,124,1,Clg of Letters & Science,chemical biology
92,2017 Spring,4,Earth & Planetary Science,C182,1,Clg of Letters & Science,chemical biology
93,2017 Spring,1,East Asian Languages,105,1,Clg of Letters & Science,chemical biology
94,2017 Spring,2,Economics,1,1,Clg of Letters & Science,chemical biology
95,2017 Spring,1,Economics,2,1,Clg of Letters & Science,chemical biology
96,2017 Spring,1,Education,131AC,1,Grad School of Education,chemical biology
97,2017 Spring,1,Education,140AC,3,Grad School of Education,chemical biology
98,2017 Spring,1,Education,197,3,Grad School of Education,chemical biology
99,2017 Spring,1,Education,197,10,Grad School of Education,chemical biology
100,2017 Spring,1,Education,198,9,Grad School of Education,chemical biology
101,2017 Spring,1,Electrical Engineering,126,1,Clg of Engineering,chemical biology
102,2017 Spring,1,Electrical Engineering,134,1,Clg of Engineering,chemical biology
103,2017 Spring,6,Engineering,7,1,Clg of Engineering,chemical biology
104,2017 Spring,1,Engineering,45,1,Clg of Engineering,chemical biology
105,2017 Spring,1,Engineering,45L,4,Clg of Engineering,chemical biology
106,2017 Spring,1,English,R1A,3,Clg of Letters & Science,chemical biology
107,2017 Spring,2,English,R1A,5,Clg of Letters & Science,chemical biology
108,2017 Spring,1,English,R1B,4,Clg of Letters & Science,chemical biology
109,2017 Spring,1,English,45B,1,Clg of Letters & Science,chemical biology
110,2017 Spring,1,English,132,1,Clg of Letters & Science,chemical biology
111,2017 Spring,1,English,180Z,1,Clg of Letters & Science,chemical biology
112,2017 Spring,1,"Env Sci, Policy, & Mgmt",40,1,Clg of Natural Resources,chemical biology
113,2017 Spring,1,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,chemical biology
114,2017 Spring,1,"Env Sci, Policy, & Mgmt",98BC,2,Clg of Natural Resources,chemical biology
115,2017 Spring,1,"Env Sci, Policy, & Mgmt",131,1,Clg of Natural Resources,chemical biology
116,2017 Spring,1,"Env Sci, Policy, & Mgmt",134,1,Clg of Natural Resources,chemical biology
117,2017 Spring,1,Ethnic Studies,173AC,1,Clg of Letters & Science,chemical biology
118,2017 Spring,1,Ethnic Studies,197,11,Clg of Letters & Science,chemical biology
119,2017 Spring,1,Ethnic Studies,197,13,Clg of Letters & Science,chemical biology
120,2017 Spring,1,Ethnic Studies,198,3,Clg of Letters & Science,chemical biology
121,2017 Spring,1,Filipino,1B,3,Clg of Letters & Science,chemical biology
122,2017 Spring,1,Filipino,W100B,1,Clg of Letters & Science,chemical biology
123,2017 Spring,1,Film,R1B,4,Clg of Letters & Science,chemical biology
124,2017 Spring,1,Film,R1B,5,Clg of Letters & Science,chemical biology
125,2017 Spring,1,Film,140,1,Clg of Letters & Science,chemical biology
126,2017 Spring,1,French,1,6,Clg of Letters & Science,chemical biology
127,2017 Spring,1,French,R1B,1,Clg of Letters & Science,chemical biology
128,2017 Spring,1,French,R1B,4,Clg of Letters & Science,chemical biology
129,2017 Spring,1,French,35,1,Clg of Letters & Science,chemical biology
130,2017 Spring,1,French,117A,1,Clg of Letters & Science,chemical biology
131,2017 Spring,1,French,120B,1,Clg of Letters & Science,chemical biology
132,2017 Spring,1,French,126,1,Clg of Letters & Science,chemical biology
133,2017 Spring,1,French,171B,1,Clg of Letters & Science,chemical biology
134,2017 Spring,1,Gender & Womens Studies,100AC,1,Clg of Letters & Science,chemical biology
135,2017 Spring,1,Geography,20,1,Clg of Letters & Science,chemical biology
136,2017 Spring,1,Geography,164,1,Clg of Letters & Science,chemical biology
137,2017 Spring,1,German,1,2,Clg of Letters & Science,chemical biology
138,2017 Spring,1,German,3,1,Clg of Letters & Science,chemical biology
139,2017 Spring,1,German,3,2,Clg of Letters & Science,chemical biology
140,2017 Spring,2,German,R5B,1,Clg of Letters & Science,chemical biology
141,2017 Spring,1,German,R5B,5,Clg of Letters & Science,chemical biology
142,2017 Spring,1,Global Studies,110L,1,Clg of Letters & Science,chemical biology
143,2017 Spring,1,Health & Medical Sciences,C133,1,School of Public Health,chemical biology
144,2017 Spring,2,History,7B,1,Clg of Letters & Science,chemical biology
145,2017 Spring,1,History,119A,1,Clg of Letters & Science,chemical biology
146,2017 Spring,4,History,124B,1,Clg of Letters & Science,chemical biology
147,2017 Spring,1,History,136B,1,Clg of Letters & Science,chemical biology
148,2017 Spring,1,History,180T,1,Clg of Letters & Science,chemical biology
149,2017 Spring,1,History,182A,1,Clg of Letters & Science,chemical biology
150,2017 Spring,1,History,185B,1,Clg of Letters & Science,chemical biology
151,2017 Spring,1,History,C191,1,Clg of Letters & Science,chemical biology
152,2017 Spring,1,History of Art,R1B,1,Clg of Letters & Science,chemical biology
153,2017 Spring,1,History of Art,35,1,Clg of Letters & Science,chemical biology
154,2017 Spring,1,Industrial Eng & Ops Rsch,95,1,Clg of Engineering,chemical biology
155,2017 Spring,1,Industrial Eng & Ops Rsch,165,1,Clg of Engineering,chemical biology
156,2017 Spring,1,Integrative Biology,24,2,Clg of Letters & Science,chemical biology
157,2017 Spring,1,Integrative Biology,C32,1,Clg of Letters & Science,chemical biology
158,2017 Spring,2,Integrative Biology,132,1,Clg of Letters & Science,chemical biology
159,2017 Spring,1,Integrative Biology,132L,8,Clg of Letters & Science,chemical biology
160,2017 Spring,1,Integrative Biology,197,100,Clg of Letters & Science,chemical biology
161,2017 Spring,1,Integrative Biology,198,2,Clg of Letters & Science,chemical biology
162,2017 Spring,2,Integrative Biology,198,3,Clg of Letters & Science,chemical biology
163,2017 Spring,1,Integrative Biology,198,6,Clg of Letters & Science,chemical biology
164,2017 Spring,1,International & Area Stds,198,3,Clg of Letters & Science,chemical biology
165,2017 Spring,1,Italian Studies,1,2,Clg of Letters & Science,chemical biology
166,2017 Spring,1,Italian Studies,4,1,Clg of Letters & Science,chemical biology
167,2017 Spring,1,Italian Studies,R5B,1,Clg of Letters & Science,chemical biology
168,2017 Spring,1,Japanese,1B,5,Clg of Letters & Science,chemical biology
169,2017 Spring,1,Korean,1B,1,Clg of Letters & Science,chemical biology
170,2017 Spring,2,Korean,1B,5,Clg of Letters & Science,chemical biology
171,2017 Spring,1,Letters & Science,22,1,Clg of Letters & Science,chemical biology
172,2017 Spring,1,Linguistics,R1B,2,Clg of Letters & Science,chemical biology
173,2017 Spring,1,Linguistics,100,1,Clg of Letters & Science,chemical biology
174,2017 Spring,1,Linguistics,C146,1,Clg of Letters & Science,chemical biology
175,2017 Spring,1,Materials Science & Eng,103,1,Clg of Engineering,chemical biology
176,2017 Spring,1,Mathematics,1A,1,Clg of Letters & Science,chemical biology
177,2017 Spring,7,Mathematics,1B,1,Clg of Letters & Science,chemical biology
178,2017 Spring,5,Mathematics,1B,2,Clg of Letters & Science,chemical biology
179,2017 Spring,3,Mathematics,10B,1,Clg of Letters & Science,chemical biology
180,2017 Spring,7,Mathematics,53,1,Clg of Letters & Science,chemical biology
181,2017 Spring,3,Mathematics,53,2,Clg of Letters & Science,chemical biology
182,2017 Spring,13,Mathematics,54,1,Clg of Letters & Science,chemical biology
183,2017 Spring,5,Mathematics,54,2,Clg of Letters & Science,chemical biology
184,2017 Spring,2,Mathematics,55,1,Clg of Letters & Science,chemical biology
185,2017 Spring,1,Mathematics,98,14,Clg of Letters & Science,chemical biology
186,2017 Spring,1,Mathematics,98,16,Clg of Letters & Science,chemical biology
187,2017 Spring,1,Mathematics,98,18,Clg of Letters & Science,chemical biology
188,2017 Spring,1,Mathematics,98,31,Clg of Letters & Science,chemical biology
189,2017 Spring,1,Mathematics,98,32,Clg of Letters & Science,chemical biology
190,2017 Spring,1,Mathematics,98,33,Clg of Letters & Science,chemical biology
191,2017 Spring,1,Mathematics,110,1,Clg of Letters & Science,chemical biology
192,2017 Spring,1,Mathematics,118,1,Clg of Letters & Science,chemical biology
193,2017 Spring,1,Mathematics,126,1,Clg of Letters & Science,chemical biology
194,2017 Spring,1,Mathematics,128A,1,Clg of Letters & Science,chemical biology
195,2017 Spring,1,Mathematics,160,1,Clg of Letters & Science,chemical biology
196,2017 Spring,1,Mathematics,172,1,Clg of Letters & Science,chemical biology
197,2017 Spring,1,Mathematics,185,1,Clg of Letters & Science,chemical biology
198,2017 Spring,1,Mechanical Engineering,110,1,Clg of Engineering,chemical biology
199,2017 Spring,1,Military Affairs,1,1,Clg of Letters & Science,chemical biology
200,2017 Spring,1,Molecular & Cell Biology,15,1,Clg of Letters & Science,chemical biology
201,2017 Spring,1,Molecular & Cell Biology,C61,1,Clg of Letters & Science,chemical biology
202,2017 Spring,1,Molecular & Cell Biology,90A,1,Clg of Letters & Science,chemical biology
203,2017 Spring,1,Molecular & Cell Biology,98,205,Clg of Letters & Science,chemical biology
204,2017 Spring,1,Molecular & Cell Biology,C100A,1,Clg of Letters & Science,chemical biology
205,2017 Spring,1,Molecular & Cell Biology,100B,1,Clg of Letters & Science,chemical biology
206,2017 Spring,4,Molecular & Cell Biology,C103,1,Clg of Letters & Science,chemical biology
207,2017 Spring,1,Molecular & Cell Biology,104,1,Clg of Letters & Science,chemical biology
208,2017 Spring,48,Molecular & Cell Biology,110,1,Clg of Letters & Science,chemical biology
209,2017 Spring,12,Molecular & Cell Biology,C110L,1,Clg of Letters & Science,chemical biology
210,2017 Spring,1,Molecular & Cell Biology,C114,1,Clg of Letters & Science,chemical biology
211,2017 Spring,1,Molecular & Cell Biology,118,1,Clg of Letters & Science,chemical biology
212,2017 Spring,1,Molecular & Cell Biology,130,1,Clg of Letters & Science,chemical biology
213,2017 Spring,2,Molecular & Cell Biology,140,1,Clg of Letters & Science,chemical biology
214,2017 Spring,3,Molecular & Cell Biology,150,1,Clg of Letters & Science,chemical biology
215,2017 Spring,2,Molecular & Cell Biology,165,1,Clg of Letters & Science,chemical biology
216,2017 Spring,1,Molecular & Cell Biology,180,1,Clg of Letters & Science,chemical biology
217,2017 Spring,1,Molecular & Cell Biology,198,3,Clg of Letters & Science,chemical biology
218,2017 Spring,1,Molecular & Cell Biology,198,4,Clg of Letters & Science,chemical biology
219,2017 Spring,1,Molecular & Cell Biology,198,8,Clg of Letters & Science,chemical biology
220,2017 Spring,2,Molecular & Cell Biology,198,207,Clg of Letters & Science,chemical biology
221,2017 Spring,1,Music,R1B,1,Clg of Letters & Science,chemical biology
222,2017 Spring,1,Music,20A,2,Clg of Letters & Science,chemical biology
223,2017 Spring,1,Music,20A,4,Clg of Letters & Science,chemical biology
224,2017 Spring,6,Music,26AC,1,Clg of Letters & Science,chemical biology
225,2017 Spring,1,Music,140,3,Clg of Letters & Science,chemical biology
226,2017 Spring,1,Music,142,1,Clg of Letters & Science,chemical biology
227,2017 Spring,2,Music,142,2,Clg of Letters & Science,chemical biology
228,2017 Spring,1,Music,150B,1,Clg of Letters & Science,chemical biology
229,2017 Spring,1,Music,154B,1,Clg of Letters & Science,chemical biology
230,2017 Spring,1,Music,170,1,Clg of Letters & Science,chemical biology
231,2017 Spring,1,Music,198,2,Clg of Letters & Science,chemical biology
232,2017 Spring,1,Music,198,3,Clg of Letters & Science,chemical biology
233,2017 Spring,1,Music,198,7,Clg of Letters & Science,chemical biology
234,2017 Spring,1,Music,198,8,Clg of Letters & Science,chemical biology
