Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,135B,1,Clg of Letters & Science,chemical engineering
1,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,chemical engineering
2,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,chemical engineering
3,2017 Spring,1,African American Studies,158B,1,Clg of Letters & Science,chemical engineering
4,2017 Spring,1,African American Studies,194B,1,Clg of Letters & Science,chemical engineering
5,2017 Spring,5,Anthropology,2AC,1,Clg of Letters & Science,chemical engineering
6,2017 Spring,4,Anthropology,3AC,1,Clg of Letters & Science,chemical engineering
7,2017 Spring,1,Anthropology,174AC,1,Clg of Letters & Science,chemical engineering
8,2017 Spring,1,Architecture,24,1,Clg of Environmental Design,chemical engineering
9,2017 Spring,1,Architecture,98,1,Clg of Environmental Design,chemical engineering
10,2017 Spring,1,Architecture,98,6,Clg of Environmental Design,chemical engineering
11,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,chemical engineering
12,2017 Spring,1,Asian American Studies,197,8,Clg of Letters & Science,chemical engineering
13,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,chemical engineering
14,2017 Spring,3,Astronomy,7B,1,Clg of Letters & Science,chemical engineering
15,2017 Spring,2,Astronomy,C12,1,Clg of Letters & Science,chemical engineering
16,2017 Spring,2,Astronomy,98,2,Clg of Letters & Science,chemical engineering
17,2017 Spring,1,Astronomy,198,2,Clg of Letters & Science,chemical engineering
18,2017 Spring,44,Bioengineering,11,1,Clg of Engineering,chemical engineering
19,2017 Spring,1,Bioengineering,24,1,Clg of Engineering,chemical engineering
20,2017 Spring,3,Bioengineering,25,1,Clg of Engineering,chemical engineering
21,2017 Spring,5,Bioengineering,104,1,Clg of Engineering,chemical engineering
22,2017 Spring,11,Bioengineering,110,1,Clg of Engineering,chemical engineering
23,2017 Spring,14,Bioengineering,111,1,Clg of Engineering,chemical engineering
24,2017 Spring,1,Bioengineering,135,1,Clg of Engineering,chemical engineering
25,2017 Spring,15,Biology,1A,1,Clg of Letters & Science,chemical engineering
26,2017 Spring,3,Biology,1A,2,Clg of Letters & Science,chemical engineering
27,2017 Spring,2,Biology,1AL,2,Clg of Letters & Science,chemical engineering
28,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,chemical engineering
29,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,chemical engineering
30,2017 Spring,2,Business Admin-Undergrad,96,2,Haas School of Business,chemical engineering
31,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,chemical engineering
32,2017 Spring,10,Business Admin-Undergrad,102A,1,Haas School of Business,chemical engineering
33,2017 Spring,1,Business Admin-Undergrad,106,1,Haas School of Business,chemical engineering
34,2017 Spring,1,Business Admin-Undergrad,115,1,Haas School of Business,chemical engineering
35,2017 Spring,1,Business Admin-Undergrad,141,1,Haas School of Business,chemical engineering
36,2017 Spring,1,Business Admin-Undergrad,152,1,Haas School of Business,chemical engineering
37,2017 Spring,1,Business Admin-Undergrad,170,1,Haas School of Business,chemical engineering
38,2017 Spring,2,Business Admin-Undergrad,190T,3,Haas School of Business,chemical engineering
39,2017 Spring,1,Business Admin-Undergrad,195A,1,Haas School of Business,chemical engineering
40,2017 Spring,1,Business Admin-Undergrad,198,1,Haas School of Business,chemical engineering
41,2017 Spring,1,Celtic Studies,86,1,Clg of Letters & Science,chemical engineering
42,2017 Spring,29,Chemical Engineering,90,1,Clg of Chemistry,chemical engineering
43,2017 Spring,124,Chemical Engineering,141,1,Clg of Chemistry,chemical engineering
44,2017 Spring,12,Chemical Engineering,143,1,Clg of Chemistry,chemical engineering
45,2017 Spring,128,Chemical Engineering,150A,1,Clg of Chemistry,chemical engineering
46,2017 Spring,44,Chemical Engineering,154,1,Clg of Chemistry,chemical engineering
47,2017 Spring,70,Chemical Engineering,160,1,Clg of Chemistry,chemical engineering
48,2017 Spring,70,Chemical Engineering,162,1,Clg of Chemistry,chemical engineering
49,2017 Spring,64,Chemical Engineering,185,1,Clg of Chemistry,chemical engineering
50,2017 Spring,1,Chemical Engineering,197,22,Clg of Chemistry,chemical engineering
51,2017 Spring,4,Chemical Engineering,198,3,Clg of Chemistry,chemical engineering
52,2017 Spring,2,Chemistry,1A,1,Clg of Chemistry,chemical engineering
53,2017 Spring,1,Chemistry,1A,2,Clg of Chemistry,chemical engineering
54,2017 Spring,2,Chemistry,1AL,1,Clg of Chemistry,chemical engineering
55,2017 Spring,2,Chemistry,1AL,2,Clg of Chemistry,chemical engineering
56,2017 Spring,1,Chemistry,3A,2,Clg of Chemistry,chemical engineering
57,2017 Spring,1,Chemistry,3AL,2,Clg of Chemistry,chemical engineering
58,2017 Spring,1,Chemistry,3B,2,Clg of Chemistry,chemical engineering
59,2017 Spring,109,Chemistry,4B,1,Clg of Chemistry,chemical engineering
60,2017 Spring,2,Chemistry,98,3,Clg of Chemistry,chemical engineering
61,2017 Spring,2,Chemistry,98W,1,Clg of Chemistry,chemical engineering
62,2017 Spring,3,Chemistry,104B,1,Clg of Chemistry,chemical engineering
63,2017 Spring,1,Chemistry,105,1,Clg of Chemistry,chemical engineering
64,2017 Spring,16,Chemistry,112B,1,Clg of Chemistry,chemical engineering
65,2017 Spring,2,Chemistry,114,1,Clg of Chemistry,chemical engineering
66,2017 Spring,1,Chemistry,115,1,Clg of Chemistry,chemical engineering
67,2017 Spring,28,Chemistry,120A,1,Clg of Chemistry,chemical engineering
68,2017 Spring,1,Chemistry,122,1,Clg of Chemistry,chemical engineering
69,2017 Spring,1,Chicano Studies,180,1,Clg of Letters & Science,chemical engineering
70,2017 Spring,2,Chinese,1A,4,Clg of Letters & Science,chemical engineering
71,2017 Spring,1,Chinese,100XB,2,Clg of Letters & Science,chemical engineering
72,2017 Spring,1,Civil & Environmental Eng,24,2,Clg of Engineering,chemical engineering
73,2017 Spring,1,Civil & Environmental Eng,C30,2,Clg of Engineering,chemical engineering
74,2017 Spring,1,Civil & Environmental Eng,103,1,Clg of Engineering,chemical engineering
75,2017 Spring,9,Civil & Environmental Eng,C106,1,Clg of Engineering,chemical engineering
76,2017 Spring,22,Civil & Environmental Eng,107,1,Clg of Engineering,chemical engineering
77,2017 Spring,5,Civil & Environmental Eng,110,1,Clg of Engineering,chemical engineering
78,2017 Spring,4,Civil & Environmental Eng,113,1,Clg of Engineering,chemical engineering
79,2017 Spring,1,Civil & Environmental Eng,C116,1,Clg of Engineering,chemical engineering
80,2017 Spring,1,Civil & Environmental Eng,180,1,Clg of Engineering,chemical engineering
81,2017 Spring,1,Civil & Environmental Eng,198,3,Clg of Engineering,chemical engineering
82,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,chemical engineering
83,2017 Spring,1,Classics,161,1,Clg of Letters & Science,chemical engineering
84,2017 Spring,1,Cognitive Science,1,1,Clg of Letters & Science,chemical engineering
85,2017 Spring,1,Cognitive Science,198,1,Clg of Letters & Science,chemical engineering
86,2017 Spring,1,Cognitive Science,198,5,Clg of Letters & Science,chemical engineering
87,2017 Spring,2,Cognitive Science,198,6,Clg of Letters & Science,chemical engineering
88,2017 Spring,1,College Writing Programs,1,1,Clg of Letters & Science,chemical engineering
