Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,chemical engineering and materials science engineering
1,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,chemical engineering and materials science engineering
2,2017 Spring,2,Bioengineering,11,1,Clg of Engineering,chemical engineering and materials science engineering
3,2017 Spring,2,Biology,1A,1,Clg of Letters & Science,chemical engineering and materials science engineering
4,2017 Spring,3,Chemical Engineering,141,1,Clg of Chemistry,chemical engineering and materials science engineering
5,2017 Spring,3,Chemical Engineering,150A,1,Clg of Chemistry,chemical engineering and materials science engineering
6,2017 Spring,8,Chemical Engineering,154,1,Clg of Chemistry,chemical engineering and materials science engineering
7,2017 Spring,5,Chemical Engineering,160,1,Clg of Chemistry,chemical engineering and materials science engineering
8,2017 Spring,3,Chemical Engineering,162,1,Clg of Chemistry,chemical engineering and materials science engineering
9,2017 Spring,2,Chemical Engineering,185,1,Clg of Chemistry,chemical engineering and materials science engineering
10,2017 Spring,2,Chemistry,120A,1,Clg of Chemistry,chemical engineering and materials science engineering
11,2017 Spring,1,Chinese,1A,2,Clg of Letters & Science,chemical engineering and materials science engineering
12,2017 Spring,1,Computer Science,198,3,Clg of Engineering,chemical engineering and materials science engineering
13,2017 Spring,1,History,182A,1,Clg of Letters & Science,chemical engineering and materials science engineering
14,2017 Spring,4,Materials Science & Eng,103,1,Clg of Engineering,chemical engineering and materials science engineering
15,2017 Spring,3,Materials Science & Eng,111,1,Clg of Engineering,chemical engineering and materials science engineering
16,2017 Spring,8,Materials Science & Eng,112,1,Clg of Engineering,chemical engineering and materials science engineering
17,2017 Spring,1,Materials Science & Eng,117,1,Clg of Engineering,chemical engineering and materials science engineering
18,2017 Spring,3,Materials Science & Eng,151,1,Clg of Engineering,chemical engineering and materials science engineering
19,2017 Spring,1,Near Eastern Studies,109,1,Clg of Letters & Science,chemical engineering and materials science engineering
20,2017 Spring,1,Physical Education,1,22,Clg of Letters & Science,chemical engineering and materials science engineering
21,2017 Spring,1,Physical Education,1,24,Clg of Letters & Science,chemical engineering and materials science engineering
22,2017 Spring,1,Physics,137A,1,Clg of Letters & Science,chemical engineering and materials science engineering
23,2017 Spring,2,Physics,137A,2,Clg of Letters & Science,chemical engineering and materials science engineering
24,2017 Spring,1,Psychology,160,1,Clg of Letters & Science,chemical engineering and materials science engineering
25,2017 Spring,1,Sociology,111AC,1,Clg of Letters & Science,chemical engineering and materials science engineering
