Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,5B,1,Clg of Letters & Science,chemical engineering and nuclear engineering
1,2017 Spring,1,Bioengineering,11,1,Clg of Engineering,chemical engineering and nuclear engineering
2,2017 Spring,4,Chemical Engineering,141,1,Clg of Chemistry,chemical engineering and nuclear engineering
3,2017 Spring,4,Chemical Engineering,150A,1,Clg of Chemistry,chemical engineering and nuclear engineering
4,2017 Spring,3,Chemical Engineering,162,1,Clg of Chemistry,chemical engineering and nuclear engineering
5,2017 Spring,1,Civil & Environmental Eng,107,1,Clg of Engineering,chemical engineering and nuclear engineering
6,2017 Spring,1,Economics,1,1,Clg of Letters & Science,chemical engineering and nuclear engineering
7,2017 Spring,1,Engineering,7,1,Clg of Engineering,chemical engineering and nuclear engineering
8,2017 Spring,1,Engineering,45,1,Clg of Engineering,chemical engineering and nuclear engineering
9,2017 Spring,1,Engineering,45L,1,Clg of Engineering,chemical engineering and nuclear engineering
10,2017 Spring,1,Engineering,45L,2,Clg of Engineering,chemical engineering and nuclear engineering
11,2017 Spring,1,Engineering,120,1,Clg of Engineering,chemical engineering and nuclear engineering
12,2017 Spring,1,Mathematics,54,1,Clg of Letters & Science,chemical engineering and nuclear engineering
13,2017 Spring,3,Nuclear Engineering,104,1,Clg of Engineering,chemical engineering and nuclear engineering
14,2017 Spring,1,Nuclear Engineering,124,1,Clg of Engineering,chemical engineering and nuclear engineering
15,2017 Spring,2,Nuclear Engineering,130,1,Clg of Engineering,chemical engineering and nuclear engineering
16,2017 Spring,4,Nuclear Engineering,150,1,Clg of Engineering,chemical engineering and nuclear engineering
17,2017 Spring,1,Nuclear Engineering,155,1,Clg of Engineering,chemical engineering and nuclear engineering
18,2017 Spring,5,Nuclear Engineering,162,1,Clg of Engineering,chemical engineering and nuclear engineering
19,2017 Spring,2,Nuclear Engineering,170A,1,Clg of Engineering,chemical engineering and nuclear engineering
20,2017 Spring,1,Physics,7C,1,Clg of Letters & Science,chemical engineering and nuclear engineering
21,2017 Spring,1,Physics,137B,2,Clg of Letters & Science,chemical engineering and nuclear engineering
22,2017 Spring,1,Sociology,116,1,Clg of Letters & Science,chemical engineering and nuclear engineering
