Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,chemistry
1,2017 Spring,2,Anthropology,2AC,1,Clg of Letters & Science,chemistry
2,2017 Spring,2,Anthropology,3AC,1,Clg of Letters & Science,chemistry
3,2017 Spring,1,Anthropology,R5B,4,Clg of Letters & Science,chemistry
4,2017 Spring,1,Anthropology,189,3,Clg of Letters & Science,chemistry
5,2017 Spring,1,Arabic,1B,6,Clg of Letters & Science,chemistry
6,2017 Spring,1,Arabic,20B,3,Clg of Letters & Science,chemistry
7,2017 Spring,1,Architecture,24,1,Clg of Environmental Design,chemistry
8,2017 Spring,1,Architecture,198,3,Clg of Environmental Design,chemistry
9,2017 Spring,1,Armenian,126,1,Clg of Letters & Science,chemistry
10,2017 Spring,2,Asian American Studies,132AC,1,Clg of Letters & Science,chemistry
11,2017 Spring,1,Asian Studies,150,2,Clg of Letters & Science,chemistry
12,2017 Spring,1,Bioengineering,84,1,Clg of Engineering,chemistry
13,2017 Spring,1,Bioengineering,104,1,Clg of Engineering,chemistry
14,2017 Spring,1,Bioengineering,111,1,Clg of Engineering,chemistry
15,2017 Spring,6,Biology,1A,1,Clg of Letters & Science,chemistry
16,2017 Spring,3,Biology,1A,2,Clg of Letters & Science,chemistry
17,2017 Spring,9,Biology,1AL,1,Clg of Letters & Science,chemistry
18,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,chemistry
19,2017 Spring,1,Biology,1B,3,Clg of Letters & Science,chemistry
20,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,chemistry
21,2017 Spring,3,Business Admin-Undergrad,96,2,Haas School of Business,chemistry
22,2017 Spring,1,Celtic Studies,R1B,1,Clg of Letters & Science,chemistry
23,2017 Spring,1,Chemical Engineering,141,1,Clg of Chemistry,chemistry
24,2017 Spring,1,Chemical Engineering,150A,1,Clg of Chemistry,chemistry
25,2017 Spring,1,Chemical Engineering,162,1,Clg of Chemistry,chemistry
26,2017 Spring,1,Chemical Engineering,185,1,Clg of Chemistry,chemistry
27,2017 Spring,2,Chemistry,1A,1,Clg of Chemistry,chemistry
28,2017 Spring,2,Chemistry,1A,2,Clg of Chemistry,chemistry
29,2017 Spring,3,Chemistry,1AL,1,Clg of Chemistry,chemistry
30,2017 Spring,1,Chemistry,1AL,2,Clg of Chemistry,chemistry
31,2017 Spring,1,Chemistry,3A,1,Clg of Chemistry,chemistry
32,2017 Spring,1,Chemistry,3AL,1,Clg of Chemistry,chemistry
33,2017 Spring,1,Chemistry,3B,1,Clg of Chemistry,chemistry
34,2017 Spring,42,Chemistry,4B,1,Clg of Chemistry,chemistry
35,2017 Spring,1,Chemistry,24,1,Clg of Chemistry,chemistry
36,2017 Spring,1,Chemistry,24,2,Clg of Chemistry,chemistry
37,2017 Spring,1,Chemistry,98W,1,Clg of Chemistry,chemistry
38,2017 Spring,4,Chemistry,98W,4,Clg of Chemistry,chemistry
39,2017 Spring,57,Chemistry,104B,1,Clg of Chemistry,chemistry
40,2017 Spring,14,Chemistry,105,1,Clg of Chemistry,chemistry
41,2017 Spring,48,Chemistry,112B,1,Clg of Chemistry,chemistry
42,2017 Spring,7,Chemistry,114,1,Clg of Chemistry,chemistry
