Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,198BC,1,Clg of Letters & Science,chicano studies
1,2017 Spring,1,Art Practice,119,1,Clg of Letters & Science,chicano studies
2,2017 Spring,1,Art Practice,141,1,Clg of Letters & Science,chicano studies
3,2017 Spring,1,Chicano Studies,R1B,1,Clg of Letters & Science,chicano studies
4,2017 Spring,3,Chicano Studies,50,1,Clg of Letters & Science,chicano studies
5,2017 Spring,3,Chicano Studies,110,1,Clg of Letters & Science,chicano studies
6,2017 Spring,2,Chicano Studies,141,1,Clg of Letters & Science,chicano studies
7,2017 Spring,4,Chicano Studies,150B,1,Clg of Letters & Science,chicano studies
8,2017 Spring,8,Chicano Studies,174,1,Clg of Letters & Science,chicano studies
9,2017 Spring,7,Chicano Studies,176,1,Clg of Letters & Science,chicano studies
10,2017 Spring,2,Chicano Studies,180,1,Clg of Letters & Science,chicano studies
11,2017 Spring,2,Chicano Studies,180,2,Clg of Letters & Science,chicano studies
12,2017 Spring,1,Chicano Studies,197,1,Clg of Letters & Science,chicano studies
13,2017 Spring,1,Chicano Studies,197,3,Clg of Letters & Science,chicano studies
14,2017 Spring,1,Chicano Studies,198,2,Clg of Letters & Science,chicano studies
15,2017 Spring,1,City & Regional Planning,118AC,1,Clg of Environmental Design,chicano studies
16,2017 Spring,1,Education,182AC,1,Grad School of Education,chicano studies
17,2017 Spring,1,Education,190AC,3,Grad School of Education,chicano studies
18,2017 Spring,1,Education,197,2,Grad School of Education,chicano studies
19,2017 Spring,1,Education,197,12,Grad School of Education,chicano studies
20,2017 Spring,1,Education,197,50,Grad School of Education,chicano studies
21,2017 Spring,1,Education,198,32,Grad School of Education,chicano studies
22,2017 Spring,1,"Env Sci, Policy, & Mgmt",113,1,Clg of Natural Resources,chicano studies
23,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,14,Clg of Natural Resources,chicano studies
24,2017 Spring,12,Ethnic Studies,11AC,1,Clg of Letters & Science,chicano studies
25,2017 Spring,13,Ethnic Studies,101B,1,Clg of Letters & Science,chicano studies
26,2017 Spring,1,Ethnic Studies,103A,1,Clg of Letters & Science,chicano studies
27,2017 Spring,1,Ethnic Studies,144AC,1,Clg of Letters & Science,chicano studies
28,2017 Spring,1,Ethnic Studies,180,1,Clg of Letters & Science,chicano studies
29,2017 Spring,2,Ethnic Studies,181AC,1,Clg of Letters & Science,chicano studies
30,2017 Spring,2,Ethnic Studies,190,1,Clg of Letters & Science,chicano studies
31,2017 Spring,1,Ethnic Studies,190,2,Clg of Letters & Science,chicano studies
32,2017 Spring,1,Ethnic Studies,197,1,Clg of Letters & Science,chicano studies
33,2017 Spring,1,Ethnic Studies,197,3,Clg of Letters & Science,chicano studies
34,2017 Spring,2,Ethnic Studies,197,9,Clg of Letters & Science,chicano studies
35,2017 Spring,2,Ethnic Studies,197,11,Clg of Letters & Science,chicano studies
36,2017 Spring,1,Ethnic Studies,198,8,Clg of Letters & Science,chicano studies
37,2017 Spring,1,French,2,4,Clg of Letters & Science,chicano studies
38,2017 Spring,1,Legal Studies,132AC,1,School of Law,chicano studies
39,2017 Spring,1,Legal Studies,160,1,School of Law,chicano studies
40,2017 Spring,1,Native American Studies,110,1,Clg of Letters & Science,chicano studies
41,2017 Spring,1,Political Science,110B,1,Clg of Letters & Science,chicano studies
42,2017 Spring,1,Political Science,186,1,Clg of Letters & Science,chicano studies
43,2017 Spring,1,Political Science,191,5,Clg of Letters & Science,chicano studies
44,2017 Spring,1,Psychology,110,1,Clg of Letters & Science,chicano studies
45,2017 Spring,1,Public Policy,C103,1,Goldman School Public Policy,chicano studies
46,2017 Spring,1,Sociology,C115,1,Clg of Letters & Science,chicano studies
47,2017 Spring,1,Sociology,198,8,Clg of Letters & Science,chicano studies
48,2017 Spring,1,Spanish,21,1,Clg of Letters & Science,chicano studies
49,2017 Spring,1,Spanish,100,1,Clg of Letters & Science,chicano studies
50,2017 Spring,1,Spanish,102A,2,Clg of Letters & Science,chicano studies
51,2017 Spring,1,Spanish,198,2,Clg of Letters & Science,chicano studies
52,2017 Spring,1,Theater Dance & Perf Stds,111,1,Clg of Letters & Science,chicano studies
53,2017 Spring,1,Theater Dance & Perf Stds,171,2,Clg of Letters & Science,chicano studies
