Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,Anthropology,160AC,1,Clg of Letters & Science,chinese
1,2017 Spring,1,Asian Studies,198,3,Clg of Letters & Science,chinese
2,2017 Spring,2,Astronomy,C12,1,Clg of Letters & Science,chinese
3,2017 Spring,1,Buddhist Studies,190,1,Clg of Letters & Science,chinese
4,2017 Spring,1,Chemistry,1A,2,Clg of Chemistry,chinese
5,2017 Spring,4,Chinese,7B,1,Clg of Letters & Science,chinese
6,2017 Spring,2,Chinese,10B,1,Clg of Letters & Science,chinese
7,2017 Spring,3,Chinese,100B,1,Clg of Letters & Science,chinese
8,2017 Spring,1,Chinese,100XB,1,Clg of Letters & Science,chinese
9,2017 Spring,2,Chinese,101,1,Clg of Letters & Science,chinese
10,2017 Spring,1,Chinese,101,2,Clg of Letters & Science,chinese
11,2017 Spring,8,Chinese,110B,1,Clg of Letters & Science,chinese
12,2017 Spring,1,Chinese,112,1,Clg of Letters & Science,chinese
13,2017 Spring,7,Chinese,155,1,Clg of Letters & Science,chinese
14,2017 Spring,1,College Writing Programs,130,1,Clg of Letters & Science,chinese
15,2017 Spring,1,East Asian Languages,105,1,Clg of Letters & Science,chinese
16,2017 Spring,1,East Asian Languages,110,1,Clg of Letters & Science,chinese
17,2017 Spring,5,East Asian Languages,112,1,Clg of Letters & Science,chinese
18,2017 Spring,1,East Asian Languages,C128,1,Clg of Letters & Science,chinese
19,2017 Spring,2,East Asian Languages,191,1,Clg of Letters & Science,chinese
20,2017 Spring,1,Economics,140,1,Clg of Letters & Science,chinese
21,2017 Spring,1,Education,190AC,2,Grad School of Education,chinese
22,2017 Spring,1,Education,198,1,Grad School of Education,chinese
23,2017 Spring,1,"Env Sci, Policy, & Mgmt",15,1,Clg of Natural Resources,chinese
24,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,15,Clg of Natural Resources,chinese
25,2017 Spring,1,History,119A,1,Clg of Letters & Science,chinese
26,2017 Spring,1,History,160,1,Clg of Letters & Science,chinese
27,2017 Spring,1,Japanese,7B,1,Clg of Letters & Science,chinese
28,2017 Spring,1,Japanese,80,1,Clg of Letters & Science,chinese
29,2017 Spring,1,Korean,1A,1,Clg of Letters & Science,chinese
30,2017 Spring,1,Legal Studies,132AC,1,School of Law,chinese
31,2017 Spring,1,Legal Studies,138,1,School of Law,chinese
32,2017 Spring,1,Molecular & Cell Biology,C103,1,Clg of Letters & Science,chinese
33,2017 Spring,1,Molecular & Cell Biology,104,1,Clg of Letters & Science,chinese
34,2017 Spring,2,Music,140,3,Clg of Letters & Science,chinese
35,2017 Spring,1,Music,148,1,Clg of Letters & Science,chinese
36,2017 Spring,1,Nutritional Science & Tox,121,1,Clg of Natural Resources,chinese
37,2017 Spring,1,Physical Education,1,42,Clg of Letters & Science,chinese
38,2017 Spring,1,Physical Education,2,4,Clg of Letters & Science,chinese
39,2017 Spring,1,Political Science,2,1,Clg of Letters & Science,chinese
40,2017 Spring,1,Psychology,156,1,Clg of Letters & Science,chinese
41,2017 Spring,1,Psychology,169,1,Clg of Letters & Science,chinese
42,2017 Spring,1,Social Welfare,198,1,School of Social Welfare,chinese
43,2017 Spring,1,UGIS-UG Interdisc Studies,188,1,Clg of Letters & Science,chinese
