Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,1B,1,Clg of Letters & Science,civil engineering
1,2017 Spring,2,African American Studies,115,1,Clg of Letters & Science,civil engineering
2,2017 Spring,2,African American Studies,156AC,1,Clg of Letters & Science,civil engineering
3,2017 Spring,4,Anthropology,3AC,1,Clg of Letters & Science,civil engineering
4,2017 Spring,1,Anthropology,R5B,2,Clg of Letters & Science,civil engineering
5,2017 Spring,2,Anthropology,121AC,1,Clg of Letters & Science,civil engineering
6,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,civil engineering
7,2017 Spring,1,Architecture,24,2,Clg of Environmental Design,civil engineering
8,2017 Spring,1,Architecture,129,1,Clg of Environmental Design,civil engineering
9,2017 Spring,1,Architecture,140,1,Clg of Environmental Design,civil engineering
10,2017 Spring,2,Architecture,170B,1,Clg of Environmental Design,civil engineering
11,2017 Spring,1,Asian American Studies,R2A,1,Clg of Letters & Science,civil engineering
12,2017 Spring,1,Asian American Studies,R2B,2,Clg of Letters & Science,civil engineering
13,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,civil engineering
14,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,civil engineering
15,2017 Spring,1,Asian American Studies,194B,1,Clg of Letters & Science,civil engineering
16,2017 Spring,1,Asian American Studies,198,3,Clg of Letters & Science,civil engineering
17,2017 Spring,1,Asian American Studies,198,4,Clg of Letters & Science,civil engineering
18,2017 Spring,2,Astronomy,198,2,Clg of Letters & Science,civil engineering
19,2017 Spring,3,Biology,1B,1,Clg of Letters & Science,civil engineering
20,2017 Spring,2,Biology,1B,3,Clg of Letters & Science,civil engineering
21,2017 Spring,1,Business Admin-Undergrad,180,1,Haas School of Business,civil engineering
22,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,civil engineering
23,2017 Spring,1,Business Admin-Undergrad,198,2,Haas School of Business,civil engineering
24,2017 Spring,1,Business Admin-Undergrad,198,8,Haas School of Business,civil engineering
25,2017 Spring,1,Catalan,101,1,Clg of Letters & Science,civil engineering
26,2017 Spring,1,Celtic Studies,125,1,Clg of Letters & Science,civil engineering
27,2017 Spring,4,Chemical Engineering,198,3,Clg of Chemistry,civil engineering
28,2017 Spring,2,Chemistry,1A,1,Clg of Chemistry,civil engineering
29,2017 Spring,1,Chemistry,1AL,1,Clg of Chemistry,civil engineering
30,2017 Spring,54,Chemistry,1B,1,Clg of Chemistry,civil engineering
31,2017 Spring,1,Chemistry,3B,1,Clg of Chemistry,civil engineering
32,2017 Spring,1,Chemistry,3BL,1,Clg of Chemistry,civil engineering
33,2017 Spring,1,Chicano Studies,150B,1,Clg of Letters & Science,civil engineering
34,2017 Spring,1,Chicano Studies,180AC,1,Clg of Letters & Science,civil engineering
35,2017 Spring,1,Chicano Studies,197,4,Clg of Letters & Science,civil engineering
36,2017 Spring,1,Chinese,112,1,Clg of Letters & Science,civil engineering
37,2017 Spring,1,City & Regional Planning,98,1,Clg of Environmental Design,civil engineering
38,2017 Spring,1,City & Regional Planning,114,1,Clg of Environmental Design,civil engineering
39,2017 Spring,1,City & Regional Planning,118AC,1,Clg of Environmental Design,civil engineering
40,2017 Spring,71,Civil & Environmental Eng,11,1,Clg of Engineering,civil engineering
41,2017 Spring,1,Civil & Environmental Eng,24,1,Clg of Engineering,civil engineering
42,2017 Spring,2,Civil & Environmental Eng,24,2,Clg of Engineering,civil engineering
43,2017 Spring,2,Civil & Environmental Eng,24,3,Clg of Engineering,civil engineering
44,2017 Spring,11,Civil & Environmental Eng,C30,1,Clg of Engineering,civil engineering
45,2017 Spring,14,Civil & Environmental Eng,C30,2,Clg of Engineering,civil engineering
46,2017 Spring,23,Civil & Environmental Eng,60,1,Clg of Engineering,civil engineering
47,2017 Spring,51,Civil & Environmental Eng,93,1,Clg of Engineering,civil engineering
48,2017 Spring,10,Civil & Environmental Eng,98,1,Clg of Engineering,civil engineering
49,2017 Spring,7,Civil & Environmental Eng,98,3,Clg of Engineering,civil engineering
50,2017 Spring,15,Civil & Environmental Eng,98,4,Clg of Engineering,civil engineering
51,2017 Spring,10,Civil & Environmental Eng,98,5,Clg of Engineering,civil engineering
52,2017 Spring,5,Civil & Environmental Eng,98,6,Clg of Engineering,civil engineering
53,2017 Spring,48,Civil & Environmental Eng,103,1,Clg of Engineering,civil engineering
54,2017 Spring,6,Civil & Environmental Eng,C106,1,Clg of Engineering,civil engineering
55,2017 Spring,9,Civil & Environmental Eng,107,1,Clg of Engineering,civil engineering
56,2017 Spring,49,Civil & Environmental Eng,110,1,Clg of Engineering,civil engineering
57,2017 Spring,10,Civil & Environmental Eng,112,1,Clg of Engineering,civil engineering
58,2017 Spring,8,Civil & Environmental Eng,113,1,Clg of Engineering,civil engineering
59,2017 Spring,1,Civil & Environmental Eng,C116,1,Clg of Engineering,civil engineering
60,2017 Spring,72,Civil & Environmental Eng,120,1,Clg of Engineering,civil engineering
61,2017 Spring,8,Civil & Environmental Eng,122L,1,Clg of Engineering,civil engineering
62,2017 Spring,15,Civil & Environmental Eng,123L,1,Clg of Engineering,civil engineering
63,2017 Spring,91,Civil & Environmental Eng,130N,1,Clg of Engineering,civil engineering
64,2017 Spring,8,Civil & Environmental Eng,C133,1,Clg of Engineering,civil engineering
65,2017 Spring,75,Civil & Environmental Eng,155,1,Clg of Engineering,civil engineering
66,2017 Spring,4,Civil & Environmental Eng,171,1,Clg of Engineering,civil engineering
67,2017 Spring,10,Civil & Environmental Eng,177,1,Clg of Engineering,civil engineering
68,2017 Spring,32,Civil & Environmental Eng,180,1,Clg of Engineering,civil engineering
69,2017 Spring,12,Civil & Environmental Eng,198,1,Clg of Engineering,civil engineering
70,2017 Spring,3,Civil & Environmental Eng,198,3,Clg of Engineering,civil engineering
71,2017 Spring,17,Civil & Environmental Eng,198,4,Clg of Engineering,civil engineering
72,2017 Spring,12,Civil & Environmental Eng,198,5,Clg of Engineering,civil engineering
73,2017 Spring,19,Civil & Environmental Eng,198,6,Clg of Engineering,civil engineering
74,2017 Spring,10,Civil & Environmental Eng,198,7,Clg of Engineering,civil engineering
75,2017 Spring,6,Civil & Environmental Eng,198,9,Clg of Engineering,civil engineering
76,2017 Spring,7,Civil & Environmental Eng,198,10,Clg of Engineering,civil engineering
77,2017 Spring,1,Classics,28,1,Clg of Letters & Science,civil engineering
78,2017 Spring,1,Cognitive Science,1,1,Clg of Letters & Science,civil engineering
79,2017 Spring,1,College Writing Programs,R1A,5,Clg of Letters & Science,civil engineering
80,2017 Spring,2,College Writing Programs,R1A,23,Clg of Letters & Science,civil engineering
81,2017 Spring,1,College Writing Programs,R4B,10,Clg of Letters & Science,civil engineering
82,2017 Spring,1,Comparative Literature,R1A,3,Clg of Letters & Science,civil engineering
83,2017 Spring,1,Comparative Literature,R1B,1,Clg of Letters & Science,civil engineering
84,2017 Spring,2,Comparative Literature,R1B,18,Clg of Letters & Science,civil engineering
85,2017 Spring,1,Comparative Literature,R1B,23,Clg of Letters & Science,civil engineering
86,2017 Spring,1,Computer Science,C8,1,Clg of Engineering,civil engineering
87,2017 Spring,1,Computer Science,9H,1,Clg of Engineering,civil engineering
88,2017 Spring,4,Computer Science,61A,1,Clg of Engineering,civil engineering
89,2017 Spring,5,Computer Science,61B,1,Clg of Engineering,civil engineering
90,2017 Spring,1,Computer Science,70,1,Clg of Engineering,civil engineering
91,2017 Spring,1,Computer Science,161,1,Clg of Engineering,civil engineering
92,2017 Spring,1,Computer Science,162,1,Clg of Engineering,civil engineering
93,2017 Spring,1,Computer Science,170,1,Clg of Engineering,civil engineering
94,2017 Spring,1,Computer Science,186,1,Clg of Engineering,civil engineering
95,2017 Spring,2,Computer Science,189,1,Clg of Engineering,civil engineering
96,2017 Spring,1,Computer Science,197,212,Clg of Engineering,civil engineering
97,2017 Spring,2,Computer Science,198,56,Clg of Engineering,civil engineering
98,2017 Spring,1,Computer Science,198,64,Clg of Engineering,civil engineering
99,2017 Spring,1,Design Innovation,21,1,Clg of Engineering,civil engineering
100,2017 Spring,1,Design Innovation,22,1,Clg of Engineering,civil engineering
101,2017 Spring,1,Design Innovation,190,3,Clg of Engineering,civil engineering
102,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,civil engineering
103,2017 Spring,2,Design Innovation,198,3,Clg of Engineering,civil engineering
104,2017 Spring,1,Dutch,166,1,Clg of Letters & Science,civil engineering
105,2017 Spring,1,East Asian Languages,R1B,1,Clg of Letters & Science,civil engineering
106,2017 Spring,1,East Asian Languages,R1B,2,Clg of Letters & Science,civil engineering
107,2017 Spring,1,East Asian Languages,110,1,Clg of Letters & Science,civil engineering
108,2017 Spring,5,Economics,1,1,Clg of Letters & Science,civil engineering
109,2017 Spring,1,Economics,100A,1,Clg of Letters & Science,civil engineering
110,2017 Spring,1,Economics,133,1,Clg of Letters & Science,civil engineering
111,2017 Spring,1,Economics,138,1,Clg of Letters & Science,civil engineering
112,2017 Spring,1,Economics,172,1,Clg of Letters & Science,civil engineering
113,2017 Spring,1,Education,98,40,Grad School of Education,civil engineering
114,2017 Spring,1,Education,130,1,Grad School of Education,civil engineering
115,2017 Spring,2,Education,131AC,1,Grad School of Education,civil engineering
116,2017 Spring,1,Education,140AC,3,Grad School of Education,civil engineering
117,2017 Spring,1,Education,182AC,1,Grad School of Education,civil engineering
118,2017 Spring,1,Education,183,1,Grad School of Education,civil engineering
119,2017 Spring,2,Education,197,10,Grad School of Education,civil engineering
120,2017 Spring,1,Education,198,9,Grad School of Education,civil engineering
121,2017 Spring,2,Electrical Engineering,16A,1,Clg of Engineering,civil engineering
122,2017 Spring,2,Electrical Engineering,127,1,Clg of Engineering,civil engineering
123,2017 Spring,1,Electrical Engineering,C128,1,Clg of Engineering,civil engineering
124,2017 Spring,2,Electrical Engineering,137B,1,Clg of Engineering,civil engineering
125,2017 Spring,3,Electrical Engineering,198,1,Clg of Engineering,civil engineering
126,2017 Spring,1,Energy and Resources,102,1,Clg of Natural Resources,civil engineering
127,2017 Spring,78,Engineering,7,1,Clg of Engineering,civil engineering
128,2017 Spring,9,Engineering,25,1,Clg of Engineering,civil engineering
129,2017 Spring,3,Engineering,26,1,Clg of Engineering,civil engineering
130,2017 Spring,5,Engineering,98,1,Clg of Engineering,civil engineering
131,2017 Spring,2,Engineering,120,1,Clg of Engineering,civil engineering
132,2017 Spring,16,Engineering,157AC,1,Clg of Engineering,civil engineering
133,2017 Spring,10,Engineering,177,1,Clg of Engineering,civil engineering
134,2017 Spring,2,Engineering,198,1,Clg of Engineering,civil engineering
135,2017 Spring,1,English,80K,1,Clg of Letters & Science,civil engineering
136,2017 Spring,1,English,111,1,Clg of Letters & Science,civil engineering
137,2017 Spring,1,English,139,1,Clg of Letters & Science,civil engineering
138,2017 Spring,1,English,C181,1,Clg of Letters & Science,civil engineering
139,2017 Spring,1,English,190,8,Clg of Letters & Science,civil engineering
