Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,classical civilizations
1,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,classical civilizations
2,2017 Spring,1,Astronomy,C12,1,Clg of Letters & Science,classical civilizations
3,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,classical civilizations
4,2017 Spring,1,Business Admin-Undergrad,120B,1,Haas School of Business,classical civilizations
5,2017 Spring,1,Business Admin-Undergrad,127,1,Haas School of Business,classical civilizations
6,2017 Spring,1,Chemistry,3B,2,Clg of Chemistry,classical civilizations
7,2017 Spring,1,Classics,17B,1,Clg of Letters & Science,classical civilizations
8,2017 Spring,1,Classics,28,1,Clg of Letters & Science,classical civilizations
9,2017 Spring,1,Classics,35,1,Clg of Letters & Science,classical civilizations
10,2017 Spring,3,Classics,130,1,Clg of Letters & Science,classical civilizations
11,2017 Spring,7,Classics,161,1,Clg of Letters & Science,classical civilizations
12,2017 Spring,1,Classics,170A,1,Clg of Letters & Science,classical civilizations
13,2017 Spring,1,Classics,C175F,1,Clg of Letters & Science,classical civilizations
14,2017 Spring,3,Classics,180,1,Clg of Letters & Science,classical civilizations
15,2017 Spring,1,English,45A,1,Clg of Letters & Science,classical civilizations
16,2017 Spring,1,English,H195B,1,Clg of Letters & Science,classical civilizations
17,2017 Spring,1,English,198BC,7,Clg of Letters & Science,classical civilizations
18,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,classical civilizations
19,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,6,Clg of Natural Resources,classical civilizations
20,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,12,Clg of Natural Resources,classical civilizations
21,2017 Spring,1,Film,140,2,Clg of Letters & Science,classical civilizations
22,2017 Spring,1,Greek,101,1,Clg of Letters & Science,classical civilizations
23,2017 Spring,1,Greek,122,1,Clg of Letters & Science,classical civilizations
24,2017 Spring,1,History,4B,1,Clg of Letters & Science,classical civilizations
25,2017 Spring,1,History,106B,1,Clg of Letters & Science,classical civilizations
26,2017 Spring,1,History of Art,192DH,1,Clg of Letters & Science,classical civilizations
27,2017 Spring,1,History of Art,C196A,1,Clg of Letters & Science,classical civilizations
28,2017 Spring,1,History of Art,C196B,1,Clg of Letters & Science,classical civilizations
29,2017 Spring,1,History of Art,198,1,Clg of Letters & Science,classical civilizations
30,2017 Spring,1,Integrative Biology,132,1,Clg of Letters & Science,classical civilizations
31,2017 Spring,1,Integrative Biology,132L,4,Clg of Letters & Science,classical civilizations
32,2017 Spring,1,Integrative Biology,169,1,Clg of Letters & Science,classical civilizations
33,2017 Spring,1,Integrative Biology,172,1,Clg of Letters & Science,classical civilizations
34,2017 Spring,1,Interdisciplinary Studies,190,5,Clg of Letters & Science,classical civilizations
35,2017 Spring,1,Latin,40,1,Clg of Letters & Science,classical civilizations
36,2017 Spring,1,Latin,100,1,Clg of Letters & Science,classical civilizations
37,2017 Spring,3,Latin,101,1,Clg of Letters & Science,classical civilizations
38,2017 Spring,1,Latin,102,1,Clg of Letters & Science,classical civilizations
39,2017 Spring,1,Latin,140,1,Clg of Letters & Science,classical civilizations
40,2017 Spring,1,Legal Studies,100,1,School of Law,classical civilizations
41,2017 Spring,1,Legal Studies,132AC,1,School of Law,classical civilizations
42,2017 Spring,1,Legal Studies,177,1,School of Law,classical civilizations
43,2017 Spring,1,Linguistics,108,1,Clg of Letters & Science,classical civilizations
44,2017 Spring,1,Mathematics,10B,1,Clg of Letters & Science,classical civilizations
45,2017 Spring,2,Near Eastern Studies,102B,1,Clg of Letters & Science,classical civilizations
46,2017 Spring,1,Near Eastern Studies,109,1,Clg of Letters & Science,classical civilizations
47,2017 Spring,1,Nutritional Science & Tox,10,1,Clg of Natural Resources,classical civilizations
48,2017 Spring,1,Nutritional Science & Tox,11,1,Clg of Natural Resources,classical civilizations
49,2017 Spring,1,Philosophy,3,1,Clg of Letters & Science,classical civilizations
50,2017 Spring,1,Philosophy,12A,1,Clg of Letters & Science,classical civilizations
51,2017 Spring,1,Philosophy,25B,1,Clg of Letters & Science,classical civilizations
52,2017 Spring,1,Physical Education,1,23,Clg of Letters & Science,classical civilizations
53,2017 Spring,1,Physical Education,2,9,Clg of Letters & Science,classical civilizations
54,2017 Spring,1,Physics,8A,2,Clg of Letters & Science,classical civilizations
55,2017 Spring,1,Political Science,2,1,Clg of Letters & Science,classical civilizations
56,2017 Spring,1,Political Science,124A,1,Clg of Letters & Science,classical civilizations
57,2017 Spring,1,Political Science,138E,1,Clg of Letters & Science,classical civilizations
58,2017 Spring,1,Scandinavian,160,1,Clg of Letters & Science,classical civilizations
59,2017 Spring,1,Sociology,145,1,Clg of Letters & Science,classical civilizations
