Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Chemical Engineering,154,1,Clg of Chemistry,classical languages
1,2017 Spring,1,Chemistry,120A,1,Clg of Chemistry,classical languages
2,2017 Spring,2,Classics,10B,1,Clg of Letters & Science,classical languages
3,2017 Spring,2,Classics,28,1,Clg of Letters & Science,classical languages
4,2017 Spring,1,Classics,161,1,Clg of Letters & Science,classical languages
5,2017 Spring,1,Computer Science,186,1,Clg of Engineering,classical languages
6,2017 Spring,1,Electrical Engineering,143,1,Clg of Engineering,classical languages
7,2017 Spring,3,Greek,101,1,Clg of Letters & Science,classical languages
8,2017 Spring,1,Greek,122,1,Clg of Letters & Science,classical languages
9,2017 Spring,1,History,8B,1,Clg of Letters & Science,classical languages
10,2017 Spring,1,History,101,2,Clg of Letters & Science,classical languages
11,2017 Spring,3,History,101,5,Clg of Letters & Science,classical languages
12,2017 Spring,1,History,103B,2,Clg of Letters & Science,classical languages
13,2017 Spring,1,History,103F,1,Clg of Letters & Science,classical languages
14,2017 Spring,1,History,106B,1,Clg of Letters & Science,classical languages
15,2017 Spring,2,Latin,40,1,Clg of Letters & Science,classical languages
16,2017 Spring,1,Latin,101,1,Clg of Letters & Science,classical languages
17,2017 Spring,5,Latin,102,1,Clg of Letters & Science,classical languages
18,2017 Spring,1,Latin,122,1,Clg of Letters & Science,classical languages
19,2017 Spring,1,Latin,140,1,Clg of Letters & Science,classical languages
20,2017 Spring,1,Music,142,2,Clg of Letters & Science,classical languages
21,2017 Spring,1,Norwegian,1B,1,Clg of Letters & Science,classical languages
22,2017 Spring,1,Physical Education,3,10,Clg of Letters & Science,classical languages
23,2017 Spring,1,Political Science,157A,1,Clg of Letters & Science,classical languages
24,2017 Spring,1,Political Science,H190B,2,Clg of Letters & Science,classical languages
