Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,Aerospace Studies,1B,1,Clg of Letters & Science,cnr undeclared
1,2017 Spring,1,Aerospace Studies,100,1,Clg of Letters & Science,cnr undeclared
2,2017 Spring,1,African American Studies,5B,1,Clg of Letters & Science,cnr undeclared
3,2017 Spring,4,African American Studies,28AC,1,Clg of Letters & Science,cnr undeclared
4,2017 Spring,1,African American Studies,98BC,2,Clg of Letters & Science,cnr undeclared
5,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,cnr undeclared
6,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,cnr undeclared
7,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,cnr undeclared
8,2017 Spring,2,African American Studies,194B,1,Clg of Letters & Science,cnr undeclared
9,2017 Spring,1,American Studies,10,1,Clg of Letters & Science,cnr undeclared
10,2017 Spring,9,Anthropology,1,1,Clg of Letters & Science,cnr undeclared
11,2017 Spring,6,Anthropology,2AC,1,Clg of Letters & Science,cnr undeclared
12,2017 Spring,7,Anthropology,3AC,1,Clg of Letters & Science,cnr undeclared
13,2017 Spring,1,Anthropology,R5B,4,Clg of Letters & Science,cnr undeclared
14,2017 Spring,1,Anthropology,121AC,1,Clg of Letters & Science,cnr undeclared
15,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,cnr undeclared
16,2017 Spring,1,Anthropology,198,20,Clg of Letters & Science,cnr undeclared
17,2017 Spring,1,Arabic,1B,2,Clg of Letters & Science,cnr undeclared
18,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,cnr undeclared
19,2017 Spring,1,Asian American Studies,R2A,1,Clg of Letters & Science,cnr undeclared
20,2017 Spring,4,Asian American Studies,R2B,1,Clg of Letters & Science,cnr undeclared
21,2017 Spring,1,Asian American Studies,R2B,2,Clg of Letters & Science,cnr undeclared
22,2017 Spring,2,Asian American Studies,20A,1,Clg of Letters & Science,cnr undeclared
23,2017 Spring,1,Asian American Studies,151AC,1,Clg of Letters & Science,cnr undeclared
24,2017 Spring,1,Asian Studies,198,4,Clg of Letters & Science,cnr undeclared
25,2017 Spring,2,Astronomy,C12,1,Clg of Letters & Science,cnr undeclared
26,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,cnr undeclared
27,2017 Spring,6,Biology,1A,1,Clg of Letters & Science,cnr undeclared
28,2017 Spring,4,Biology,1A,2,Clg of Letters & Science,cnr undeclared
29,2017 Spring,7,Biology,1AL,1,Clg of Letters & Science,cnr undeclared
30,2017 Spring,3,Biology,1AL,2,Clg of Letters & Science,cnr undeclared
31,2017 Spring,13,Biology,1B,1,Clg of Letters & Science,cnr undeclared
32,2017 Spring,8,Biology,1B,2,Clg of Letters & Science,cnr undeclared
33,2017 Spring,3,Biology,1B,3,Clg of Letters & Science,cnr undeclared
34,2017 Spring,2,Business Admin-Undergrad,C5,1,Haas School of Business,cnr undeclared
35,2017 Spring,8,Business Admin-Undergrad,10,1,Haas School of Business,cnr undeclared
36,2017 Spring,4,Business Admin-Undergrad,96,1,Haas School of Business,cnr undeclared
37,2017 Spring,2,Business Admin-Undergrad,96,2,Haas School of Business,cnr undeclared
38,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,cnr undeclared
39,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,cnr undeclared
40,2017 Spring,2,Business Admin-Undergrad,196,2,Haas School of Business,cnr undeclared
41,2017 Spring,2,Business Admin-Undergrad,198,1,Haas School of Business,cnr undeclared
42,2017 Spring,1,Business Admin-Undergrad,198,4,Haas School of Business,cnr undeclared
43,2017 Spring,1,Business Admin-Undergrad,198,5,Haas School of Business,cnr undeclared
44,2017 Spring,2,Business Admin-Undergrad,198,6,Haas School of Business,cnr undeclared
45,2017 Spring,1,Catalan,101,1,Clg of Letters & Science,cnr undeclared
46,2017 Spring,1,Celtic Studies,R1B,1,Clg of Letters & Science,cnr undeclared
47,2017 Spring,1,Celtic Studies,R1B,2,Clg of Letters & Science,cnr undeclared
48,2017 Spring,19,Chemistry,1A,1,Clg of Chemistry,cnr undeclared
49,2017 Spring,10,Chemistry,1A,2,Clg of Chemistry,cnr undeclared
50,2017 Spring,12,Chemistry,1AL,1,Clg of Chemistry,cnr undeclared
51,2017 Spring,11,Chemistry,1AL,2,Clg of Chemistry,cnr undeclared
52,2017 Spring,8,Chemistry,3A,1,Clg of Chemistry,cnr undeclared
53,2017 Spring,3,Chemistry,3A,2,Clg of Chemistry,cnr undeclared
54,2017 Spring,6,Chemistry,3AL,1,Clg of Chemistry,cnr undeclared
55,2017 Spring,3,Chemistry,3AL,2,Clg of Chemistry,cnr undeclared
56,2017 Spring,3,Chemistry,3B,1,Clg of Chemistry,cnr undeclared
57,2017 Spring,2,Chemistry,3B,2,Clg of Chemistry,cnr undeclared
58,2017 Spring,4,Chemistry,3BL,1,Clg of Chemistry,cnr undeclared
59,2017 Spring,2,Chemistry,4B,1,Clg of Chemistry,cnr undeclared
60,2017 Spring,3,Chicano Studies,R1A,1,Clg of Letters & Science,cnr undeclared
61,2017 Spring,1,Chicano Studies,50,1,Clg of Letters & Science,cnr undeclared
62,2017 Spring,1,Chicano Studies,110,1,Clg of Letters & Science,cnr undeclared
63,2017 Spring,3,Chicano Studies,194B,1,Clg of Letters & Science,cnr undeclared
64,2017 Spring,1,Chinese,10B,2,Clg of Letters & Science,cnr undeclared
65,2017 Spring,1,City & Regional Planning,98,1,Clg of Environmental Design,cnr undeclared
66,2017 Spring,2,City & Regional Planning,101,1,Clg of Environmental Design,cnr undeclared
67,2017 Spring,1,Civil & Environmental Eng,98,2,Clg of Engineering,cnr undeclared
68,2017 Spring,1,Civil & Environmental Eng,110,1,Clg of Engineering,cnr undeclared
69,2017 Spring,1,Civil & Environmental Eng,198,3,Clg of Engineering,cnr undeclared
70,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,cnr undeclared
71,2017 Spring,1,Classics,17B,1,Clg of Letters & Science,cnr undeclared
72,2017 Spring,1,Classics,24,1,Clg of Letters & Science,cnr undeclared
73,2017 Spring,4,Classics,28,1,Clg of Letters & Science,cnr undeclared
74,2017 Spring,1,Classics,39D,1,Clg of Letters & Science,cnr undeclared
75,2017 Spring,4,Cognitive Science,1,1,Clg of Letters & Science,cnr undeclared
76,2017 Spring,1,Cognitive Science,198,3,Clg of Letters & Science,cnr undeclared
77,2017 Spring,1,College Writing Programs,1,1,Clg of Letters & Science,cnr undeclared
78,2017 Spring,1,College Writing Programs,R1A,6,Clg of Letters & Science,cnr undeclared
79,2017 Spring,1,College Writing Programs,R1A,8,Clg of Letters & Science,cnr undeclared
80,2017 Spring,1,College Writing Programs,R1A,10,Clg of Letters & Science,cnr undeclared
81,2017 Spring,1,College Writing Programs,R1A,12,Clg of Letters & Science,cnr undeclared
82,2017 Spring,1,College Writing Programs,R4B,1,Clg of Letters & Science,cnr undeclared
83,2017 Spring,1,College Writing Programs,R4B,2,Clg of Letters & Science,cnr undeclared
84,2017 Spring,1,College Writing Programs,R4B,3,Clg of Letters & Science,cnr undeclared
85,2017 Spring,1,College Writing Programs,R4B,7,Clg of Letters & Science,cnr undeclared
86,2017 Spring,1,College Writing Programs,R4B,8,Clg of Letters & Science,cnr undeclared
87,2017 Spring,2,College Writing Programs,R4B,11,Clg of Letters & Science,cnr undeclared
88,2017 Spring,2,College Writing Programs,R4B,14,Clg of Letters & Science,cnr undeclared
89,2017 Spring,3,Comparative Literature,R1A,3,Clg of Letters & Science,cnr undeclared
90,2017 Spring,1,Comparative Literature,R1A,4,Clg of Letters & Science,cnr undeclared
91,2017 Spring,2,Comparative Literature,R1A,5,Clg of Letters & Science,cnr undeclared
92,2017 Spring,1,Comparative Literature,R1B,1,Clg of Letters & Science,cnr undeclared
93,2017 Spring,1,Comparative Literature,R1B,9,Clg of Letters & Science,cnr undeclared
94,2017 Spring,1,Comparative Literature,R1B,10,Clg of Letters & Science,cnr undeclared
95,2017 Spring,1,Comparative Literature,R1B,12,Clg of Letters & Science,cnr undeclared
96,2017 Spring,1,Comparative Literature,R1B,13,Clg of Letters & Science,cnr undeclared
97,2017 Spring,1,Comparative Literature,R1B,22,Clg of Letters & Science,cnr undeclared
98,2017 Spring,1,Comparative Literature,R1B,24,Clg of Letters & Science,cnr undeclared
99,2017 Spring,1,Comparative Literature,20,1,Clg of Letters & Science,cnr undeclared
100,2017 Spring,1,Comparative Literature,24,1,Clg of Letters & Science,cnr undeclared
101,2017 Spring,1,Comparative Literature,100,1,Clg of Letters & Science,cnr undeclared
102,2017 Spring,1,Comparative Literature,198,3,Clg of Letters & Science,cnr undeclared
103,2017 Spring,4,Computer Science,C8,1,Clg of Engineering,cnr undeclared
104,2017 Spring,1,Computer Science,9G,1,Clg of Engineering,cnr undeclared
105,2017 Spring,6,Computer Science,10,1,Clg of Engineering,cnr undeclared
106,2017 Spring,10,Computer Science,61A,1,Clg of Engineering,cnr undeclared
