Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,cognitive science
1,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,cognitive science
2,2017 Spring,1,African American Studies,198,2,Clg of Letters & Science,cognitive science
3,2017 Spring,2,American Studies,102,1,Clg of Letters & Science,cognitive science
4,2017 Spring,1,American Studies,C112B,1,Clg of Letters & Science,cognitive science
5,2017 Spring,1,American Studies,C172,1,Clg of Letters & Science,cognitive science
6,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,cognitive science
7,2017 Spring,1,Anthropology,112,1,Clg of Letters & Science,cognitive science
8,2017 Spring,1,Anthropology,121AC,1,Clg of Letters & Science,cognitive science
9,2017 Spring,25,Anthropology,160AC,1,Clg of Letters & Science,cognitive science
10,2017 Spring,3,Anthropology,170,1,Clg of Letters & Science,cognitive science
11,2017 Spring,1,Anthropology,174AC,1,Clg of Letters & Science,cognitive science
12,2017 Spring,2,Anthropology,189,4,Clg of Letters & Science,cognitive science
13,2017 Spring,1,Anthropology,198,20,Clg of Letters & Science,cognitive science
14,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,cognitive science
15,2017 Spring,1,Armenian,126,1,Clg of Letters & Science,cognitive science
16,2017 Spring,2,Art Practice,12,1,Clg of Letters & Science,cognitive science
17,2017 Spring,1,Art Practice,13,2,Clg of Letters & Science,cognitive science
18,2017 Spring,1,Art Practice,14,1,Clg of Letters & Science,cognitive science
19,2017 Spring,1,Art Practice,100,1,Clg of Letters & Science,cognitive science
20,2017 Spring,1,Art Practice,102,2,Clg of Letters & Science,cognitive science
21,2017 Spring,1,Art Practice,119,1,Clg of Letters & Science,cognitive science
22,2017 Spring,1,Art Practice,138,1,Clg of Letters & Science,cognitive science
23,2017 Spring,2,Art Practice,185,2,Clg of Letters & Science,cognitive science
24,2017 Spring,1,Asian American Studies,R2B,1,Clg of Letters & Science,cognitive science
25,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,cognitive science
26,2017 Spring,1,Asian American Studies,151AC,1,Clg of Letters & Science,cognitive science
27,2017 Spring,1,Asian American Studies,176,1,Clg of Letters & Science,cognitive science
28,2017 Spring,1,Asian American Studies,197,9,Clg of Letters & Science,cognitive science
29,2017 Spring,1,Asian American Studies,197,11,Clg of Letters & Science,cognitive science
30,2017 Spring,3,Asian American Studies,197,13,Clg of Letters & Science,cognitive science
31,2017 Spring,1,Asian American Studies,198,2,Clg of Letters & Science,cognitive science
32,2017 Spring,1,Asian American Studies,198,4,Clg of Letters & Science,cognitive science
33,2017 Spring,3,Asian Studies,198,3,Clg of Letters & Science,cognitive science
34,2017 Spring,1,Asian Studies,198,4,Clg of Letters & Science,cognitive science
35,2017 Spring,1,Astronomy,98,2,Clg of Letters & Science,cognitive science
36,2017 Spring,1,Astronomy,198,2,Clg of Letters & Science,cognitive science
37,2017 Spring,2,Biology,1A,1,Clg of Letters & Science,cognitive science
38,2017 Spring,1,Biology,1A,2,Clg of Letters & Science,cognitive science
39,2017 Spring,3,Biology,1AL,1,Clg of Letters & Science,cognitive science
40,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,cognitive science
41,2017 Spring,2,Buddhist Studies,C128,1,Clg of Letters & Science,cognitive science
42,2017 Spring,1,Business Admin-Undergrad,C5,1,Haas School of Business,cognitive science
43,2017 Spring,1,Business Admin-Undergrad,96,2,Haas School of Business,cognitive science
44,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,cognitive science
45,2017 Spring,1,Business Admin-Undergrad,101B,3,Haas School of Business,cognitive science
46,2017 Spring,3,Business Admin-Undergrad,102A,1,Haas School of Business,cognitive science
47,2017 Spring,1,Business Admin-Undergrad,102B,2,Haas School of Business,cognitive science
48,2017 Spring,1,Business Admin-Undergrad,103,1,Haas School of Business,cognitive science
49,2017 Spring,1,Business Admin-Undergrad,104,1,Haas School of Business,cognitive science
50,2017 Spring,1,Business Admin-Undergrad,105,1,Haas School of Business,cognitive science
51,2017 Spring,1,Business Admin-Undergrad,120AB,2,Haas School of Business,cognitive science
52,2017 Spring,1,Business Admin-Undergrad,137,1,Haas School of Business,cognitive science
53,2017 Spring,2,Business Admin-Undergrad,152,2,Haas School of Business,cognitive science
