Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,135B,1,Clg of Letters & Science,computer science
1,2017 Spring,1,African American Studies,131,1,Clg of Letters & Science,computer science
2,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,computer science
3,2017 Spring,2,African American Studies,142AC,1,Clg of Letters & Science,computer science
4,2017 Spring,2,African American Studies,156AC,1,Clg of Letters & Science,computer science
5,2017 Spring,2,African American Studies,197,3,Clg of Letters & Science,computer science
6,2017 Spring,1,African American Studies,198BC,1,Clg of Letters & Science,computer science
7,2017 Spring,1,American Studies,C172,1,Clg of Letters & Science,computer science
8,2017 Spring,5,Anthropology,1,1,Clg of Letters & Science,computer science
9,2017 Spring,6,Anthropology,2AC,1,Clg of Letters & Science,computer science
10,2017 Spring,11,Anthropology,3AC,1,Clg of Letters & Science,computer science
11,2017 Spring,1,Anthropology,R5B,1,Clg of Letters & Science,computer science
12,2017 Spring,1,Anthropology,R5B,2,Clg of Letters & Science,computer science
13,2017 Spring,2,Anthropology,R5B,3,Clg of Letters & Science,computer science
14,2017 Spring,1,Anthropology,121AC,1,Clg of Letters & Science,computer science
15,2017 Spring,7,Anthropology,160AC,1,Clg of Letters & Science,computer science
16,2017 Spring,7,Anthropology,170,1,Clg of Letters & Science,computer science
17,2017 Spring,2,Anthropology,174AC,1,Clg of Letters & Science,computer science
18,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,computer science
19,2017 Spring,1,Anthropology,198,20,Clg of Letters & Science,computer science
20,2017 Spring,1,Arabic,107,1,Clg of Letters & Science,computer science
21,2017 Spring,1,Architecture,98,3,Clg of Environmental Design,computer science
22,2017 Spring,1,Architecture,98,6,Clg of Environmental Design,computer science
23,2017 Spring,2,Architecture,129,2,Clg of Environmental Design,computer science
24,2017 Spring,1,Architecture,170B,1,Clg of Environmental Design,computer science
25,2017 Spring,1,Architecture,198,3,Clg of Environmental Design,computer science
26,2017 Spring,8,Architecture,198,4,Clg of Environmental Design,computer science
27,2017 Spring,2,Armenian,126,1,Clg of Letters & Science,computer science
28,2017 Spring,3,Art Practice,8,1,Clg of Letters & Science,computer science
29,2017 Spring,1,Art Practice,12,1,Clg of Letters & Science,computer science
30,2017 Spring,1,Art Practice,14,1,Clg of Letters & Science,computer science
31,2017 Spring,3,Art Practice,15,1,Clg of Letters & Science,computer science
32,2017 Spring,1,Art Practice,102,1,Clg of Letters & Science,computer science
33,2017 Spring,2,Art Practice,102,2,Clg of Letters & Science,computer science
34,2017 Spring,2,Art Practice,117,1,Clg of Letters & Science,computer science
35,2017 Spring,1,Art Practice,119,1,Clg of Letters & Science,computer science
36,2017 Spring,1,Art Practice,180,1,Clg of Letters & Science,computer science
37,2017 Spring,1,Art Practice,185,1,Clg of Letters & Science,computer science
38,2017 Spring,1,Art Practice,185,2,Clg of Letters & Science,computer science
39,2017 Spring,3,Art Practice,198,1,Clg of Letters & Science,computer science
40,2017 Spring,4,Art Practice,198,5,Clg of Letters & Science,computer science
41,2017 Spring,1,Asian American Studies,R2B,1,Clg of Letters & Science,computer science
42,2017 Spring,6,Asian American Studies,20A,1,Clg of Letters & Science,computer science
43,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,computer science
44,2017 Spring,2,Asian American Studies,132AC,1,Clg of Letters & Science,computer science
45,2017 Spring,1,Asian American Studies,197,8,Clg of Letters & Science,computer science
46,2017 Spring,2,Asian American Studies,197,13,Clg of Letters & Science,computer science
47,2017 Spring,1,Asian American Studies,198,2,Clg of Letters & Science,computer science
48,2017 Spring,2,Asian American Studies,198,3,Clg of Letters & Science,computer science
49,2017 Spring,1,Asian American Studies,198,4,Clg of Letters & Science,computer science
50,2017 Spring,1,Asian American Studies,198,5,Clg of Letters & Science,computer science
51,2017 Spring,6,Asian Studies,198,3,Clg of Letters & Science,computer science
52,2017 Spring,1,Astronomy,7B,1,Clg of Letters & Science,computer science
53,2017 Spring,1,Astronomy,C12,1,Clg of Letters & Science,computer science
54,2017 Spring,2,Astronomy,84,1,Clg of Letters & Science,computer science
55,2017 Spring,1,Astronomy,121,1,Clg of Letters & Science,computer science
56,2017 Spring,1,Astronomy,198,2,Clg of Letters & Science,computer science
57,2017 Spring,6,Bioengineering,25,1,Clg of Engineering,computer science
58,2017 Spring,1,Bioengineering,84,1,Clg of Engineering,computer science
59,2017 Spring,1,Bioengineering,135,1,Clg of Engineering,computer science
60,2017 Spring,2,Biology,1A,1,Clg of Letters & Science,computer science
61,2017 Spring,1,Biology,1A,2,Clg of Letters & Science,computer science
62,2017 Spring,3,Biology,1AL,1,Clg of Letters & Science,computer science
63,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,computer science
64,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,computer science
65,2017 Spring,1,Buddhist Studies,C115,1,Clg of Letters & Science,computer science
66,2017 Spring,3,Buddhist Studies,C117,1,Clg of Letters & Science,computer science
67,2017 Spring,4,Buddhist Studies,C128,1,Clg of Letters & Science,computer science
68,2017 Spring,3,Business Admin-Undergrad,10,1,Haas School of Business,computer science
69,2017 Spring,2,Business Admin-Undergrad,96,1,Haas School of Business,computer science
70,2017 Spring,6,Business Admin-Undergrad,96,2,Haas School of Business,computer science
71,2017 Spring,3,Business Admin-Undergrad,96,3,Haas School of Business,computer science
72,2017 Spring,1,Business Admin-Undergrad,100,1,Haas School of Business,computer science
73,2017 Spring,1,Business Admin-Undergrad,100,4,Haas School of Business,computer science
74,2017 Spring,1,Business Admin-Undergrad,101B,1,Haas School of Business,computer science
75,2017 Spring,2,Business Admin-Undergrad,101B,2,Haas School of Business,computer science
76,2017 Spring,5,Business Admin-Undergrad,101B,4,Haas School of Business,computer science
77,2017 Spring,1,Business Admin-Undergrad,101B,5,Haas School of Business,computer science
78,2017 Spring,2,Business Admin-Undergrad,102A,1,Haas School of Business,computer science
79,2017 Spring,6,Business Admin-Undergrad,102B,1,Haas School of Business,computer science
80,2017 Spring,4,Business Admin-Undergrad,102B,2,Haas School of Business,computer science
81,2017 Spring,4,Business Admin-Undergrad,103,1,Haas School of Business,computer science
82,2017 Spring,9,Business Admin-Undergrad,103,2,Haas School of Business,computer science
83,2017 Spring,8,Business Admin-Undergrad,104,1,Haas School of Business,computer science
84,2017 Spring,3,Business Admin-Undergrad,105,1,Haas School of Business,computer science
85,2017 Spring,6,Business Admin-Undergrad,106,1,Haas School of Business,computer science
86,2017 Spring,9,Business Admin-Undergrad,107,1,Haas School of Business,computer science
87,2017 Spring,4,Business Admin-Undergrad,118,1,Haas School of Business,computer science
88,2017 Spring,2,Business Admin-Undergrad,119,1,Haas School of Business,computer science
89,2017 Spring,2,Business Admin-Undergrad,131,1,Haas School of Business,computer science
90,2017 Spring,2,Business Admin-Undergrad,137,1,Haas School of Business,computer science
91,2017 Spring,3,Business Admin-Undergrad,152,1,Haas School of Business,computer science
92,2017 Spring,3,Business Admin-Undergrad,152,2,Haas School of Business,computer science
93,2017 Spring,3,Business Admin-Undergrad,155,1,Haas School of Business,computer science
94,2017 Spring,1,Business Admin-Undergrad,157,1,Haas School of Business,computer science
