Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,conservation and resource studies
1,2017 Spring,1,African American Studies,198,2,Clg of Letters & Science,conservation and resource studies
2,2017 Spring,1,Anthropology,128,2,Clg of Letters & Science,conservation and resource studies
3,2017 Spring,7,Anthropology,137,1,Clg of Letters & Science,conservation and resource studies
4,2017 Spring,2,Anthropology,198,20,Clg of Letters & Science,conservation and resource studies
5,2017 Spring,1,Architecture,100B,1,Clg of Environmental Design,conservation and resource studies
6,2017 Spring,1,Architecture,140,1,Clg of Environmental Design,conservation and resource studies
7,2017 Spring,1,Architecture,170B,1,Clg of Environmental Design,conservation and resource studies
8,2017 Spring,1,Architecture,198,1,Clg of Environmental Design,conservation and resource studies
9,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,conservation and resource studies
10,2017 Spring,1,Asian Studies,198,1,Clg of Letters & Science,conservation and resource studies
11,2017 Spring,1,Astronomy,84,1,Clg of Letters & Science,conservation and resource studies
12,2017 Spring,3,Biology,1B,1,Clg of Letters & Science,conservation and resource studies
13,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,conservation and resource studies
14,2017 Spring,1,Biology,1B,3,Clg of Letters & Science,conservation and resource studies
15,2017 Spring,1,Business Admin-Undergrad,C5,1,Haas School of Business,conservation and resource studies
16,2017 Spring,1,Business Admin-Undergrad,96,2,Haas School of Business,conservation and resource studies
17,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,conservation and resource studies
18,2017 Spring,1,Business Admin-Undergrad,191P,1,Haas School of Business,conservation and resource studies
19,2017 Spring,1,Business Admin-Undergrad,192T,1,Haas School of Business,conservation and resource studies
20,2017 Spring,1,Business Admin-Undergrad,195A,1,Haas School of Business,conservation and resource studies
21,2017 Spring,7,Business Admin-Undergrad,196,2,Haas School of Business,conservation and resource studies
22,2017 Spring,1,Chemistry,1A,2,Clg of Chemistry,conservation and resource studies
23,2017 Spring,1,Chemistry,1AL,2,Clg of Chemistry,conservation and resource studies
24,2017 Spring,2,Chemistry,3B,1,Clg of Chemistry,conservation and resource studies
25,2017 Spring,1,Chemistry,3BL,1,Clg of Chemistry,conservation and resource studies
26,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,conservation and resource studies
27,2017 Spring,1,Chicano Studies,141,1,Clg of Letters & Science,conservation and resource studies
28,2017 Spring,2,Chicano Studies,174,1,Clg of Letters & Science,conservation and resource studies
29,2017 Spring,1,Chicano Studies,180,2,Clg of Letters & Science,conservation and resource studies
30,2017 Spring,1,Chicano Studies,180AC,1,Clg of Letters & Science,conservation and resource studies
31,2017 Spring,2,City & Regional Planning,113B,1,Clg of Environmental Design,conservation and resource studies
32,2017 Spring,1,City & Regional Planning,116,1,Clg of Environmental Design,conservation and resource studies
33,2017 Spring,3,City & Regional Planning,118AC,1,Clg of Environmental Design,conservation and resource studies
34,2017 Spring,1,City & Regional Planning,120,1,Clg of Environmental Design,conservation and resource studies
35,2017 Spring,1,City & Regional Planning,190,1,Clg of Environmental Design,conservation and resource studies
36,2017 Spring,1,Civil & Environmental Eng,103,1,Clg of Engineering,conservation and resource studies
37,2017 Spring,3,Civil & Environmental Eng,110,1,Clg of Engineering,conservation and resource studies
38,2017 Spring,1,Civil & Environmental Eng,113,1,Clg of Engineering,conservation and resource studies
39,2017 Spring,1,Classics,28,1,Clg of Letters & Science,conservation and resource studies
40,2017 Spring,1,Cognitive Science,198,1,Clg of Letters & Science,conservation and resource studies
41,2017 Spring,1,College Writing Programs,R4B,13,Clg of Letters & Science,conservation and resource studies
42,2017 Spring,1,College Writing Programs,110,1,Clg of Letters & Science,conservation and resource studies
43,2017 Spring,1,College Writing Programs,130,1,Clg of Letters & Science,conservation and resource studies
44,2017 Spring,1,College Writing Programs,161,1,Clg of Letters & Science,conservation and resource studies
45,2017 Spring,1,Comparative Literature,R1B,13,Clg of Letters & Science,conservation and resource studies
46,2017 Spring,1,Comparative Literature,171,1,Clg of Letters & Science,conservation and resource studies
47,2017 Spring,1,Computer Science,61A,1,Clg of Engineering,conservation and resource studies
48,2017 Spring,1,Design Innovation,21,1,Clg of Engineering,conservation and resource studies
49,2017 Spring,1,Design Innovation,190,2,Clg of Engineering,conservation and resource studies
50,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,conservation and resource studies
51,2017 Spring,1,Design Innovation,198,3,Clg of Engineering,conservation and resource studies
52,2017 Spring,1,Development Studies,C100,1,Clg of Letters & Science,conservation and resource studies
53,2017 Spring,1,Earth & Planetary Science,39A,1,Clg of Letters & Science,conservation and resource studies
54,2017 Spring,2,Economics,1,1,Clg of Letters & Science,conservation and resource studies
55,2017 Spring,1,Economics,C3,1,Clg of Letters & Science,conservation and resource studies
56,2017 Spring,1,Economics,131,1,Clg of Letters & Science,conservation and resource studies
57,2017 Spring,1,Economics,174,1,Clg of Letters & Science,conservation and resource studies
58,2017 Spring,1,Education,98,5,Grad School of Education,conservation and resource studies
59,2017 Spring,1,Education,182AC,1,Grad School of Education,conservation and resource studies
60,2017 Spring,1,Education,188F,1,Grad School of Education,conservation and resource studies
61,2017 Spring,1,Education,197,2,Grad School of Education,conservation and resource studies
62,2017 Spring,1,Education,198,24,Grad School of Education,conservation and resource studies
63,2017 Spring,1,Education,198,41,Grad School of Education,conservation and resource studies
64,2017 Spring,1,Education,198,42,Grad School of Education,conservation and resource studies
65,2017 Spring,1,Energy and Resources,98,1,Clg of Natural Resources,conservation and resource studies
66,2017 Spring,4,Energy and Resources,102,1,Clg of Natural Resources,conservation and resource studies
67,2017 Spring,3,Energy and Resources,190,1,Clg of Natural Resources,conservation and resource studies
68,2017 Spring,1,English,R1B,2,Clg of Letters & Science,conservation and resource studies
69,2017 Spring,2,English,43B,1,Clg of Letters & Science,conservation and resource studies
70,2017 Spring,1,English,45C,2,Clg of Letters & Science,conservation and resource studies
71,2017 Spring,1,English,98BC,2,Clg of Letters & Science,conservation and resource studies
72,2017 Spring,1,English,111,1,Clg of Letters & Science,conservation and resource studies
73,2017 Spring,1,English,139,1,Clg of Letters & Science,conservation and resource studies
74,2017 Spring,1,English,143C,1,Clg of Letters & Science,conservation and resource studies
75,2017 Spring,1,English,166,2,Clg of Letters & Science,conservation and resource studies
76,2017 Spring,1,English,198,3,Clg of Letters & Science,conservation and resource studies
77,2017 Spring,1,English,198,4,Clg of Letters & Science,conservation and resource studies
78,2017 Spring,3,"Env Sci, Policy, & Mgmt",C10,1,Clg of Natural Resources,conservation and resource studies
79,2017 Spring,1,"Env Sci, Policy, & Mgmt",15,1,Clg of Natural Resources,conservation and resource studies
80,2017 Spring,1,"Env Sci, Policy, & Mgmt",24,1,Clg of Natural Resources,conservation and resource studies
81,2017 Spring,3,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,conservation and resource studies
82,2017 Spring,3,"Env Sci, Policy, & Mgmt",72,1,Clg of Natural Resources,conservation and resource studies
83,2017 Spring,4,"Env Sci, Policy, & Mgmt",90,1,Clg of Natural Resources,conservation and resource studies
84,2017 Spring,1,"Env Sci, Policy, & Mgmt",98,6,Clg of Natural Resources,conservation and resource studies
85,2017 Spring,1,"Env Sci, Policy, & Mgmt",98,7,Clg of Natural Resources,conservation and resource studies
86,2017 Spring,1,"Env Sci, Policy, & Mgmt",98BC,2,Clg of Natural Resources,conservation and resource studies
87,2017 Spring,1,"Env Sci, Policy, & Mgmt",98BC,3,Clg of Natural Resources,conservation and resource studies
88,2017 Spring,1,"Env Sci, Policy, & Mgmt",98BC,6,Clg of Natural Resources,conservation and resource studies
89,2017 Spring,1,"Env Sci, Policy, & Mgmt",102C,1,Clg of Natural Resources,conservation and resource studies
90,2017 Spring,8,"Env Sci, Policy, & Mgmt",102D,1,Clg of Natural Resources,conservation and resource studies
91,2017 Spring,1,"Env Sci, Policy, & Mgmt",112,1,Clg of Natural Resources,conservation and resource studies
92,2017 Spring,4,"Env Sci, Policy, & Mgmt",113,1,Clg of Natural Resources,conservation and resource studies
93,2017 Spring,16,"Env Sci, Policy, & Mgmt",114,1,Clg of Natural Resources,conservation and resource studies
94,2017 Spring,1,"Env Sci, Policy, & Mgmt",C115C,1,Clg of Natural Resources,conservation and resource studies
95,2017 Spring,2,"Env Sci, Policy, & Mgmt",131,1,Clg of Natural Resources,conservation and resource studies
96,2017 Spring,1,"Env Sci, Policy, & Mgmt",132,1,Clg of Natural Resources,conservation and resource studies
97,2017 Spring,7,"Env Sci, Policy, & Mgmt",134,1,Clg of Natural Resources,conservation and resource studies
98,2017 Spring,2,"Env Sci, Policy, & Mgmt",144,1,Clg of Natural Resources,conservation and resource studies
99,2017 Spring,2,"Env Sci, Policy, & Mgmt",C148,1,Clg of Natural Resources,conservation and resource studies
100,2017 Spring,2,"Env Sci, Policy, & Mgmt",150,1,Clg of Natural Resources,conservation and resource studies
101,2017 Spring,2,"Env Sci, Policy, & Mgmt",150,2,Clg of Natural Resources,conservation and resource studies
102,2017 Spring,20,"Env Sci, Policy, & Mgmt",152,1,Clg of Natural Resources,conservation and resource studies
103,2017 Spring,15,"Env Sci, Policy, & Mgmt",158,1,Clg of Natural Resources,conservation and resource studies
104,2017 Spring,17,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,conservation and resource studies
105,2017 Spring,4,"Env Sci, Policy, & Mgmt",165,1,Clg of Natural Resources,conservation and resource studies
106,2017 Spring,14,"Env Sci, Policy, & Mgmt",C167,1,Clg of Natural Resources,conservation and resource studies
107,2017 Spring,10,"Env Sci, Policy, & Mgmt",168,1,Clg of Natural Resources,conservation and resource studies
108,2017 Spring,1,"Env Sci, Policy, & Mgmt",174,1,Clg of Natural Resources,conservation and resource studies
109,2017 Spring,1,"Env Sci, Policy, & Mgmt",C177,1,Clg of Natural Resources,conservation and resource studies
110,2017 Spring,1,"Env Sci, Policy, & Mgmt",C180,1,Clg of Natural Resources,conservation and resource studies
111,2017 Spring,3,"Env Sci, Policy, & Mgmt",181A,1,Clg of Natural Resources,conservation and resource studies
112,2017 Spring,2,"Env Sci, Policy, & Mgmt",183,1,Clg of Natural Resources,conservation and resource studies
113,2017 Spring,4,"Env Sci, Policy, & Mgmt",186,1,Clg of Natural Resources,conservation and resource studies
114,2017 Spring,17,"Env Sci, Policy, & Mgmt",194A,1,Clg of Natural Resources,conservation and resource studies
115,2017 Spring,23,"Env Sci, Policy, & Mgmt",194A,2,Clg of Natural Resources,conservation and resource studies
116,2017 Spring,2,"Env Sci, Policy, & Mgmt",194B,1,Clg of Natural Resources,conservation and resource studies
117,2017 Spring,2,"Env Sci, Policy, & Mgmt",197,2,Clg of Natural Resources,conservation and resource studies
118,2017 Spring,3,"Env Sci, Policy, & Mgmt",197,4,Clg of Natural Resources,conservation and resource studies
119,2017 Spring,1,"Env Sci, Policy, & Mgmt",197,15,Clg of Natural Resources,conservation and resource studies
120,2017 Spring,1,"Env Sci, Policy, & Mgmt",197,27,Clg of Natural Resources,conservation and resource studies
