Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Chicano Studies,176,1,Clg of Letters & Science,dance and performance studies
1,2017 Spring,1,Computer Science,C8,1,Clg of Engineering,dance and performance studies
2,2017 Spring,1,Economics,100B,1,Clg of Letters & Science,dance and performance studies
3,2017 Spring,1,Education,198,4,Grad School of Education,dance and performance studies
4,2017 Spring,1,English,190,10,Clg of Letters & Science,dance and performance studies
5,2017 Spring,1,"Env Sci, Policy, & Mgmt",98,5,Clg of Natural Resources,dance and performance studies
6,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,9,Clg of Natural Resources,dance and performance studies
7,2017 Spring,1,Ethnic Studies,197,11,Clg of Letters & Science,dance and performance studies
8,2017 Spring,1,French,4,4,Clg of Letters & Science,dance and performance studies
9,2017 Spring,1,Gender & Womens Studies,10,1,Clg of Letters & Science,dance and performance studies
10,2017 Spring,1,History,160,1,Clg of Letters & Science,dance and performance studies
11,2017 Spring,1,History of Art,C109,1,Clg of Letters & Science,dance and performance studies
12,2017 Spring,1,Information,88A,1,School of Information,dance and performance studies
13,2017 Spring,1,Interdisciplinary Studies,100G,1,Clg of Letters & Science,dance and performance studies
14,2017 Spring,1,International & Area Stds,45,1,Clg of Letters & Science,dance and performance studies
15,2017 Spring,1,LGBT Studies,146,1,Clg of Letters & Science,dance and performance studies
16,2017 Spring,1,Letters & Science,C180U,1,Clg of Letters & Science,dance and performance studies
17,2017 Spring,2,Mathematics,32,1,Clg of Letters & Science,dance and performance studies
18,2017 Spring,1,Music,128V,1,Clg of Letters & Science,dance and performance studies
19,2017 Spring,1,Philosophy,3,1,Clg of Letters & Science,dance and performance studies
20,2017 Spring,1,Political Science,2,1,Clg of Letters & Science,dance and performance studies
21,2017 Spring,1,Psychology,150,1,Clg of Letters & Science,dance and performance studies
22,2017 Spring,1,Public Health,198,15,School of Public Health,dance and performance studies
23,2017 Spring,1,Public Policy,198,2,Goldman School Public Policy,dance and performance studies
24,2017 Spring,1,Rhetoric,107,1,Clg of Letters & Science,dance and performance studies
25,2017 Spring,1,Social Welfare,148,1,School of Social Welfare,dance and performance studies
26,2017 Spring,1,Sociology,150,1,Clg of Letters & Science,dance and performance studies
27,2017 Spring,1,Sociology,163,1,Clg of Letters & Science,dance and performance studies
28,2017 Spring,1,Spanish,1,4,Clg of Letters & Science,dance and performance studies
29,2017 Spring,1,Spanish,3,1,Clg of Letters & Science,dance and performance studies
30,2017 Spring,1,Theater Dance & Perf Stds,60,1,Clg of Letters & Science,dance and performance studies
31,2017 Spring,1,Theater Dance & Perf Stds,100,1,Clg of Letters & Science,dance and performance studies
32,2017 Spring,1,Theater Dance & Perf Stds,109,2,Clg of Letters & Science,dance and performance studies
33,2017 Spring,3,Theater Dance & Perf Stds,119,1,Clg of Letters & Science,dance and performance studies
34,2017 Spring,1,Theater Dance & Perf Stds,125,1,Clg of Letters & Science,dance and performance studies
35,2017 Spring,5,Theater Dance & Perf Stds,125,2,Clg of Letters & Science,dance and performance studies
36,2017 Spring,1,Theater Dance & Perf Stds,126,1,Clg of Letters & Science,dance and performance studies
37,2017 Spring,4,Theater Dance & Perf Stds,141,1,Clg of Letters & Science,dance and performance studies
38,2017 Spring,6,Theater Dance & Perf Stds,141,2,Clg of Letters & Science,dance and performance studies
39,2017 Spring,4,Theater Dance & Perf Stds,142,1,Clg of Letters & Science,dance and performance studies
40,2017 Spring,1,Theater Dance & Perf Stds,146B,1,Clg of Letters & Science,dance and performance studies
41,2017 Spring,6,Theater Dance & Perf Stds,148,1,Clg of Letters & Science,dance and performance studies
42,2017 Spring,1,Theater Dance & Perf Stds,167,1,Clg of Letters & Science,dance and performance studies
43,2017 Spring,2,Theater Dance & Perf Stds,168,1,Clg of Letters & Science,dance and performance studies
44,2017 Spring,1,Theater Dance & Perf Stds,177,1,Clg of Letters & Science,dance and performance studies
45,2017 Spring,1,Theater Dance & Perf Stds,177,101,Clg of Letters & Science,dance and performance studies
46,2017 Spring,5,Theater Dance & Perf Stds,180,1,Clg of Letters & Science,dance and performance studies
47,2017 Spring,1,Theater Dance & Perf Stds,181,1,Clg of Letters & Science,dance and performance studies
48,2017 Spring,1,Theater Dance & Perf Stds,181,2,Clg of Letters & Science,dance and performance studies
