Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,101,1,Clg of Letters & Science,development studies
1,2017 Spring,2,African American Studies,115,1,Clg of Letters & Science,development studies
2,2017 Spring,1,African American Studies,131,1,Clg of Letters & Science,development studies
3,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,development studies
4,2017 Spring,1,African American Studies,159,1,Clg of Letters & Science,development studies
5,2017 Spring,1,American Studies,191,2,Clg of Letters & Science,development studies
6,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,development studies
7,2017 Spring,2,Anthropology,156A,1,Clg of Letters & Science,development studies
8,2017 Spring,3,Anthropology,170,1,Clg of Letters & Science,development studies
9,2017 Spring,2,Anthropology,180,1,Clg of Letters & Science,development studies
10,2017 Spring,2,Anthropology,183,1,Clg of Letters & Science,development studies
11,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,development studies
12,2017 Spring,1,Asian Studies,150,1,Clg of Letters & Science,development studies
13,2017 Spring,2,Asian Studies,150,2,Clg of Letters & Science,development studies
14,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,development studies
15,2017 Spring,1,Business Admin-Undergrad,101B,2,Haas School of Business,development studies
16,2017 Spring,1,Business Admin-Undergrad,104,1,Haas School of Business,development studies
17,2017 Spring,1,Business Admin-Undergrad,105,1,Haas School of Business,development studies
18,2017 Spring,2,Business Admin-Undergrad,107,1,Haas School of Business,development studies
19,2017 Spring,1,Business Admin-Undergrad,115,1,Haas School of Business,development studies
20,2017 Spring,1,Celtic Studies,125,1,Clg of Letters & Science,development studies
21,2017 Spring,1,Chicano Studies,50,1,Clg of Letters & Science,development studies
22,2017 Spring,1,Chinese,1A,1,Clg of Letters & Science,development studies
23,2017 Spring,1,Chinese,100XB,1,Clg of Letters & Science,development studies
24,2017 Spring,1,College Writing Programs,151,1,Clg of Letters & Science,development studies
25,2017 Spring,1,Computer Science,C8,1,Clg of Engineering,development studies
26,2017 Spring,21,Development Studies,C100,1,Clg of Letters & Science,development studies
27,2017 Spring,3,Development Studies,H195,1,Clg of Letters & Science,development studies
28,2017 Spring,1,Economics,100A,1,Clg of Letters & Science,development studies
29,2017 Spring,1,Economics,100B,1,Clg of Letters & Science,development studies
30,2017 Spring,1,Economics,115,1,Clg of Letters & Science,development studies
31,2017 Spring,3,Economics,151,1,Clg of Letters & Science,development studies
32,2017 Spring,1,Economics,172,1,Clg of Letters & Science,development studies
33,2017 Spring,1,Economics,174,1,Clg of Letters & Science,development studies
34,2017 Spring,1,Education,98,9,Grad School of Education,development studies
35,2017 Spring,1,Education,114A,1,Grad School of Education,development studies
36,2017 Spring,1,Education,195B,1,Grad School of Education,development studies
37,2017 Spring,1,Education,197,21,Grad School of Education,development studies
38,2017 Spring,1,Energy and Resources,190,1,Clg of Natural Resources,development studies
39,2017 Spring,1,Engineering,157AC,1,Clg of Engineering,development studies
40,2017 Spring,1,Engineering,198,1,Clg of Engineering,development studies
41,2017 Spring,1,English,166,4,Clg of Letters & Science,development studies
