Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,135B,1,Clg of Letters & Science,economics
1,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,economics
2,2017 Spring,1,African American Studies,131,1,Clg of Letters & Science,economics
3,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,economics
4,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,economics
5,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,economics
6,2017 Spring,3,African American Studies,197,3,Clg of Letters & Science,economics
7,2017 Spring,1,African American Studies,198BC,1,Clg of Letters & Science,economics
8,2017 Spring,6,American Studies,C172,1,Clg of Letters & Science,economics
9,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,economics
10,2017 Spring,2,Anthropology,2AC,1,Clg of Letters & Science,economics
11,2017 Spring,4,Anthropology,3AC,1,Clg of Letters & Science,economics
12,2017 Spring,1,Anthropology,R5B,2,Clg of Letters & Science,economics
13,2017 Spring,1,Anthropology,R5B,3,Clg of Letters & Science,economics
14,2017 Spring,1,Anthropology,121AC,1,Clg of Letters & Science,economics
15,2017 Spring,6,Anthropology,160AC,1,Clg of Letters & Science,economics
16,2017 Spring,2,Anthropology,170,1,Clg of Letters & Science,economics
17,2017 Spring,1,Anthropology,198,20,Clg of Letters & Science,economics
18,2017 Spring,1,Arabic,1B,2,Clg of Letters & Science,economics
19,2017 Spring,1,Arabic,1B,3,Clg of Letters & Science,economics
20,2017 Spring,2,Architecture,100B,1,Clg of Environmental Design,economics
21,2017 Spring,3,Architecture,160,1,Clg of Environmental Design,economics
22,2017 Spring,2,Architecture,170B,1,Clg of Environmental Design,economics
23,2017 Spring,1,Architecture,198,1,Clg of Environmental Design,economics
24,2017 Spring,3,Architecture,198,3,Clg of Environmental Design,economics
25,2017 Spring,1,Armenian,102,1,Clg of Letters & Science,economics
26,2017 Spring,1,Art Practice,12,1,Clg of Letters & Science,economics
27,2017 Spring,1,Art Practice,14,1,Clg of Letters & Science,economics
