Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,1B,1,Clg of Letters & Science,electrical engineering computer science
1,2017 Spring,1,Aerospace Studies,100,1,Clg of Letters & Science,electrical engineering computer science
2,2017 Spring,1,African American Studies,5B,1,Clg of Letters & Science,electrical engineering computer science
3,2017 Spring,1,African American Studies,10B,1,Clg of Letters & Science,electrical engineering computer science
4,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,electrical engineering computer science
5,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,electrical engineering computer science
6,2017 Spring,2,African American Studies,142AC,1,Clg of Letters & Science,electrical engineering computer science
7,2017 Spring,3,African American Studies,156AC,1,Clg of Letters & Science,electrical engineering computer science
8,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,electrical engineering computer science
9,2017 Spring,4,Anthropology,2AC,1,Clg of Letters & Science,electrical engineering computer science
10,2017 Spring,4,Anthropology,3AC,1,Clg of Letters & Science,electrical engineering computer science
11,2017 Spring,1,Anthropology,R5B,3,Clg of Letters & Science,electrical engineering computer science
12,2017 Spring,3,Anthropology,R5B,4,Clg of Letters & Science,electrical engineering computer science
13,2017 Spring,5,Anthropology,121AC,1,Clg of Letters & Science,electrical engineering computer science
14,2017 Spring,1,Anthropology,156,1,Clg of Letters & Science,electrical engineering computer science
15,2017 Spring,10,Anthropology,160AC,1,Clg of Letters & Science,electrical engineering computer science
16,2017 Spring,1,Anthropology,162,1,Clg of Letters & Science,electrical engineering computer science
17,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,electrical engineering computer science
18,2017 Spring,5,Anthropology,174AC,1,Clg of Letters & Science,electrical engineering computer science
19,2017 Spring,2,Anthropology,198,20,Clg of Letters & Science,electrical engineering computer science
20,2017 Spring,1,Arabic,1B,6,Clg of Letters & Science,electrical engineering computer science
21,2017 Spring,1,Arabic,1B,7,Clg of Letters & Science,electrical engineering computer science
22,2017 Spring,2,Architecture,98,1,Clg of Environmental Design,electrical engineering computer science
23,2017 Spring,1,Architecture,98,5,Clg of Environmental Design,electrical engineering computer science
24,2017 Spring,3,Architecture,198,3,Clg of Environmental Design,electrical engineering computer science
25,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,electrical engineering computer science
