Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,electrical engineering computer science and materials science engineering
1,2017 Spring,1,Business Admin-Undergrad,96,2,Haas School of Business,electrical engineering computer science and materials science engineering
2,2017 Spring,1,Business Admin-Undergrad,178,1,Haas School of Business,electrical engineering computer science and materials science engineering
3,2017 Spring,1,Computer Science,61B,1,Clg of Engineering,electrical engineering computer science and materials science engineering
4,2017 Spring,2,Computer Science,70,1,Clg of Engineering,electrical engineering computer science and materials science engineering
5,2017 Spring,1,Computer Science,198,303,Clg of Engineering,electrical engineering computer science and materials science engineering
6,2017 Spring,1,Economics,C175,1,Clg of Letters & Science,electrical engineering computer science and materials science engineering
7,2017 Spring,1,Electrical Eng & Computer Sci,151,1,Clg of Engineering,electrical engineering computer science and materials science engineering
8,2017 Spring,1,Electrical Eng & Computer Sci,151LA,101,Clg of Engineering,electrical engineering computer science and materials science engineering
9,2017 Spring,1,Electrical Engineering,16A,1,Clg of Engineering,electrical engineering computer science and materials science engineering
10,2017 Spring,1,Electrical Engineering,16B,1,Clg of Engineering,electrical engineering computer science and materials science engineering
11,2017 Spring,1,Electrical Engineering,105,1,Clg of Engineering,electrical engineering computer science and materials science engineering
12,2017 Spring,3,Electrical Engineering,117,1,Clg of Engineering,electrical engineering computer science and materials science engineering
13,2017 Spring,1,Electrical Engineering,120,1,Clg of Engineering,electrical engineering computer science and materials science engineering
14,2017 Spring,1,Electrical Engineering,123,1,Clg of Engineering,electrical engineering computer science and materials science engineering
15,2017 Spring,2,Electrical Engineering,130,1,Clg of Engineering,electrical engineering computer science and materials science engineering
16,2017 Spring,1,Electrical Engineering,134,1,Clg of Engineering,electrical engineering computer science and materials science engineering
17,2017 Spring,3,Electrical Engineering,140,1,Clg of Engineering,electrical engineering computer science and materials science engineering
18,2017 Spring,1,Electrical Engineering,143,1,Clg of Engineering,electrical engineering computer science and materials science engineering
19,2017 Spring,1,Industrial Eng & Ops Rsch,165,1,Clg of Engineering,electrical engineering computer science and materials science engineering
20,2017 Spring,1,Materials Science & Eng,103,1,Clg of Engineering,electrical engineering computer science and materials science engineering
21,2017 Spring,2,Materials Science & Eng,104,1,Clg of Engineering,electrical engineering computer science and materials science engineering
22,2017 Spring,1,Materials Science & Eng,111,1,Clg of Engineering,electrical engineering computer science and materials science engineering
23,2017 Spring,1,Physical Education,1,9,Clg of Letters & Science,electrical engineering computer science and materials science engineering
24,2017 Spring,1,Physical Education,1,26,Clg of Letters & Science,electrical engineering computer science and materials science engineering
25,2017 Spring,1,Physical Education,3,11,Clg of Letters & Science,electrical engineering computer science and materials science engineering
26,2017 Spring,1,Physics,137A,2,Clg of Letters & Science,electrical engineering computer science and materials science engineering
27,2017 Spring,2,Physics,141A,1,Clg of Letters & Science,electrical engineering computer science and materials science engineering
28,2017 Spring,1,Psychology,156,1,Clg of Letters & Science,electrical engineering computer science and materials science engineering
