Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Computer Science,61C,1,Clg of Engineering,electrical engineering computer science and nuclear engineering
1,2017 Spring,1,Computer Science,198,303,Clg of Engineering,electrical engineering computer science and nuclear engineering
2,2017 Spring,1,Electrical Engineering,16A,1,Clg of Engineering,electrical engineering computer science and nuclear engineering
3,2017 Spring,1,Electrical Engineering,143,1,Clg of Engineering,electrical engineering computer science and nuclear engineering
4,2017 Spring,1,Linguistics,1B,2,Clg of Letters & Science,electrical engineering computer science and nuclear engineering
5,2017 Spring,1,Music,142,2,Clg of Letters & Science,electrical engineering computer science and nuclear engineering
6,2017 Spring,1,Nuclear Engineering,100,1,Clg of Engineering,electrical engineering computer science and nuclear engineering
7,2017 Spring,1,Nuclear Engineering,104,1,Clg of Engineering,electrical engineering computer science and nuclear engineering
8,2017 Spring,2,Nuclear Engineering,162,1,Clg of Engineering,electrical engineering computer science and nuclear engineering
9,2017 Spring,2,Nuclear Engineering,170A,1,Clg of Engineering,electrical engineering computer science and nuclear engineering
10,2017 Spring,1,Physics,7C,1,Clg of Letters & Science,electrical engineering computer science and nuclear engineering
11,2017 Spring,1,Physics,137A,2,Clg of Letters & Science,electrical engineering computer science and nuclear engineering
12,2017 Spring,1,Sociology,116,1,Clg of Letters & Science,electrical engineering computer science and nuclear engineering
13,2017 Spring,1,Statistics,134,1,Clg of Letters & Science,electrical engineering computer science and nuclear engineering
