Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,energy engineering
1,2017 Spring,1,Architecture,140,1,Clg of Environmental Design,energy engineering
2,2017 Spring,1,Asian American Studies,R2A,1,Clg of Letters & Science,energy engineering
3,2017 Spring,1,Business Admin-Undergrad,195T,1,Haas School of Business,energy engineering
4,2017 Spring,1,Chemical Engineering,90,1,Clg of Chemistry,energy engineering
5,2017 Spring,2,Chemical Engineering,198,3,Clg of Chemistry,energy engineering
6,2017 Spring,1,Chemistry,1AL,1,Clg of Chemistry,energy engineering
7,2017 Spring,1,City & Regional Planning,114,1,Clg of Environmental Design,energy engineering
8,2017 Spring,1,Civil & Environmental Eng,11,1,Clg of Engineering,energy engineering
9,2017 Spring,3,Civil & Environmental Eng,93,1,Clg of Engineering,energy engineering
10,2017 Spring,6,Civil & Environmental Eng,107,1,Clg of Engineering,energy engineering
11,2017 Spring,1,Civil & Environmental Eng,112,1,Clg of Engineering,energy engineering
12,2017 Spring,1,Civil & Environmental Eng,113,1,Clg of Engineering,energy engineering
13,2017 Spring,1,Computer Science,9H,1,Clg of Engineering,energy engineering
14,2017 Spring,4,Computer Science,61A,1,Clg of Engineering,energy engineering
15,2017 Spring,5,Computer Science,61B,1,Clg of Engineering,energy engineering
16,2017 Spring,1,Computer Science,186,1,Clg of Engineering,energy engineering
17,2017 Spring,2,Computer Science,189,1,Clg of Engineering,energy engineering
18,2017 Spring,1,Computer Science,198,1,Clg of Engineering,energy engineering
19,2017 Spring,1,Computer Science,198,58,Clg of Engineering,energy engineering
20,2017 Spring,1,Design Innovation,21,1,Clg of Engineering,energy engineering
21,2017 Spring,1,Design Innovation,190,3,Clg of Engineering,energy engineering
22,2017 Spring,1,Economics,2,1,Clg of Letters & Science,energy engineering
23,2017 Spring,1,Economics,140,1,Clg of Letters & Science,energy engineering
24,2017 Spring,3,Electrical Engineering,16A,1,Clg of Engineering,energy engineering
25,2017 Spring,1,Electrical Engineering,16B,1,Clg of Engineering,energy engineering
26,2017 Spring,2,Electrical Engineering,105,1,Clg of Engineering,energy engineering
27,2017 Spring,1,Electrical Engineering,113,1,Clg of Engineering,energy engineering
28,2017 Spring,2,Electrical Engineering,127,1,Clg of Engineering,energy engineering
29,2017 Spring,12,Electrical Engineering,134,1,Clg of Engineering,energy engineering
30,2017 Spring,12,Electrical Engineering,137B,1,Clg of Engineering,energy engineering
31,2017 Spring,1,Energy and Resources,102,1,Clg of Natural Resources,energy engineering
32,2017 Spring,10,Engineering,7,1,Clg of Engineering,energy engineering
33,2017 Spring,1,Engineering,25,1,Clg of Engineering,energy engineering
34,2017 Spring,1,Engineering,27,1,Clg of Engineering,energy engineering
35,2017 Spring,4,Engineering,45,1,Clg of Engineering,energy engineering
36,2017 Spring,2,Engineering,45L,2,Clg of Engineering,energy engineering
37,2017 Spring,1,Engineering,45L,4,Clg of Engineering,energy engineering
38,2017 Spring,1,Engineering,120,1,Clg of Engineering,energy engineering
39,2017 Spring,1,Engineering,198,1,Clg of Engineering,energy engineering
40,2017 Spring,1,"Env Sci, Policy, & Mgmt",15,1,Clg of Natural Resources,energy engineering
41,2017 Spring,1,"Env Sci, Policy, & Mgmt",40,1,Clg of Natural Resources,energy engineering
42,2017 Spring,1,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,energy engineering
43,2017 Spring,1,"Env Sci, Policy, & Mgmt",98,2,Clg of Natural Resources,energy engineering
44,2017 Spring,4,"Env Sci, Policy, & Mgmt",102D,1,Clg of Natural Resources,energy engineering
45,2017 Spring,2,Environ Econ & Policy,147,1,Clg of Natural Resources,energy engineering
46,2017 Spring,1,Environmental Design,R3B,1,Clg of Environmental Design,energy engineering
47,2017 Spring,1,Ethnic Studies,11AC,1,Clg of Letters & Science,energy engineering
48,2017 Spring,1,Film,R1A,1,Clg of Letters & Science,energy engineering
49,2017 Spring,1,French,171B,1,Clg of Letters & Science,energy engineering
50,2017 Spring,1,History,5,1,Clg of Letters & Science,energy engineering
51,2017 Spring,1,History,100AC,2,Clg of Letters & Science,energy engineering
52,2017 Spring,1,Industrial Eng & Ops Rsch,165,1,Clg of Engineering,energy engineering
53,2017 Spring,1,Industrial Eng & Ops Rsch,186,1,Clg of Engineering,energy engineering
54,2017 Spring,1,Interdisciplinary Studies,198,5,Clg of Letters & Science,energy engineering
55,2017 Spring,1,International & Area Stds,157AC,1,Clg of Letters & Science,energy engineering
56,2017 Spring,1,International & Area Stds,198,3,Clg of Letters & Science,energy engineering
57,2017 Spring,1,Japanese,1B,4,Clg of Letters & Science,energy engineering
58,2017 Spring,1,Landscape Arch & Env Plan,130,1,Clg of Environmental Design,energy engineering
59,2017 Spring,1,Mathematics,1A,1,Clg of Letters & Science,energy engineering
60,2017 Spring,1,Mathematics,1B,2,Clg of Letters & Science,energy engineering
61,2017 Spring,1,Mathematics,53,1,Clg of Letters & Science,energy engineering
62,2017 Spring,1,Mathematics,53,2,Clg of Letters & Science,energy engineering
63,2017 Spring,5,Mathematics,54,1,Clg of Letters & Science,energy engineering
64,2017 Spring,5,Mathematics,54,2,Clg of Letters & Science,energy engineering
65,2017 Spring,1,Mathematics,98,32,Clg of Letters & Science,energy engineering
66,2017 Spring,1,Mechanical Engineering,24,2,Clg of Engineering,energy engineering
67,2017 Spring,8,Mechanical Engineering,40,1,Clg of Engineering,energy engineering
68,2017 Spring,1,Mechanical Engineering,C85,2,Clg of Engineering,energy engineering
69,2017 Spring,2,Mechanical Engineering,102B,1,Clg of Engineering,energy engineering
70,2017 Spring,1,Mechanical Engineering,104,1,Clg of Engineering,energy engineering
71,2017 Spring,8,Mechanical Engineering,106,1,Clg of Engineering,energy engineering
72,2017 Spring,1,Mechanical Engineering,108,1,Clg of Engineering,energy engineering
73,2017 Spring,9,Mechanical Engineering,109,1,Clg of Engineering,energy engineering
74,2017 Spring,1,Mechanical Engineering,132,1,Clg of Engineering,energy engineering
75,2017 Spring,1,Mechanical Engineering,C134,1,Clg of Engineering,energy engineering
76,2017 Spring,1,Mechanical Engineering,151,1,Clg of Engineering,energy engineering
77,2017 Spring,1,Mechanical Engineering,C180,1,Clg of Engineering,energy engineering
78,2017 Spring,1,Music,141,1,Clg of Letters & Science,energy engineering
79,2017 Spring,1,Physical Education,1,31,Clg of Letters & Science,energy engineering
80,2017 Spring,1,Physics,7A,1,Clg of Letters & Science,energy engineering
81,2017 Spring,2,Physics,7A,2,Clg of Letters & Science,energy engineering
82,2017 Spring,2,Physics,7B,2,Clg of Letters & Science,energy engineering
83,2017 Spring,1,Physics,7B,3,Clg of Letters & Science,energy engineering
84,2017 Spring,2,Physics,7C,1,Clg of Letters & Science,energy engineering
85,2017 Spring,1,Physics,98BC,4,Clg of Letters & Science,energy engineering
86,2017 Spring,1,Psychology,160,1,Clg of Letters & Science,energy engineering
87,2017 Spring,1,Public Policy,C103,1,Goldman School Public Policy,energy engineering
88,2017 Spring,1,Public Policy,198,3,Goldman School Public Policy,energy engineering
89,2017 Spring,1,Rhetoric,R1B,4,Clg of Letters & Science,energy engineering
90,2017 Spring,1,Rhetoric,R1B,5,Clg of Letters & Science,energy engineering
91,2017 Spring,1,Sociology,113AC,1,Clg of Letters & Science,energy engineering
92,2017 Spring,1,Sociology,198,2,Clg of Letters & Science,energy engineering
93,2017 Spring,1,Statistics,20,1,Clg of Letters & Science,energy engineering
94,2017 Spring,1,Statistics,133,1,Clg of Letters & Science,energy engineering
95,2017 Spring,1,Statistics,198,5,Clg of Letters & Science,energy engineering
96,2017 Spring,1,Theater Dance & Perf Stds,112,1,Clg of Letters & Science,energy engineering
97,2017 Spring,1,Theater Dance & Perf Stds,125,2,Clg of Letters & Science,energy engineering
98,2017 Spring,1,Theater Dance & Perf Stds,141,1,Clg of Letters & Science,energy engineering
99,2017 Spring,1,Turkish,101B,1,Clg of Letters & Science,energy engineering
100,2017 Spring,1,UGIS-UG Interdisc Studies,82,2,Clg of Letters & Science,energy engineering
