Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Biology,1A,1,Clg of Letters & Science,engineering math and statistics
1,2017 Spring,1,Biology,1AL,1,Clg of Letters & Science,engineering math and statistics
2,2017 Spring,1,Chemistry,1AL,2,Clg of Chemistry,engineering math and statistics
3,2017 Spring,1,Civil & Environmental Eng,11,1,Clg of Engineering,engineering math and statistics
4,2017 Spring,1,Civil & Environmental Eng,110,1,Clg of Engineering,engineering math and statistics
5,2017 Spring,1,Comparative Literature,R1B,10,Clg of Letters & Science,engineering math and statistics
6,2017 Spring,1,Comparative Literature,R1B,11,Clg of Letters & Science,engineering math and statistics
7,2017 Spring,5,Computer Science,C8,1,Clg of Engineering,engineering math and statistics
8,2017 Spring,2,Computer Science,61A,1,Clg of Engineering,engineering math and statistics
9,2017 Spring,7,Computer Science,61B,1,Clg of Engineering,engineering math and statistics
10,2017 Spring,2,Computer Science,61C,1,Clg of Engineering,engineering math and statistics
11,2017 Spring,4,Computer Science,70,1,Clg of Engineering,engineering math and statistics
12,2017 Spring,1,Computer Science,97,212,Clg of Engineering,engineering math and statistics
13,2017 Spring,1,Computer Science,97,213,Clg of Engineering,engineering math and statistics
14,2017 Spring,1,Computer Science,C100,1,Clg of Engineering,engineering math and statistics
15,2017 Spring,3,Computer Science,161,1,Clg of Engineering,engineering math and statistics
16,2017 Spring,1,Computer Science,162,1,Clg of Engineering,engineering math and statistics
17,2017 Spring,1,Computer Science,170,1,Clg of Engineering,engineering math and statistics
18,2017 Spring,1,Computer Science,184,1,Clg of Engineering,engineering math and statistics
19,2017 Spring,1,Computer Science,186,1,Clg of Engineering,engineering math and statistics
20,2017 Spring,3,Computer Science,189,1,Clg of Engineering,engineering math and statistics
21,2017 Spring,1,Design Innovation,15,1,Clg of Engineering,engineering math and statistics
22,2017 Spring,1,Economics,1,1,Clg of Letters & Science,engineering math and statistics
23,2017 Spring,1,Education,197,10,Grad School of Education,engineering math and statistics
24,2017 Spring,2,Electrical Engineering,16A,1,Clg of Engineering,engineering math and statistics
25,2017 Spring,2,Electrical Engineering,122,1,Clg of Engineering,engineering math and statistics
26,2017 Spring,1,Electrical Engineering,123,1,Clg of Engineering,engineering math and statistics
27,2017 Spring,1,Electrical Engineering,126,1,Clg of Engineering,engineering math and statistics
28,2017 Spring,1,Electrical Engineering,127,1,Clg of Engineering,engineering math and statistics
29,2017 Spring,2,Electrical Engineering,C128,1,Clg of Engineering,engineering math and statistics
30,2017 Spring,1,Engineering,7,1,Clg of Engineering,engineering math and statistics
31,2017 Spring,1,Engineering,27,1,Clg of Engineering,engineering math and statistics
32,2017 Spring,2,Engineering,120,1,Clg of Engineering,engineering math and statistics
33,2017 Spring,1,English,190,3,Clg of Letters & Science,engineering math and statistics
34,2017 Spring,1,Gender & Womens Studies,100AC,1,Clg of Letters & Science,engineering math and statistics
35,2017 Spring,2,History,100AC,2,Clg of Letters & Science,engineering math and statistics
36,2017 Spring,1,History,106B,1,Clg of Letters & Science,engineering math and statistics
37,2017 Spring,2,History,124B,1,Clg of Letters & Science,engineering math and statistics
38,2017 Spring,1,History of Art,R1B,8,Clg of Letters & Science,engineering math and statistics
39,2017 Spring,1,Industrial Eng & Ops Rsch,160,1,Clg of Engineering,engineering math and statistics
