Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,1B,1,Clg of Letters & Science,engineering physics
1,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,engineering physics
2,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,engineering physics
3,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,engineering physics
4,2017 Spring,1,Asian American Studies,R2B,2,Clg of Letters & Science,engineering physics
5,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,engineering physics
6,2017 Spring,1,Astronomy,7B,1,Clg of Letters & Science,engineering physics
7,2017 Spring,1,Astronomy,84,1,Clg of Letters & Science,engineering physics
8,2017 Spring,1,Astronomy,198,2,Clg of Letters & Science,engineering physics
9,2017 Spring,1,Bioengineering,121,1,Clg of Engineering,engineering physics
10,2017 Spring,1,Biology,1A,1,Clg of Letters & Science,engineering physics
11,2017 Spring,1,Biology,1AL,1,Clg of Letters & Science,engineering physics
12,2017 Spring,1,Celtic Studies,R1B,1,Clg of Letters & Science,engineering physics
13,2017 Spring,1,Chemistry,1AL,1,Clg of Chemistry,engineering physics
14,2017 Spring,1,Chemistry,3A,1,Clg of Chemistry,engineering physics
15,2017 Spring,1,Chemistry,C191,1,Clg of Chemistry,engineering physics
16,2017 Spring,1,Civil & Environmental Eng,98,1,Clg of Engineering,engineering physics
17,2017 Spring,1,Civil & Environmental Eng,198,11,Clg of Engineering,engineering physics
18,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,engineering physics
19,2017 Spring,1,Cognitive Science,198,1,Clg of Letters & Science,engineering physics
20,2017 Spring,1,Cognitive Science,198,6,Clg of Letters & Science,engineering physics
21,2017 Spring,1,College Writing Programs,R4B,1,Clg of Letters & Science,engineering physics
22,2017 Spring,1,Comparative Literature,R1A,9,Clg of Letters & Science,engineering physics
23,2017 Spring,2,Computer Science,C8,1,Clg of Engineering,engineering physics
24,2017 Spring,6,Computer Science,61A,1,Clg of Engineering,engineering physics
25,2017 Spring,7,Computer Science,61B,1,Clg of Engineering,engineering physics
26,2017 Spring,1,Computer Science,61C,1,Clg of Engineering,engineering physics
27,2017 Spring,1,Computer Science,70,1,Clg of Engineering,engineering physics
28,2017 Spring,2,Computer Science,97,203,Clg of Engineering,engineering physics
29,2017 Spring,2,Computer Science,161,1,Clg of Engineering,engineering physics
30,2017 Spring,2,Computer Science,170,1,Clg of Engineering,engineering physics
31,2017 Spring,3,Computer Science,189,1,Clg of Engineering,engineering physics
32,2017 Spring,2,Computer Science,C191,1,Clg of Engineering,engineering physics
33,2017 Spring,1,Computer Science,198,67,Clg of Engineering,engineering physics
34,2017 Spring,1,Computer Science,198,72,Clg of Engineering,engineering physics
35,2017 Spring,1,Design Innovation,22,1,Clg of Engineering,engineering physics
36,2017 Spring,1,Economics,2,1,Clg of Letters & Science,engineering physics
37,2017 Spring,1,Education,98,11,Grad School of Education,engineering physics
38,2017 Spring,1,Education,98,38,Grad School of Education,engineering physics
39,2017 Spring,9,Electrical Engineering,16A,1,Clg of Engineering,engineering physics
40,2017 Spring,3,Electrical Engineering,16B,1,Clg of Engineering,engineering physics
41,2017 Spring,1,Electrical Engineering,105,1,Clg of Engineering,engineering physics
42,2017 Spring,5,Electrical Engineering,117,1,Clg of Engineering,engineering physics
43,2017 Spring,4,Electrical Engineering,120,1,Clg of Engineering,engineering physics
44,2017 Spring,1,Electrical Engineering,126,1,Clg of Engineering,engineering physics
45,2017 Spring,2,Electrical Engineering,127,1,Clg of Engineering,engineering physics
46,2017 Spring,1,Electrical Engineering,130,1,Clg of Engineering,engineering physics
47,2017 Spring,8,Electrical Engineering,143,1,Clg of Engineering,engineering physics
48,2017 Spring,1,Electrical Engineering,198,1,Clg of Engineering,engineering physics
49,2017 Spring,1,Electrical Engineering,198,13,Clg of Engineering,engineering physics
50,2017 Spring,5,Engineering,7,1,Clg of Engineering,engineering physics
51,2017 Spring,1,Engineering,25,1,Clg of Engineering,engineering physics
52,2017 Spring,2,Engineering,26,1,Clg of Engineering,engineering physics
53,2017 Spring,1,Engineering,27,1,Clg of Engineering,engineering physics
54,2017 Spring,3,Engineering,45,1,Clg of Engineering,engineering physics
55,2017 Spring,1,Engineering,45L,1,Clg of Engineering,engineering physics
56,2017 Spring,1,Engineering,45L,2,Clg of Engineering,engineering physics
57,2017 Spring,1,Engineering,45L,3,Clg of Engineering,engineering physics
58,2017 Spring,2,Engineering,98,1,Clg of Engineering,engineering physics
59,2017 Spring,2,Engineering,157AC,1,Clg of Engineering,engineering physics
60,2017 Spring,1,English,117S,2,Clg of Letters & Science,engineering physics
61,2017 Spring,1,Filipino,100B,1,Clg of Letters & Science,engineering physics
62,2017 Spring,1,Film,R1B,5,Clg of Letters & Science,engineering physics
63,2017 Spring,1,French,R1A,1,Clg of Letters & Science,engineering physics
64,2017 Spring,1,French,R1B,1,Clg of Letters & Science,engineering physics
65,2017 Spring,1,French,180D,1,Clg of Letters & Science,engineering physics
66,2017 Spring,1,Gender & Womens Studies,100AC,1,Clg of Letters & Science,engineering physics
67,2017 Spring,1,German,101,1,Clg of Letters & Science,engineering physics
68,2017 Spring,1,History,R1B,2,Clg of Letters & Science,engineering physics
69,2017 Spring,1,History,122AC,1,Clg of Letters & Science,engineering physics
70,2017 Spring,2,History,151A,1,Clg of Letters & Science,engineering physics
71,2017 Spring,1,History,186,1,Clg of Letters & Science,engineering physics
72,2017 Spring,1,History of Art,198,1,Clg of Letters & Science,engineering physics
73,2017 Spring,1,Korean,1B,4,Clg of Letters & Science,engineering physics
74,2017 Spring,1,Korean,187,1,Clg of Letters & Science,engineering physics
75,2017 Spring,1,Linguistics,10,1,Clg of Letters & Science,engineering physics
76,2017 Spring,6,Materials Science & Eng,111,1,Clg of Engineering,engineering physics
77,2017 Spring,3,Mathematics,1B,1,Clg of Letters & Science,engineering physics
78,2017 Spring,1,Mathematics,1B,2,Clg of Letters & Science,engineering physics
79,2017 Spring,2,Mathematics,53,1,Clg of Letters & Science,engineering physics
80,2017 Spring,3,Mathematics,53,2,Clg of Letters & Science,engineering physics
81,2017 Spring,3,Mathematics,54,1,Clg of Letters & Science,engineering physics
82,2017 Spring,5,Mathematics,54,2,Clg of Letters & Science,engineering physics
83,2017 Spring,1,Mathematics,98,17,Clg of Letters & Science,engineering physics
84,2017 Spring,1,Mathematics,104,2,Clg of Letters & Science,engineering physics
85,2017 Spring,12,Mathematics,121B,1,Clg of Letters & Science,engineering physics
86,2017 Spring,1,Mathematics,185,2,Clg of Letters & Science,engineering physics
87,2017 Spring,1,Mathematics,191,1,Clg of Letters & Science,engineering physics
88,2017 Spring,2,Mechanical Engineering,40,1,Clg of Engineering,engineering physics
89,2017 Spring,1,Mechanical Engineering,C85,1,Clg of Engineering,engineering physics
90,2017 Spring,1,Mechanical Engineering,C85,2,Clg of Engineering,engineering physics
91,2017 Spring,2,Mechanical Engineering,104,1,Clg of Engineering,engineering physics
92,2017 Spring,3,Mechanical Engineering,106,1,Clg of Engineering,engineering physics
93,2017 Spring,1,Mechanical Engineering,108,1,Clg of Engineering,engineering physics
94,2017 Spring,2,Mechanical Engineering,193A,1,Clg of Engineering,engineering physics
95,2017 Spring,1,Molecular & Cell Biology,C61,1,Clg of Letters & Science,engineering physics
96,2017 Spring,1,Music,20A,3,Clg of Letters & Science,engineering physics
97,2017 Spring,1,Music,26AC,1,Clg of Letters & Science,engineering physics
98,2017 Spring,1,Music,53A,1,Clg of Letters & Science,engineering physics
99,2017 Spring,1,Music,141,1,Clg of Letters & Science,engineering physics
100,2017 Spring,1,Music,142,1,Clg of Letters & Science,engineering physics
101,2017 Spring,1,Music,198,8,Clg of Letters & Science,engineering physics
102,2017 Spring,1,Philosophy,189,1,Clg of Letters & Science,engineering physics
103,2017 Spring,1,Physical Education,1,34,Clg of Letters & Science,engineering physics
104,2017 Spring,1,Physical Education,1,35,Clg of Letters & Science,engineering physics
105,2017 Spring,1,Physical Education,1,42,Clg of Letters & Science,engineering physics
106,2017 Spring,1,Physical Education,2,17,Clg of Letters & Science,engineering physics
107,2017 Spring,1,Physical Education,3,11,Clg of Letters & Science,engineering physics
108,2017 Spring,1,Physical Education,3,12,Clg of Letters & Science,engineering physics
109,2017 Spring,5,Physics,5A,1,Clg of Letters & Science,engineering physics
110,2017 Spring,2,Physics,5B,1,Clg of Letters & Science,engineering physics
