Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,engineering undeclared
1,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,engineering undeclared
2,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,engineering undeclared
3,2017 Spring,1,Asian American Studies,R2A,1,Clg of Letters & Science,engineering undeclared
4,2017 Spring,1,Bioengineering,24,1,Clg of Engineering,engineering undeclared
5,2017 Spring,1,Bioengineering,25,1,Clg of Engineering,engineering undeclared
6,2017 Spring,1,Biology,1A,2,Clg of Letters & Science,engineering undeclared
7,2017 Spring,1,Chemical Engineering,198,3,Clg of Chemistry,engineering undeclared
8,2017 Spring,2,Chemistry,1A,1,Clg of Chemistry,engineering undeclared
9,2017 Spring,3,Chemistry,1A,2,Clg of Chemistry,engineering undeclared
10,2017 Spring,3,Chemistry,1AL,1,Clg of Chemistry,engineering undeclared
11,2017 Spring,1,Chemistry,3A,1,Clg of Chemistry,engineering undeclared
12,2017 Spring,1,Chemistry,3AL,1,Clg of Chemistry,engineering undeclared
13,2017 Spring,1,Chemistry,3B,1,Clg of Chemistry,engineering undeclared
14,2017 Spring,1,Chemistry,3BL,1,Clg of Chemistry,engineering undeclared
15,2017 Spring,1,Chemistry,4B,1,Clg of Chemistry,engineering undeclared
16,2017 Spring,1,Chicano Studies,198,2,Clg of Letters & Science,engineering undeclared
17,2017 Spring,1,Civil & Environmental Eng,24,2,Clg of Engineering,engineering undeclared
18,2017 Spring,2,Civil & Environmental Eng,98,1,Clg of Engineering,engineering undeclared
19,2017 Spring,2,Classics,28,1,Clg of Letters & Science,engineering undeclared
20,2017 Spring,1,Cognitive Science,1,1,Clg of Letters & Science,engineering undeclared
21,2017 Spring,1,College Writing Programs,R4B,11,Clg of Letters & Science,engineering undeclared
22,2017 Spring,1,Comparative Literature,R1A,1,Clg of Letters & Science,engineering undeclared
23,2017 Spring,2,Comparative Literature,R1A,3,Clg of Letters & Science,engineering undeclared
24,2017 Spring,1,Computer Science,24,1,Clg of Engineering,engineering undeclared
25,2017 Spring,6,Computer Science,61A,1,Clg of Engineering,engineering undeclared
26,2017 Spring,30,Computer Science,61B,1,Clg of Engineering,engineering undeclared
27,2017 Spring,8,Computer Science,70,1,Clg of Engineering,engineering undeclared
28,2017 Spring,2,Computer Science,97,213,Clg of Engineering,engineering undeclared
29,2017 Spring,1,Computer Science,170,1,Clg of Engineering,engineering undeclared
30,2017 Spring,1,Computer Science,189,1,Clg of Engineering,engineering undeclared
31,2017 Spring,1,Computer Science,195,1,Clg of Engineering,engineering undeclared
32,2017 Spring,3,Computer Science,197,214,Clg of Engineering,engineering undeclared
33,2017 Spring,2,Computer Science,198,61,Clg of Engineering,engineering undeclared
34,2017 Spring,1,Computer Science,198,64,Clg of Engineering,engineering undeclared
35,2017 Spring,1,Computer Science,198,70,Clg of Engineering,engineering undeclared
36,2017 Spring,1,Design Innovation,15,1,Clg of Engineering,engineering undeclared
37,2017 Spring,1,East Asian Languages,R1B,1,Clg of Letters & Science,engineering undeclared
38,2017 Spring,1,Economics,1,1,Clg of Letters & Science,engineering undeclared
39,2017 Spring,1,Education,197,1,Grad School of Education,engineering undeclared
40,2017 Spring,19,Electrical Engineering,16A,1,Clg of Engineering,engineering undeclared
