Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,3,African American Studies,28AC,1,Clg of Letters & Science,english
1,2017 Spring,3,African American Studies,115,1,Clg of Letters & Science,english
2,2017 Spring,2,African American Studies,117,1,Clg of Letters & Science,english
3,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,english
4,2017 Spring,4,African American Studies,142AC,1,Clg of Letters & Science,english
5,2017 Spring,1,African American Studies,C156,1,Clg of Letters & Science,english
6,2017 Spring,4,African American Studies,156AC,1,Clg of Letters & Science,english
7,2017 Spring,2,African American Studies,158B,1,Clg of Letters & Science,english
8,2017 Spring,3,African American Studies,159,1,Clg of Letters & Science,english
9,2017 Spring,1,African American Studies,197,3,Clg of Letters & Science,english
10,2017 Spring,1,African American Studies,198BC,1,Clg of Letters & Science,english
11,2017 Spring,1,African American Studies,198BC,2,Clg of Letters & Science,english
12,2017 Spring,2,American Studies,101,1,Clg of Letters & Science,english
13,2017 Spring,1,American Studies,102,2,Clg of Letters & Science,english
14,2017 Spring,3,American Studies,H110,1,Clg of Letters & Science,english
15,2017 Spring,1,American Studies,C111E,1,Clg of Letters & Science,english
16,2017 Spring,1,American Studies,C152,1,Clg of Letters & Science,english
17,2017 Spring,1,American Studies,C172,1,Clg of Letters & Science,english
18,2017 Spring,2,American Studies,H195,1,Clg of Letters & Science,english
19,2017 Spring,2,Anthropology,3AC,1,Clg of Letters & Science,english
20,2017 Spring,1,Anthropology,156,1,Clg of Letters & Science,english
21,2017 Spring,9,Anthropology,160AC,1,Clg of Letters & Science,english
22,2017 Spring,1,Anthropology,162,1,Clg of Letters & Science,english
23,2017 Spring,1,Anthropology,169B,1,Clg of Letters & Science,english
24,2017 Spring,1,Anthropology,170,1,Clg of Letters & Science,english
25,2017 Spring,2,Anthropology,174AC,1,Clg of Letters & Science,english
26,2017 Spring,3,Anthropology,180,1,Clg of Letters & Science,english
27,2017 Spring,1,Anthropology,189,3,Clg of Letters & Science,english
28,2017 Spring,1,Anthropology,196,1,Clg of Letters & Science,english
29,2017 Spring,1,Architecture,198BC,2,Clg of Environmental Design,english
30,2017 Spring,2,Armenian,101B,1,Clg of Letters & Science,english
31,2017 Spring,1,Art Practice,13,1,Clg of Letters & Science,english
32,2017 Spring,1,Art Practice,160,1,Clg of Letters & Science,english
33,2017 Spring,1,Art Practice,180,1,Clg of Letters & Science,english
34,2017 Spring,1,Art Practice,198,1,Clg of Letters & Science,english
35,2017 Spring,1,Art Practice,198,5,Clg of Letters & Science,english
36,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,english
37,2017 Spring,3,Asian American Studies,132AC,1,Clg of Letters & Science,english
38,2017 Spring,1,Asian American Studies,197,1,Clg of Letters & Science,english
39,2017 Spring,1,Asian American Studies,197,7,Clg of Letters & Science,english
40,2017 Spring,1,Asian Studies,150,2,Clg of Letters & Science,english
41,2017 Spring,1,Astronomy,98,2,Clg of Letters & Science,english
42,2017 Spring,1,Biology,1A,1,Clg of Letters & Science,english
43,2017 Spring,1,Biology,1AL,2,Clg of Letters & Science,english
44,2017 Spring,1,Buddhist Studies,C128,1,Clg of Letters & Science,english
45,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,english
46,2017 Spring,1,Business Admin-Undergrad,101B,2,Haas School of Business,english
47,2017 Spring,1,Business Admin-Undergrad,101B,5,Haas School of Business,english
48,2017 Spring,1,Business Admin-Undergrad,102A,1,Haas School of Business,english
49,2017 Spring,1,Business Admin-Undergrad,103,1,Haas School of Business,english
50,2017 Spring,5,Business Admin-Undergrad,107,1,Haas School of Business,english
51,2017 Spring,1,Business Admin-Undergrad,157,1,Haas School of Business,english
52,2017 Spring,1,Business Admin-Undergrad,195A,1,Haas School of Business,english
53,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,english
54,2017 Spring,1,Business Admin-Undergrad,198,4,Haas School of Business,english
55,2017 Spring,2,Business Admin-Undergrad,198,5,Haas School of Business,english
56,2017 Spring,1,Celtic Studies,86,1,Clg of Letters & Science,english
57,2017 Spring,3,Celtic Studies,105A,1,Clg of Letters & Science,english
58,2017 Spring,2,Celtic Studies,125,1,Clg of Letters & Science,english
59,2017 Spring,2,Celtic Studies,173,1,Clg of Letters & Science,english
60,2017 Spring,1,Chemistry,98,3,Clg of Chemistry,english
61,2017 Spring,1,Chemistry,130B,1,Clg of Chemistry,english
62,2017 Spring,1,Chicano Studies,141,1,Clg of Letters & Science,english
63,2017 Spring,2,Chicano Studies,150B,1,Clg of Letters & Science,english
64,2017 Spring,1,Chicano Studies,176,1,Clg of Letters & Science,english
65,2017 Spring,1,Chicano Studies,194B,1,Clg of Letters & Science,english
66,2017 Spring,1,Chicano Studies,197,1,Clg of Letters & Science,english
67,2017 Spring,1,Chicano Studies,197,2,Clg of Letters & Science,english
68,2017 Spring,1,Chinese,10B,1,Clg of Letters & Science,english
69,2017 Spring,1,Chinese,100XB,1,Clg of Letters & Science,english
70,2017 Spring,1,Chinese,110B,1,Clg of Letters & Science,english
71,2017 Spring,1,Chinese,155,1,Clg of Letters & Science,english
72,2017 Spring,1,Civil & Environmental Eng,88B,1,Clg of Engineering,english
73,2017 Spring,1,Civil & Environmental Eng,C133,1,Clg of Engineering,english
74,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,english
75,2017 Spring,1,Classics,28,1,Clg of Letters & Science,english
76,2017 Spring,3,Classics,161,1,Clg of Letters & Science,english
77,2017 Spring,1,Classics,170A,1,Clg of Letters & Science,english
78,2017 Spring,1,Classics,180,1,Clg of Letters & Science,english
79,2017 Spring,2,Cognitive Science,C126,1,Clg of Letters & Science,english
80,2017 Spring,2,Cognitive Science,198,1,Clg of Letters & Science,english
81,2017 Spring,2,Cognitive Science,198,6,Clg of Letters & Science,english
82,2017 Spring,2,Cognitive Science,198,7,Clg of Letters & Science,english
83,2017 Spring,1,College Writing Programs,10A,1,Clg of Letters & Science,english
84,2017 Spring,1,College Writing Programs,110,1,Clg of Letters & Science,english
85,2017 Spring,3,College Writing Programs,130,1,Clg of Letters & Science,english
86,2017 Spring,1,Comparative Literature,60AC,1,Clg of Letters & Science,english
87,2017 Spring,1,Comparative Literature,100,1,Clg of Letters & Science,english
88,2017 Spring,8,Comparative Literature,151,1,Clg of Letters & Science,english
89,2017 Spring,2,Comparative Literature,152,1,Clg of Letters & Science,english
90,2017 Spring,3,Comparative Literature,165,1,Clg of Letters & Science,english
91,2017 Spring,1,Comparative Literature,171,1,Clg of Letters & Science,english
92,2017 Spring,5,Comparative Literature,198,2,Clg of Letters & Science,english
93,2017 Spring,2,Computer Science,C8,1,Clg of Engineering,english
94,2017 Spring,1,Computer Science,10,1,Clg of Engineering,english
95,2017 Spring,2,Computer Science,61A,1,Clg of Engineering,english
96,2017 Spring,1,Computer Science,161,1,Clg of Engineering,english
97,2017 Spring,1,Computer Science,170,1,Clg of Engineering,english
98,2017 Spring,1,Computer Science,186,1,Clg of Engineering,english
99,2017 Spring,2,Computer Science,198,56,Clg of Engineering,english
100,2017 Spring,1,Computer Science,198,64,Clg of Engineering,english
101,2017 Spring,1,Design Innovation,98,1,Clg of Engineering,english
102,2017 Spring,5,Design Innovation,198,2,Clg of Engineering,english
103,2017 Spring,2,Earth & Planetary Science,50,1,Clg of Letters & Science,english
104,2017 Spring,1,East Asian Languages,110,1,Clg of Letters & Science,english
105,2017 Spring,2,East Asian Languages,112,1,Clg of Letters & Science,english
106,2017 Spring,1,East Asian Languages,115,1,Clg of Letters & Science,english
107,2017 Spring,1,East Asian Languages,C128,1,Clg of Letters & Science,english
108,2017 Spring,2,East Asian Languages,191,1,Clg of Letters & Science,english
109,2017 Spring,1,Economics,100B,1,Clg of Letters & Science,english
110,2017 Spring,1,Economics,113,1,Clg of Letters & Science,english
111,2017 Spring,1,Economics,115,1,Clg of Letters & Science,english
112,2017 Spring,1,Economics,121,1,Clg of Letters & Science,english
113,2017 Spring,1,Economics,131,1,Clg of Letters & Science,english
114,2017 Spring,3,Economics,133,1,Clg of Letters & Science,english
115,2017 Spring,3,Economics,140,1,Clg of Letters & Science,english
116,2017 Spring,1,Economics,151,1,Clg of Letters & Science,english
117,2017 Spring,2,Economics,157,1,Clg of Letters & Science,english
118,2017 Spring,2,Economics,172,1,Clg of Letters & Science,english
119,2017 Spring,1,Economics,174,1,Clg of Letters & Science,english
120,2017 Spring,1,Economics,C181,1,Clg of Letters & Science,english
121,2017 Spring,1,Education,140AC,1,Grad School of Education,english
122,2017 Spring,1,Education,140AC,3,Grad School of Education,english
123,2017 Spring,1,Education,W142,1,Grad School of Education,english
124,2017 Spring,2,Education,182AC,1,Grad School of Education,english
125,2017 Spring,5,Education,183,1,Grad School of Education,english
126,2017 Spring,3,Education,188B,1,Grad School of Education,english
127,2017 Spring,1,Education,188F,1,Grad School of Education,english
128,2017 Spring,3,Education,190AC,1,Grad School of Education,english
129,2017 Spring,3,Education,195B,1,Grad School of Education,english
130,2017 Spring,1,Education,197,2,Grad School of Education,english
131,2017 Spring,2,Education,197,3,Grad School of Education,english
132,2017 Spring,2,Education,197,9,Grad School of Education,english
133,2017 Spring,1,Education,197,12,Grad School of Education,english
134,2017 Spring,4,Education,197,21,Grad School of Education,english
135,2017 Spring,3,Education,197,50,Grad School of Education,english
136,2017 Spring,1,Education,197,58,Grad School of Education,english
137,2017 Spring,1,Education,198,1,Grad School of Education,english
138,2017 Spring,2,Education,198,9,Grad School of Education,english
139,2017 Spring,1,Education,198,24,Grad School of Education,english
140,2017 Spring,1,Education,198,32,Grad School of Education,english
141,2017 Spring,1,Electrical Engineering,122,1,Clg of Engineering,english
142,2017 Spring,2,Electrical Engineering,198,1,Clg of Engineering,english
143,2017 Spring,1,English,24,3,Clg of Letters & Science,english
144,2017 Spring,3,English,43A,1,Clg of Letters & Science,english
145,2017 Spring,1,English,43B,1,Clg of Letters & Science,english
146,2017 Spring,12,English,45A,1,Clg of Letters & Science,english
147,2017 Spring,27,English,45B,1,Clg of Letters & Science,english
148,2017 Spring,23,English,45C,1,Clg of Letters & Science,english
149,2017 Spring,15,English,45C,2,Clg of Letters & Science,english
150,2017 Spring,38,English,80K,1,Clg of Letters & Science,english
151,2017 Spring,1,English,84,1,Clg of Letters & Science,english
152,2017 Spring,3,English,98BC,1,Clg of Letters & Science,english
153,2017 Spring,4,English,98BC,2,Clg of Letters & Science,english
154,2017 Spring,3,English,98BC,3,Clg of Letters & Science,english
155,2017 Spring,19,English,105,1,Clg of Letters & Science,english
156,2017 Spring,21,English,111,1,Clg of Letters & Science,english
157,2017 Spring,8,English,114A,1,Clg of Letters & Science,english
158,2017 Spring,2,English,117S,1,Clg of Letters & Science,english
159,2017 Spring,10,English,117S,2,Clg of Letters & Science,english
160,2017 Spring,37,English,118,1,Clg of Letters & Science,english
161,2017 Spring,27,English,119,1,Clg of Letters & Science,english
162,2017 Spring,21,English,125C,1,Clg of Letters & Science,english
163,2017 Spring,17,English,125E,1,Clg of Letters & Science,english
164,2017 Spring,35,English,130A,1,Clg of Letters & Science,english
165,2017 Spring,37,English,132,1,Clg of Letters & Science,english
166,2017 Spring,18,English,C136,1,Clg of Letters & Science,english
167,2017 Spring,35,English,137B,1,Clg of Letters & Science,english
168,2017 Spring,14,English,139,1,Clg of Letters & Science,english
169,2017 Spring,26,English,141,1,Clg of Letters & Science,english
170,2017 Spring,4,English,143A,1,Clg of Letters & Science,english
