Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,C100,1,Clg of Letters & Science,environmental earth science
1,2017 Spring,1,Anthropology,112,1,Clg of Letters & Science,environmental earth science
2,2017 Spring,1,Anthropology,119,1,Clg of Letters & Science,environmental earth science
3,2017 Spring,1,Anthropology,128,1,Clg of Letters & Science,environmental earth science
4,2017 Spring,1,Architecture,170B,1,Clg of Environmental Design,environmental earth science
5,2017 Spring,1,Biology,1A,1,Clg of Letters & Science,environmental earth science
6,2017 Spring,1,Biology,1AL,2,Clg of Letters & Science,environmental earth science
7,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,environmental earth science
8,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,environmental earth science
9,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,environmental earth science
10,2017 Spring,1,Chemistry,3A,2,Clg of Chemistry,environmental earth science
11,2017 Spring,1,Chemistry,3B,1,Clg of Chemistry,environmental earth science
12,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,environmental earth science
13,2017 Spring,1,Chemistry,120A,1,Clg of Chemistry,environmental earth science
14,2017 Spring,1,Earth & Planetary Science,50,1,Clg of Letters & Science,environmental earth science
15,2017 Spring,1,Earth & Planetary Science,100B,1,Clg of Letters & Science,environmental earth science
16,2017 Spring,11,Earth & Planetary Science,102,1,Clg of Letters & Science,environmental earth science
17,2017 Spring,1,Earth & Planetary Science,116,1,Clg of Letters & Science,environmental earth science
18,2017 Spring,1,Earth & Planetary Science,122,1,Clg of Letters & Science,environmental earth science
19,2017 Spring,1,Earth & Planetary Science,124,1,Clg of Letters & Science,environmental earth science
20,2017 Spring,6,Earth & Planetary Science,150,1,Clg of Letters & Science,environmental earth science
21,2017 Spring,1,Earth & Planetary Science,C180,1,Clg of Letters & Science,environmental earth science
22,2017 Spring,10,Energy and Resources,102,1,Clg of Natural Resources,environmental earth science
23,2017 Spring,1,"Env Sci, Policy, & Mgmt",102D,1,Clg of Natural Resources,environmental earth science
24,2017 Spring,1,"Env Sci, Policy, & Mgmt",112,1,Clg of Natural Resources,environmental earth science
25,2017 Spring,1,"Env Sci, Policy, & Mgmt",112L,1,Clg of Natural Resources,environmental earth science
26,2017 Spring,1,"Env Sci, Policy, & Mgmt",113,1,Clg of Natural Resources,environmental earth science
27,2017 Spring,1,"Env Sci, Policy, & Mgmt",C115C,1,Clg of Natural Resources,environmental earth science
28,2017 Spring,1,"Env Sci, Policy, & Mgmt",131,1,Clg of Natural Resources,environmental earth science
29,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,environmental earth science
30,2017 Spring,2,"Env Sci, Policy, & Mgmt",168,1,Clg of Natural Resources,environmental earth science
31,2017 Spring,1,"Env Sci, Policy, & Mgmt",194A,2,Clg of Natural Resources,environmental earth science
32,2017 Spring,2,Geography,70AC,1,Clg of Letters & Science,environmental earth science
33,2017 Spring,2,Geography,C136,1,Clg of Letters & Science,environmental earth science
34,2017 Spring,2,Geography,140A,1,Clg of Letters & Science,environmental earth science
35,2017 Spring,3,Geography,143,1,Clg of Letters & Science,environmental earth science
36,2017 Spring,1,Global Studies,110Q,1,Clg of Letters & Science,environmental earth science
37,2017 Spring,3,Integrative Biology,113L,1,Clg of Letters & Science,environmental earth science
38,2017 Spring,1,Integrative Biology,161,1,Clg of Letters & Science,environmental earth science
39,2017 Spring,1,Integrative Biology,198,2,Clg of Letters & Science,environmental earth science
40,2017 Spring,1,International & Area Stds,150,5,Clg of Letters & Science,environmental earth science
41,2017 Spring,1,Mathematics,110,1,Clg of Letters & Science,environmental earth science
42,2017 Spring,1,Music,142,2,Clg of Letters & Science,environmental earth science
43,2017 Spring,1,Nutritional Science & Tox,11,1,Clg of Natural Resources,environmental earth science
44,2017 Spring,1,Nutritional Science & Tox,C114,1,Clg of Natural Resources,environmental earth science
45,2017 Spring,1,Nutritional Science & Tox,193,1,Clg of Natural Resources,environmental earth science
46,2017 Spring,1,Peace & Conflict Studies,198,1,Clg of Letters & Science,environmental earth science
47,2017 Spring,1,Physical Education,1,6,Clg of Letters & Science,environmental earth science
48,2017 Spring,1,Physics,7C,1,Clg of Letters & Science,environmental earth science
49,2017 Spring,1,Physics,8A,2,Clg of Letters & Science,environmental earth science
50,2017 Spring,3,Physics,8B,1,Clg of Letters & Science,environmental earth science
51,2017 Spring,1,Physics,77,1,Clg of Letters & Science,environmental earth science
52,2017 Spring,1,Psychology,2,1,Clg of Letters & Science,environmental earth science
53,2017 Spring,1,Public Health,198,9,School of Public Health,environmental earth science
54,2017 Spring,1,Rhetoric,103B,1,Clg of Letters & Science,environmental earth science
55,2017 Spring,1,UGIS-UG Interdisc Studies,112,1,Clg of Letters & Science,environmental earth science
