Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,100,1,Clg of Letters & Science,environmental economics and policy
1,2017 Spring,1,African American Studies,R1A,1,Clg of Letters & Science,environmental economics and policy
2,2017 Spring,1,African American Studies,28AC,1,Clg of Letters & Science,environmental economics and policy
3,2017 Spring,1,African American Studies,98BC,2,Clg of Letters & Science,environmental economics and policy
4,2017 Spring,1,African American Studies,117,1,Clg of Letters & Science,environmental economics and policy
5,2017 Spring,1,African American Studies,120,1,Clg of Letters & Science,environmental economics and policy
6,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,environmental economics and policy
7,2017 Spring,1,African American Studies,159,1,Clg of Letters & Science,environmental economics and policy
8,2017 Spring,3,African American Studies,197,3,Clg of Letters & Science,environmental economics and policy
9,2017 Spring,1,American Studies,C172,1,Clg of Letters & Science,environmental economics and policy
10,2017 Spring,2,Anthropology,1,1,Clg of Letters & Science,environmental economics and policy
11,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,environmental economics and policy
12,2017 Spring,1,Anthropology,198,20,Clg of Letters & Science,environmental economics and policy
13,2017 Spring,1,Arabic,1B,6,Clg of Letters & Science,environmental economics and policy
14,2017 Spring,1,Arabic,107,1,Clg of Letters & Science,environmental economics and policy
15,2017 Spring,1,Architecture,24,1,Clg of Environmental Design,environmental economics and policy
16,2017 Spring,1,Architecture,160,1,Clg of Environmental Design,environmental economics and policy
17,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,environmental economics and policy
18,2017 Spring,1,Art Practice,12,1,Clg of Letters & Science,environmental economics and policy
19,2017 Spring,1,Art Practice,102,1,Clg of Letters & Science,environmental economics and policy
20,2017 Spring,2,Art Practice,117,1,Clg of Letters & Science,environmental economics and policy
21,2017 Spring,3,Art Practice,118,1,Clg of Letters & Science,environmental economics and policy
22,2017 Spring,1,Art Practice,185,2,Clg of Letters & Science,environmental economics and policy
23,2017 Spring,1,Art Practice,198,5,Clg of Letters & Science,environmental economics and policy
24,2017 Spring,2,Asian American Studies,132AC,1,Clg of Letters & Science,environmental economics and policy
25,2017 Spring,1,Asian American Studies,138,1,Clg of Letters & Science,environmental economics and policy
