Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Art Practice,100,1,Clg of Letters & Science,environmental engineering science
1,2017 Spring,1,Chinese,100B,1,Clg of Letters & Science,environmental engineering science
2,2017 Spring,4,Civil & Environmental Eng,11,1,Clg of Engineering,environmental engineering science
3,2017 Spring,1,Civil & Environmental Eng,24,2,Clg of Engineering,environmental engineering science
4,2017 Spring,1,Civil & Environmental Eng,98,3,Clg of Engineering,environmental engineering science
5,2017 Spring,1,Civil & Environmental Eng,103,1,Clg of Engineering,environmental engineering science
6,2017 Spring,1,Civil & Environmental Eng,C106,1,Clg of Engineering,environmental engineering science
7,2017 Spring,2,Civil & Environmental Eng,107,1,Clg of Engineering,environmental engineering science
8,2017 Spring,3,Civil & Environmental Eng,110,1,Clg of Engineering,environmental engineering science
9,2017 Spring,1,Civil & Environmental Eng,112,1,Clg of Engineering,environmental engineering science
10,2017 Spring,1,Civil & Environmental Eng,113,1,Clg of Engineering,environmental engineering science
11,2017 Spring,2,Civil & Environmental Eng,C116,1,Clg of Engineering,environmental engineering science
12,2017 Spring,1,Civil & Environmental Eng,171,1,Clg of Engineering,environmental engineering science
13,2017 Spring,2,Civil & Environmental Eng,198,3,Clg of Engineering,environmental engineering science
14,2017 Spring,1,Computer Science,61A,1,Clg of Engineering,environmental engineering science
15,2017 Spring,1,Computer Science,61B,1,Clg of Engineering,environmental engineering science
16,2017 Spring,1,Earth & Planetary Science,39A,2,Clg of Letters & Science,environmental engineering science
17,2017 Spring,1,Earth & Planetary Science,50,1,Clg of Letters & Science,environmental engineering science
18,2017 Spring,2,Earth & Planetary Science,124,1,Clg of Letters & Science,environmental engineering science
19,2017 Spring,1,Electrical Engineering,137B,1,Clg of Engineering,environmental engineering science
20,2017 Spring,1,Engineering,7,1,Clg of Engineering,environmental engineering science
21,2017 Spring,2,Engineering,98,1,Clg of Engineering,environmental engineering science
22,2017 Spring,2,Engineering,157AC,1,Clg of Engineering,environmental engineering science
23,2017 Spring,1,Engineering,177,1,Clg of Engineering,environmental engineering science
24,2017 Spring,1,"Env Sci, Policy, & Mgmt",134,1,Clg of Natural Resources,environmental engineering science
25,2017 Spring,1,"Env Sci, Policy, & Mgmt",150,3,Clg of Natural Resources,environmental engineering science
26,2017 Spring,1,"Env Sci, Policy, & Mgmt",174,1,Clg of Natural Resources,environmental engineering science
27,2017 Spring,1,"Env Sci, Policy, & Mgmt",C180,1,Clg of Natural Resources,environmental engineering science
28,2017 Spring,1,Ethnic Studies,198,1,Clg of Letters & Science,environmental engineering science
29,2017 Spring,1,Ethnic Studies,198,2,Clg of Letters & Science,environmental engineering science
30,2017 Spring,1,Mathematics,1A,1,Clg of Letters & Science,environmental engineering science
31,2017 Spring,1,Mathematics,54,2,Clg of Letters & Science,environmental engineering science
32,2017 Spring,1,Mathematics,98,13,Clg of Letters & Science,environmental engineering science
33,2017 Spring,1,Mathematics,128A,1,Clg of Letters & Science,environmental engineering science
34,2017 Spring,3,Mechanical Engineering,40,1,Clg of Engineering,environmental engineering science
35,2017 Spring,1,Mechanical Engineering,165,1,Clg of Engineering,environmental engineering science
36,2017 Spring,1,Physical Education,98,1,Clg of Letters & Science,environmental engineering science
37,2017 Spring,1,Physics,7A,1,Clg of Letters & Science,environmental engineering science
38,2017 Spring,1,Physics,7B,2,Clg of Letters & Science,environmental engineering science
39,2017 Spring,1,Physics,7C,1,Clg of Letters & Science,environmental engineering science
40,2017 Spring,1,Statistics,C100,1,Clg of Letters & Science,environmental engineering science
41,2017 Spring,1,Statistics,134,1,Clg of Letters & Science,environmental engineering science
42,2017 Spring,1,Turkish,101B,1,Clg of Letters & Science,environmental engineering science
