Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,African American Studies,156AC,1,Clg of Letters & Science,environmental sciences
1,2017 Spring,4,Anthropology,1,1,Clg of Letters & Science,environmental sciences
2,2017 Spring,3,Anthropology,3AC,1,Clg of Letters & Science,environmental sciences
3,2017 Spring,1,Anthropology,112,1,Clg of Letters & Science,environmental sciences
4,2017 Spring,2,Anthropology,137,1,Clg of Letters & Science,environmental sciences
5,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,environmental sciences
6,2017 Spring,1,Anthropology,162,1,Clg of Letters & Science,environmental sciences
7,2017 Spring,1,Arabic,1B,7,Clg of Letters & Science,environmental sciences
8,2017 Spring,1,Architecture,98,1,Clg of Environmental Design,environmental sciences
9,2017 Spring,1,Architecture,98,6,Clg of Environmental Design,environmental sciences
10,2017 Spring,2,Architecture,140,1,Clg of Environmental Design,environmental sciences
11,2017 Spring,1,Asian American Studies,R2B,1,Clg of Letters & Science,environmental sciences
12,2017 Spring,2,Asian American Studies,R2B,2,Clg of Letters & Science,environmental sciences
13,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,environmental sciences
14,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,environmental sciences
15,2017 Spring,2,Asian American Studies,132AC,1,Clg of Letters & Science,environmental sciences
16,2017 Spring,1,Asian American Studies,151AC,1,Clg of Letters & Science,environmental sciences
17,2017 Spring,1,Asian American Studies,194B,1,Clg of Letters & Science,environmental sciences
18,2017 Spring,1,Asian American Studies,197,12,Clg of Letters & Science,environmental sciences
19,2017 Spring,1,Asian American Studies,197,13,Clg of Letters & Science,environmental sciences
20,2017 Spring,1,Asian American Studies,198,4,Clg of Letters & Science,environmental sciences
21,2017 Spring,1,Asian American Studies,198,6,Clg of Letters & Science,environmental sciences
22,2017 Spring,9,Biology,1A,1,Clg of Letters & Science,environmental sciences
23,2017 Spring,8,Biology,1A,2,Clg of Letters & Science,environmental sciences
24,2017 Spring,12,Biology,1AL,1,Clg of Letters & Science,environmental sciences
25,2017 Spring,5,Biology,1AL,2,Clg of Letters & Science,environmental sciences
26,2017 Spring,12,Biology,1B,1,Clg of Letters & Science,environmental sciences
27,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,environmental sciences
28,2017 Spring,2,Biology,1B,3,Clg of Letters & Science,environmental sciences
29,2017 Spring,1,Burmese,1B,1,Clg of Letters & Science,environmental sciences
30,2017 Spring,1,Business Admin-Undergrad,115,1,Haas School of Business,environmental sciences
31,2017 Spring,2,Business Admin-Undergrad,196,2,Haas School of Business,environmental sciences
32,2017 Spring,1,Business Admin-Undergrad,198,1,Haas School of Business,environmental sciences
