Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,ethnic studies
1,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,ethnic studies
2,2017 Spring,1,African American Studies,C156,1,Clg of Letters & Science,ethnic studies
3,2017 Spring,3,African American Studies,156AC,1,Clg of Letters & Science,ethnic studies
4,2017 Spring,1,African American Studies,159,1,Clg of Letters & Science,ethnic studies
5,2017 Spring,2,African American Studies,197,3,Clg of Letters & Science,ethnic studies
6,2017 Spring,1,African American Studies,198,2,Clg of Letters & Science,ethnic studies
7,2017 Spring,1,African American Studies,198BC,2,Clg of Letters & Science,ethnic studies
8,2017 Spring,1,Anthropology,112,1,Clg of Letters & Science,ethnic studies
9,2017 Spring,1,Anthropology,162,1,Clg of Letters & Science,ethnic studies
10,2017 Spring,1,Asian American Studies,98,12,Clg of Letters & Science,ethnic studies
11,2017 Spring,2,Asian American Studies,132AC,1,Clg of Letters & Science,ethnic studies
12,2017 Spring,1,Asian American Studies,144,1,Clg of Letters & Science,ethnic studies
13,2017 Spring,1,Asian American Studies,176,1,Clg of Letters & Science,ethnic studies
14,2017 Spring,1,Asian American Studies,197,13,Clg of Letters & Science,ethnic studies
15,2017 Spring,1,Asian American Studies,198,1,Clg of Letters & Science,ethnic studies
16,2017 Spring,2,Biology,1B,1,Clg of Letters & Science,ethnic studies
17,2017 Spring,1,Business Admin-Undergrad,102B,2,Haas School of Business,ethnic studies
18,2017 Spring,2,Chemistry,3A,1,Clg of Chemistry,ethnic studies
19,2017 Spring,1,Chemistry,3AL,1,Clg of Chemistry,ethnic studies
20,2017 Spring,1,Chemistry,3AL,2,Clg of Chemistry,ethnic studies
21,2017 Spring,1,Chemistry,3B,1,Clg of Chemistry,ethnic studies
22,2017 Spring,2,Chemistry,3B,2,Clg of Chemistry,ethnic studies
23,2017 Spring,2,Chemistry,3BL,1,Clg of Chemistry,ethnic studies
24,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,ethnic studies
25,2017 Spring,1,Chicano Studies,R1B,1,Clg of Letters & Science,ethnic studies
26,2017 Spring,8,Chicano Studies,110,1,Clg of Letters & Science,ethnic studies
27,2017 Spring,4,Chicano Studies,150B,1,Clg of Letters & Science,ethnic studies
28,2017 Spring,6,Chicano Studies,174,1,Clg of Letters & Science,ethnic studies
29,2017 Spring,3,Chicano Studies,176,1,Clg of Letters & Science,ethnic studies
30,2017 Spring,1,Chicano Studies,180,1,Clg of Letters & Science,ethnic studies
31,2017 Spring,2,Chicano Studies,180,2,Clg of Letters & Science,ethnic studies
32,2017 Spring,1,Chicano Studies,180AC,1,Clg of Letters & Science,ethnic studies
33,2017 Spring,1,Chicano Studies,194B,1,Clg of Letters & Science,ethnic studies
34,2017 Spring,4,Chicano Studies,197,1,Clg of Letters & Science,ethnic studies
35,2017 Spring,1,Chicano Studies,197,4,Clg of Letters & Science,ethnic studies
36,2017 Spring,2,Chicano Studies,198,2,Clg of Letters & Science,ethnic studies
37,2017 Spring,1,City & Regional Planning,190,1,Clg of Environmental Design,ethnic studies
38,2017 Spring,1,Cognitive Science,1,1,Clg of Letters & Science,ethnic studies
39,2017 Spring,2,Computer Science,61A,1,Clg of Engineering,ethnic studies
40,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,ethnic studies
41,2017 Spring,1,Economics,133,1,Clg of Letters & Science,ethnic studies
42,2017 Spring,3,Education,40AC,1,Grad School of Education,ethnic studies
43,2017 Spring,4,Education,182AC,1,Grad School of Education,ethnic studies
44,2017 Spring,1,Education,188B,1,Grad School of Education,ethnic studies
45,2017 Spring,1,Education,188F,1,Grad School of Education,ethnic studies
46,2017 Spring,1,Education,190AC,2,Grad School of Education,ethnic studies
47,2017 Spring,2,Education,197,1,Grad School of Education,ethnic studies
48,2017 Spring,1,Education,197,50,Grad School of Education,ethnic studies
49,2017 Spring,1,Education,198,4,Grad School of Education,ethnic studies
50,2017 Spring,1,Education,198,12,Grad School of Education,ethnic studies
51,2017 Spring,1,Education,198,13,Grad School of Education,ethnic studies
52,2017 Spring,1,English,180Z,1,Clg of Letters & Science,ethnic studies
53,2017 Spring,1,English,190,10,Clg of Letters & Science,ethnic studies
54,2017 Spring,1,English,198,1,Clg of Letters & Science,ethnic studies
55,2017 Spring,1,"Env Sci, Policy, & Mgmt",C11,1,Clg of Natural Resources,ethnic studies
56,2017 Spring,1,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,ethnic studies
57,2017 Spring,1,"Env Sci, Policy, & Mgmt",113,1,Clg of Natural Resources,ethnic studies
58,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,ethnic studies
59,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,3,Clg of Natural Resources,ethnic studies
60,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,9,Clg of Natural Resources,ethnic studies
61,2017 Spring,22,Ethnic Studies,11AC,1,Clg of Letters & Science,ethnic studies
62,2017 Spring,1,Ethnic Studies,21AC,1,Clg of Letters & Science,ethnic studies
63,2017 Spring,3,Ethnic Studies,98BC,1,Clg of Letters & Science,ethnic studies
64,2017 Spring,1,Ethnic Studies,98BC,2,Clg of Letters & Science,ethnic studies
65,2017 Spring,1,Ethnic Studies,100,1,Clg of Letters & Science,ethnic studies
66,2017 Spring,37,Ethnic Studies,101B,1,Clg of Letters & Science,ethnic studies
67,2017 Spring,11,Ethnic Studies,122AC,1,Clg of Letters & Science,ethnic studies
68,2017 Spring,7,Ethnic Studies,144AC,1,Clg of Letters & Science,ethnic studies
69,2017 Spring,3,Ethnic Studies,145,1,Clg of Letters & Science,ethnic studies
70,2017 Spring,3,Ethnic Studies,173AC,1,Clg of Letters & Science,ethnic studies
71,2017 Spring,5,Ethnic Studies,176,1,Clg of Letters & Science,ethnic studies
72,2017 Spring,10,Ethnic Studies,180,1,Clg of Letters & Science,ethnic studies
73,2017 Spring,14,Ethnic Studies,181AC,1,Clg of Letters & Science,ethnic studies
74,2017 Spring,11,Ethnic Studies,190,1,Clg of Letters & Science,ethnic studies
75,2017 Spring,5,Ethnic Studies,190,2,Clg of Letters & Science,ethnic studies
76,2017 Spring,1,Ethnic Studies,197,2,Clg of Letters & Science,ethnic studies
77,2017 Spring,1,Ethnic Studies,197,3,Clg of Letters & Science,ethnic studies
78,2017 Spring,1,Ethnic Studies,197,5,Clg of Letters & Science,ethnic studies
79,2017 Spring,2,Ethnic Studies,197,6,Clg of Letters & Science,ethnic studies
80,2017 Spring,14,Ethnic Studies,197,9,Clg of Letters & Science,ethnic studies
81,2017 Spring,6,Ethnic Studies,197,11,Clg of Letters & Science,ethnic studies
