Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,forestry and natural resources
1,2017 Spring,2,Anthropology,3AC,1,Clg of Letters & Science,forestry and natural resources
2,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,forestry and natural resources
3,2017 Spring,1,Architecture,160,1,Clg of Environmental Design,forestry and natural resources
4,2017 Spring,3,Biology,1B,1,Clg of Letters & Science,forestry and natural resources
5,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,forestry and natural resources
6,2017 Spring,1,Business Admin-Undergrad,96,2,Haas School of Business,forestry and natural resources
7,2017 Spring,3,Chemistry,1A,1,Clg of Chemistry,forestry and natural resources
8,2017 Spring,2,Chemistry,1A,2,Clg of Chemistry,forestry and natural resources
9,2017 Spring,2,Chemistry,1AL,1,Clg of Chemistry,forestry and natural resources
10,2017 Spring,2,Chemistry,1AL,2,Clg of Chemistry,forestry and natural resources
11,2017 Spring,1,Civil & Environmental Eng,110,1,Clg of Engineering,forestry and natural resources
12,2017 Spring,1,Comparative Literature,R1B,15,Clg of Letters & Science,forestry and natural resources
13,2017 Spring,1,Computer Science,61A,1,Clg of Engineering,forestry and natural resources
14,2017 Spring,1,Earth & Planetary Science,39A,1,Clg of Letters & Science,forestry and natural resources
15,2017 Spring,1,Earth & Planetary Science,50,1,Clg of Letters & Science,forestry and natural resources
16,2017 Spring,1,Economics,1,1,Clg of Letters & Science,forestry and natural resources
17,2017 Spring,1,Education,98,14,Grad School of Education,forestry and natural resources
18,2017 Spring,1,Education,197,1,Grad School of Education,forestry and natural resources
19,2017 Spring,2,"Env Sci, Policy, & Mgmt",C10,1,Clg of Natural Resources,forestry and natural resources
20,2017 Spring,3,"Env Sci, Policy, & Mgmt",C11,1,Clg of Natural Resources,forestry and natural resources
21,2017 Spring,2,"Env Sci, Policy, & Mgmt",15,1,Clg of Natural Resources,forestry and natural resources
22,2017 Spring,2,"Env Sci, Policy, & Mgmt",24,1,Clg of Natural Resources,forestry and natural resources
23,2017 Spring,2,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,forestry and natural resources
24,2017 Spring,12,"Env Sci, Policy, & Mgmt",72,1,Clg of Natural Resources,forestry and natural resources
25,2017 Spring,3,"Env Sci, Policy, & Mgmt",90,1,Clg of Natural Resources,forestry and natural resources
26,2017 Spring,1,"Env Sci, Policy, & Mgmt",98,7,Clg of Natural Resources,forestry and natural resources
27,2017 Spring,1,"Env Sci, Policy, & Mgmt",98BC,5,Clg of Natural Resources,forestry and natural resources
28,2017 Spring,2,"Env Sci, Policy, & Mgmt",100ES,1,Clg of Natural Resources,forestry and natural resources
29,2017 Spring,18,"Env Sci, Policy, & Mgmt",102C,1,Clg of Natural Resources,forestry and natural resources
30,2017 Spring,11,"Env Sci, Policy, & Mgmt",102D,1,Clg of Natural Resources,forestry and natural resources
31,2017 Spring,3,"Env Sci, Policy, & Mgmt",114,1,Clg of Natural Resources,forestry and natural resources
32,2017 Spring,2,"Env Sci, Policy, & Mgmt",131,1,Clg of Natural Resources,forestry and natural resources
33,2017 Spring,13,"Env Sci, Policy, & Mgmt",134,1,Clg of Natural Resources,forestry and natural resources
34,2017 Spring,1,"Env Sci, Policy, & Mgmt",150,2,Clg of Natural Resources,forestry and natural resources
35,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,forestry and natural resources
