Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,gender and womens studies
1,2017 Spring,1,African American Studies,117,1,Clg of Letters & Science,gender and womens studies
2,2017 Spring,1,African American Studies,118,1,Clg of Letters & Science,gender and womens studies
3,2017 Spring,2,African American Studies,142AC,1,Clg of Letters & Science,gender and womens studies
4,2017 Spring,1,Armenian,126,1,Clg of Letters & Science,gender and womens studies
5,2017 Spring,1,Art Practice,160,2,Clg of Letters & Science,gender and womens studies
6,2017 Spring,1,Asian American Studies,144,1,Clg of Letters & Science,gender and womens studies
7,2017 Spring,1,Biology,1A,1,Clg of Letters & Science,gender and womens studies
8,2017 Spring,1,Biology,1AL,1,Clg of Letters & Science,gender and womens studies
9,2017 Spring,1,Chicano Studies,R1B,1,Clg of Letters & Science,gender and womens studies
10,2017 Spring,1,Chicano Studies,110,1,Clg of Letters & Science,gender and womens studies
11,2017 Spring,1,Chicano Studies,150B,1,Clg of Letters & Science,gender and womens studies
12,2017 Spring,1,Chicano Studies,174,1,Clg of Letters & Science,gender and womens studies
13,2017 Spring,2,Classics,161,1,Clg of Letters & Science,gender and womens studies
14,2017 Spring,1,Cognitive Science,C126,1,Clg of Letters & Science,gender and womens studies
15,2017 Spring,1,Economics,1,1,Clg of Letters & Science,gender and womens studies
16,2017 Spring,1,Education,140AC,3,Grad School of Education,gender and womens studies
17,2017 Spring,1,Education,182AC,1,Grad School of Education,gender and womens studies
18,2017 Spring,1,Education,197,10,Grad School of Education,gender and womens studies
19,2017 Spring,1,Education,198,24,Grad School of Education,gender and womens studies
20,2017 Spring,1,English,45C,1,Clg of Letters & Science,gender and womens studies
21,2017 Spring,1,English,137B,1,Clg of Letters & Science,gender and womens studies
22,2017 Spring,1,English,143C,1,Clg of Letters & Science,gender and womens studies
23,2017 Spring,1,English,166,1,Clg of Letters & Science,gender and womens studies
24,2017 Spring,1,English,190,2,Clg of Letters & Science,gender and womens studies
25,2017 Spring,1,English,190,8,Clg of Letters & Science,gender and womens studies
26,2017 Spring,1,English,198,7,Clg of Letters & Science,gender and womens studies
27,2017 Spring,1,"Env Sci, Policy, & Mgmt",158,1,Clg of Natural Resources,gender and womens studies
28,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,13,Clg of Natural Resources,gender and womens studies
29,2017 Spring,1,Ethnic Studies,197,9,Clg of Letters & Science,gender and womens studies
30,2017 Spring,1,Ethnic Studies,198,2,Clg of Letters & Science,gender and womens studies
31,2017 Spring,1,Ethnic Studies,198,6,Clg of Letters & Science,gender and womens studies
32,2017 Spring,1,Filipino,1B,3,Clg of Letters & Science,gender and womens studies
33,2017 Spring,1,Gender & Womens Studies,10,1,Clg of Letters & Science,gender and womens studies
34,2017 Spring,8,Gender & Womens Studies,100AC,1,Clg of Letters & Science,gender and womens studies
35,2017 Spring,17,Gender & Womens Studies,101,1,Clg of Letters & Science,gender and womens studies
36,2017 Spring,14,Gender & Womens Studies,104,1,Clg of Letters & Science,gender and womens studies
37,2017 Spring,11,Gender & Womens Studies,134,1,Clg of Letters & Science,gender and womens studies
38,2017 Spring,1,Gender & Womens Studies,195,1,Clg of Letters & Science,gender and womens studies
39,2017 Spring,1,History,136B,1,Clg of Letters & Science,gender and womens studies
40,2017 Spring,3,History,136C,1,Clg of Letters & Science,gender and womens studies
41,2017 Spring,1,History of Art,R1B,1,Clg of Letters & Science,gender and womens studies
42,2017 Spring,1,Information,103,1,School of Information,gender and womens studies
43,2017 Spring,1,Integrative Biology,114,1,Clg of Letters & Science,gender and womens studies
44,2017 Spring,1,Integrative Biology,140,1,Clg of Letters & Science,gender and womens studies
45,2017 Spring,1,Integrative Biology,C143B,1,Clg of Letters & Science,gender and womens studies
46,2017 Spring,1,Integrative Biology,146LF,1,Clg of Letters & Science,gender and womens studies
47,2017 Spring,1,Integrative Biology,169,1,Clg of Letters & Science,gender and womens studies
48,2017 Spring,8,LGBT Studies,146,1,Clg of Letters & Science,gender and womens studies
49,2017 Spring,1,Letters & Science,22,1,Clg of Letters & Science,gender and womens studies
50,2017 Spring,1,Letters & Science,70C,1,Clg of Letters & Science,gender and womens studies
51,2017 Spring,1,Letters & Science,C180U,1,Clg of Letters & Science,gender and womens studies
52,2017 Spring,1,Media Studies,101,1,Clg of Letters & Science,gender and womens studies
53,2017 Spring,1,Media Studies,103,1,Clg of Letters & Science,gender and womens studies
54,2017 Spring,1,Media Studies,104A,1,Clg of Letters & Science,gender and womens studies
55,2017 Spring,1,Media Studies,170,1,Clg of Letters & Science,gender and womens studies
56,2017 Spring,1,Molecular & Cell Biology,C61,1,Clg of Letters & Science,gender and womens studies
57,2017 Spring,1,Molecular & Cell Biology,104,1,Clg of Letters & Science,gender and womens studies
58,2017 Spring,1,Molecular & Cell Biology,133L,1,Clg of Letters & Science,gender and womens studies
59,2017 Spring,1,Molecular & Cell Biology,137L,1,Clg of Letters & Science,gender and womens studies
60,2017 Spring,1,Music,116B,1,Clg of Letters & Science,gender and womens studies
61,2017 Spring,1,Music,165,1,Clg of Letters & Science,gender and womens studies
62,2017 Spring,1,Nutritional Science & Tox,98,1,Clg of Natural Resources,gender and womens studies
63,2017 Spring,1,Philosophy,25B,1,Clg of Letters & Science,gender and womens studies
64,2017 Spring,1,Philosophy,100,1,Clg of Letters & Science,gender and womens studies
65,2017 Spring,1,Philosophy,132,1,Clg of Letters & Science,gender and womens studies
66,2017 Spring,1,Physical Education,1,20,Clg of Letters & Science,gender and womens studies
67,2017 Spring,1,Physical Education,1,23,Clg of Letters & Science,gender and womens studies
68,2017 Spring,1,Physical Education,2,11,Clg of Letters & Science,gender and womens studies
69,2017 Spring,1,Physical Education,2,12,Clg of Letters & Science,gender and womens studies
70,2017 Spring,1,Physical Education,197,1,Clg of Letters & Science,gender and womens studies
71,2017 Spring,1,Physics,8B,1,Clg of Letters & Science,gender and womens studies
72,2017 Spring,1,Physics,8B,2,Clg of Letters & Science,gender and womens studies
73,2017 Spring,1,Political Economy,100,1,Clg of Letters & Science,gender and womens studies
74,2017 Spring,1,Political Science,186,1,Clg of Letters & Science,gender and womens studies
75,2017 Spring,1,Psychology,C116,1,Clg of Letters & Science,gender and womens studies
76,2017 Spring,1,Psychology,160,1,Clg of Letters & Science,gender and womens studies
77,2017 Spring,1,Psychology,166AC,1,Clg of Letters & Science,gender and womens studies
78,2017 Spring,1,Psychology,198,11,Clg of Letters & Science,gender and womens studies
79,2017 Spring,1,Public Health,150A,1,School of Public Health,gender and womens studies
80,2017 Spring,1,Public Health,198,57,School of Public Health,gender and womens studies
81,2017 Spring,1,Rhetoric,103B,1,Clg of Letters & Science,gender and womens studies
82,2017 Spring,1,Rhetoric,151,1,Clg of Letters & Science,gender and womens studies
83,2017 Spring,1,Sociology,101,1,Clg of Letters & Science,gender and womens studies
84,2017 Spring,2,Sociology,133,1,Clg of Letters & Science,gender and womens studies
85,2017 Spring,1,Sociology,145,1,Clg of Letters & Science,gender and womens studies
86,2017 Spring,1,Sociology,C167,1,Clg of Letters & Science,gender and womens studies
87,2017 Spring,2,Sociology,198,7,Clg of Letters & Science,gender and womens studies
88,2017 Spring,1,Sociology,198,15,Clg of Letters & Science,gender and womens studies
89,2017 Spring,1,Sociology,198BC,4,Clg of Letters & Science,gender and womens studies
90,2017 Spring,1,South & SE Asian Studies,R5B,3,Clg of Letters & Science,gender and womens studies
91,2017 Spring,1,Spanish,3,4,Clg of Letters & Science,gender and womens studies
92,2017 Spring,1,Statistics,2,1,Clg of Letters & Science,gender and womens studies
93,2017 Spring,1,Theater Dance & Perf Stds,114,1,Clg of Letters & Science,gender and womens studies
94,2017 Spring,1,Theater Dance & Perf Stds,125,2,Clg of Letters & Science,gender and womens studies
95,2017 Spring,1,Theater Dance & Perf Stds,173B,1,Clg of Letters & Science,gender and womens studies
96,2017 Spring,1,Theater Dance & Perf Stds,196,1,Clg of Letters & Science,gender and womens studies
97,2017 Spring,1,UGIS-UG Interdisc Studies,140,1,Clg of Letters & Science,gender and womens studies
