Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,159,1,Clg of Letters & Science,genetics and plant biology
1,2017 Spring,1,American Studies,C112B,1,Clg of Letters & Science,genetics and plant biology
2,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,genetics and plant biology
3,2017 Spring,1,Anthropology,137,1,Clg of Letters & Science,genetics and plant biology
4,2017 Spring,1,Bioengineering,135,1,Clg of Engineering,genetics and plant biology
5,2017 Spring,4,Biology,1A,1,Clg of Letters & Science,genetics and plant biology
6,2017 Spring,3,Biology,1A,2,Clg of Letters & Science,genetics and plant biology
7,2017 Spring,3,Biology,1AL,1,Clg of Letters & Science,genetics and plant biology
8,2017 Spring,4,Biology,1AL,2,Clg of Letters & Science,genetics and plant biology
9,2017 Spring,1,Biology,1B,2,Clg of Letters & Science,genetics and plant biology
10,2017 Spring,1,Biology,1B,3,Clg of Letters & Science,genetics and plant biology
11,2017 Spring,2,Chemistry,1A,1,Clg of Chemistry,genetics and plant biology
12,2017 Spring,1,Chemistry,1AL,2,Clg of Chemistry,genetics and plant biology
13,2017 Spring,4,Chemistry,3A,1,Clg of Chemistry,genetics and plant biology
14,2017 Spring,2,Chemistry,3A,2,Clg of Chemistry,genetics and plant biology
15,2017 Spring,5,Chemistry,3AL,1,Clg of Chemistry,genetics and plant biology
16,2017 Spring,1,Chemistry,3AL,2,Clg of Chemistry,genetics and plant biology
17,2017 Spring,2,Chemistry,3B,1,Clg of Chemistry,genetics and plant biology
18,2017 Spring,1,Chemistry,3BL,1,Clg of Chemistry,genetics and plant biology
19,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,genetics and plant biology
20,2017 Spring,1,Chemistry,C130,1,Clg of Chemistry,genetics and plant biology
21,2017 Spring,1,City & Regional Planning,198,1,Clg of Environmental Design,genetics and plant biology
22,2017 Spring,1,Civil & Environmental Eng,107,1,Clg of Engineering,genetics and plant biology
23,2017 Spring,1,Civil & Environmental Eng,110,1,Clg of Engineering,genetics and plant biology
24,2017 Spring,1,Civil & Environmental Eng,113,1,Clg of Engineering,genetics and plant biology
25,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,genetics and plant biology
26,2017 Spring,1,Classics,28,1,Clg of Letters & Science,genetics and plant biology
27,2017 Spring,1,College Writing Programs,1,1,Clg of Letters & Science,genetics and plant biology
28,2017 Spring,1,College Writing Programs,10A,4,Clg of Letters & Science,genetics and plant biology
29,2017 Spring,1,Comparative Literature,R1A,4,Clg of Letters & Science,genetics and plant biology
30,2017 Spring,1,Comparative Literature,R1B,24,Clg of Letters & Science,genetics and plant biology
31,2017 Spring,1,Computer Science,9H,1,Clg of Engineering,genetics and plant biology
32,2017 Spring,1,Computer Science,61C,1,Clg of Engineering,genetics and plant biology
33,2017 Spring,1,Computer Science,70,1,Clg of Engineering,genetics and plant biology
34,2017 Spring,1,Demography,C175,1,Clg of Letters & Science,genetics and plant biology
35,2017 Spring,2,Economics,2,1,Clg of Letters & Science,genetics and plant biology
36,2017 Spring,1,Economics,C3,1,Clg of Letters & Science,genetics and plant biology
