Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,117,1,Clg of Letters & Science,geography
1,2017 Spring,1,African American Studies,120,1,Clg of Letters & Science,geography
2,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,geography
3,2017 Spring,1,African American Studies,197,1,Clg of Letters & Science,geography
4,2017 Spring,1,American Studies,C111E,1,Clg of Letters & Science,geography
5,2017 Spring,1,Anthropology,128,1,Clg of Letters & Science,geography
6,2017 Spring,1,Anthropology,162,1,Clg of Letters & Science,geography
7,2017 Spring,1,Anthropology,189,3,Clg of Letters & Science,geography
8,2017 Spring,1,Art Practice,14,1,Clg of Letters & Science,geography
9,2017 Spring,1,Art Practice,15,1,Clg of Letters & Science,geography
10,2017 Spring,1,Art Practice,102,2,Clg of Letters & Science,geography
11,2017 Spring,1,Business Admin-Undergrad,102A,1,Haas School of Business,geography
12,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,geography
13,2017 Spring,1,Business Admin-Undergrad,198,3,Haas School of Business,geography
14,2017 Spring,1,Chemistry,112B,1,Clg of Chemistry,geography
15,2017 Spring,1,Chemistry,C182,1,Clg of Chemistry,geography
16,2017 Spring,1,Chicano Studies,110,1,Clg of Letters & Science,geography
17,2017 Spring,1,Chicano Studies,174,1,Clg of Letters & Science,geography
18,2017 Spring,1,City & Regional Planning,101,1,Clg of Environmental Design,geography
19,2017 Spring,3,City & Regional Planning,113B,1,Clg of Environmental Design,geography
20,2017 Spring,2,City & Regional Planning,114,1,Clg of Environmental Design,geography
21,2017 Spring,3,City & Regional Planning,118AC,1,Clg of Environmental Design,geography
22,2017 Spring,3,City & Regional Planning,190,1,Clg of Environmental Design,geography
23,2017 Spring,1,Civil & Environmental Eng,103,1,Clg of Engineering,geography
24,2017 Spring,1,Classics,161,1,Clg of Letters & Science,geography
25,2017 Spring,1,Cognitive Science,198,1,Clg of Letters & Science,geography
26,2017 Spring,3,Computer Science,C8,1,Clg of Engineering,geography
27,2017 Spring,1,Computer Science,61A,1,Clg of Engineering,geography
28,2017 Spring,1,Computer Science,97,212,Clg of Engineering,geography
29,2017 Spring,1,Computer Science,195,1,Clg of Engineering,geography
30,2017 Spring,1,Computer Science,197,214,Clg of Engineering,geography
31,2017 Spring,2,Computer Science,198,67,Clg of Engineering,geography
32,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,geography
33,2017 Spring,1,Development Studies,C10,1,Clg of Letters & Science,geography
34,2017 Spring,1,Development Studies,C100,1,Clg of Letters & Science,geography
35,2017 Spring,1,Earth & Planetary Science,102,1,Clg of Letters & Science,geography
36,2017 Spring,1,Earth & Planetary Science,116,1,Clg of Letters & Science,geography
37,2017 Spring,1,Earth & Planetary Science,C180,1,Clg of Letters & Science,geography
38,2017 Spring,3,Economics,1,1,Clg of Letters & Science,geography
39,2017 Spring,1,Economics,2,1,Clg of Letters & Science,geography
40,2017 Spring,1,Economics,100B,1,Clg of Letters & Science,geography
41,2017 Spring,1,Economics,157,1,Clg of Letters & Science,geography
42,2017 Spring,1,Economics,172,1,Clg of Letters & Science,geography
43,2017 Spring,1,Education,131AC,1,Grad School of Education,geography
44,2017 Spring,1,Education,188B,1,Grad School of Education,geography
45,2017 Spring,1,Education,188F,1,Grad School of Education,geography
46,2017 Spring,1,Education,198,1,Grad School of Education,geography
47,2017 Spring,1,Energy and Resources,102,1,Clg of Natural Resources,geography
48,2017 Spring,1,English,80K,1,Clg of Letters & Science,geography
