Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,geology
1,2017 Spring,1,Art Practice,12,1,Clg of Letters & Science,geology
2,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,geology
3,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,geology
4,2017 Spring,1,Chicano Studies,141,1,Clg of Letters & Science,geology
5,2017 Spring,1,Civil & Environmental Eng,11,1,Clg of Engineering,geology
6,2017 Spring,1,Civil & Environmental Eng,103,1,Clg of Engineering,geology
7,2017 Spring,1,Civil & Environmental Eng,110,1,Clg of Engineering,geology
8,2017 Spring,7,Earth & Planetary Science,100B,1,Clg of Letters & Science,geology
9,2017 Spring,5,Earth & Planetary Science,102,1,Clg of Letters & Science,geology
10,2017 Spring,4,Earth & Planetary Science,103,1,Clg of Letters & Science,geology
11,2017 Spring,1,Earth & Planetary Science,104,1,Clg of Letters & Science,geology
12,2017 Spring,3,Earth & Planetary Science,116,1,Clg of Letters & Science,geology
13,2017 Spring,4,Earth & Planetary Science,124,1,Clg of Letters & Science,geology
14,2017 Spring,3,Earth & Planetary Science,130,1,Clg of Letters & Science,geology
15,2017 Spring,2,Earth & Planetary Science,150,1,Clg of Letters & Science,geology
16,2017 Spring,1,Earth & Planetary Science,C182,1,Clg of Letters & Science,geology
17,2017 Spring,1,"Env Sci, Policy, & Mgmt",197,15,Clg of Natural Resources,geology
18,2017 Spring,1,Gender & Womens Studies,198,1,Clg of Letters & Science,geology
19,2017 Spring,2,Geography,C136,1,Clg of Letters & Science,geology
20,2017 Spring,1,Geography,140A,1,Clg of Letters & Science,geology
21,2017 Spring,1,Geography,185,1,Clg of Letters & Science,geology
22,2017 Spring,1,Geography,187,1,Clg of Letters & Science,geology
23,2017 Spring,1,History,136C,1,Clg of Letters & Science,geology
24,2017 Spring,1,History,160,1,Clg of Letters & Science,geology
25,2017 Spring,1,Interdisciplinary Studies,198,5,Clg of Letters & Science,geology
26,2017 Spring,1,Letters & Science,25,1,Clg of Letters & Science,geology
27,2017 Spring,1,Letters & Science,C180U,1,Clg of Letters & Science,geology
28,2017 Spring,1,Linguistics,198,2,Clg of Letters & Science,geology
29,2017 Spring,1,Mechanical Engineering,40,1,Clg of Engineering,geology
30,2017 Spring,1,Mechanical Engineering,C85,1,Clg of Engineering,geology
31,2017 Spring,1,Peace & Conflict Studies,100,1,Clg of Letters & Science,geology
32,2017 Spring,1,Physical Education,1,9,Clg of Letters & Science,geology
33,2017 Spring,1,Physics,7A,2,Clg of Letters & Science,geology
34,2017 Spring,1,Physics,7B,2,Clg of Letters & Science,geology
35,2017 Spring,1,Public Policy,C103,1,Goldman School Public Policy,geology
36,2017 Spring,1,UGIS-UG Interdisc Studies,140,1,Clg of Letters & Science,geology
