Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,geophysics
1,2017 Spring,1,Astronomy,121,1,Clg of Letters & Science,geophysics
2,2017 Spring,2,Astronomy,C161,1,Clg of Letters & Science,geophysics
3,2017 Spring,1,Business Admin-Undergrad,C5,1,Haas School of Business,geophysics
4,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,geophysics
5,2017 Spring,1,Chemical Engineering,141,1,Clg of Chemistry,geophysics
6,2017 Spring,1,Chemical Engineering,150A,1,Clg of Chemistry,geophysics
7,2017 Spring,1,Civil & Environmental Eng,103,1,Clg of Engineering,geophysics
8,2017 Spring,1,Civil & Environmental Eng,171,1,Clg of Engineering,geophysics
9,2017 Spring,1,Civil & Environmental Eng,198,5,Clg of Engineering,geophysics
10,2017 Spring,1,Computer Science,9H,1,Clg of Engineering,geophysics
11,2017 Spring,1,Computer Science,61C,1,Clg of Engineering,geophysics
12,2017 Spring,1,Development Studies,C10,1,Clg of Letters & Science,geophysics
13,2017 Spring,2,Earth & Planetary Science,100B,1,Clg of Letters & Science,geophysics
14,2017 Spring,9,Earth & Planetary Science,102,1,Clg of Letters & Science,geophysics
15,2017 Spring,10,Earth & Planetary Science,104,1,Clg of Letters & Science,geophysics
16,2017 Spring,4,Earth & Planetary Science,116,1,Clg of Letters & Science,geophysics
17,2017 Spring,9,Earth & Planetary Science,122,1,Clg of Letters & Science,geophysics
18,2017 Spring,3,Earth & Planetary Science,130,1,Clg of Letters & Science,geophysics
19,2017 Spring,6,Earth & Planetary Science,150,1,Clg of Letters & Science,geophysics
20,2017 Spring,1,Education,131AC,1,Grad School of Education,geophysics
21,2017 Spring,1,Electrical Engineering,16A,1,Clg of Engineering,geophysics
22,2017 Spring,1,Electrical Engineering,105,1,Clg of Engineering,geophysics
23,2017 Spring,2,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,geophysics
24,2017 Spring,1,Ethnic Studies,198,15,Clg of Letters & Science,geophysics
25,2017 Spring,1,French,3,6,Clg of Letters & Science,geophysics
26,2017 Spring,1,French,13,1,Clg of Letters & Science,geophysics
27,2017 Spring,1,Geography,20,1,Clg of Letters & Science,geophysics
28,2017 Spring,4,Geography,C136,1,Clg of Letters & Science,geophysics
29,2017 Spring,2,Geography,185,1,Clg of Letters & Science,geophysics
30,2017 Spring,1,Italian Studies,102,1,Clg of Letters & Science,geophysics
31,2017 Spring,1,Italian Studies,105,1,Clg of Letters & Science,geophysics
32,2017 Spring,1,Japanese,155,1,Clg of Letters & Science,geophysics
33,2017 Spring,1,Letters & Science,25,1,Clg of Letters & Science,geophysics
34,2017 Spring,1,Physical Education,1,19,Clg of Letters & Science,geophysics
35,2017 Spring,1,Physical Education,1,33,Clg of Letters & Science,geophysics
36,2017 Spring,1,Physical Education,2,14,Clg of Letters & Science,geophysics
37,2017 Spring,3,Physics,105,1,Clg of Letters & Science,geophysics
38,2017 Spring,1,Physics,111B,1,Clg of Letters & Science,geophysics
39,2017 Spring,1,Physics,112,1,Clg of Letters & Science,geophysics
40,2017 Spring,1,Physics,137B,1,Clg of Letters & Science,geophysics
41,2017 Spring,1,Physics,137B,2,Clg of Letters & Science,geophysics
