Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,156,1,Clg of Letters & Science,german
1,2017 Spring,1,Architecture,179,2,Clg of Environmental Design,german
2,2017 Spring,1,Biology,1A,1,Clg of Letters & Science,german
3,2017 Spring,1,Biology,1AL,1,Clg of Letters & Science,german
4,2017 Spring,1,Computer Science,61C,1,Clg of Engineering,german
5,2017 Spring,1,Computer Science,186,1,Clg of Engineering,german
6,2017 Spring,1,Dutch,125,1,Clg of Letters & Science,german
7,2017 Spring,1,Dutch,166,1,Clg of Letters & Science,german
8,2017 Spring,1,Economics,1,1,Clg of Letters & Science,german
9,2017 Spring,1,Economics,2,1,Clg of Letters & Science,german
10,2017 Spring,1,Economics,100B,1,Clg of Letters & Science,german
11,2017 Spring,1,"Env Sci, Policy, & Mgmt",C10,1,Clg of Natural Resources,german
12,2017 Spring,1,"Env Sci, Policy, & Mgmt",40,1,Clg of Natural Resources,german
13,2017 Spring,1,"Env Sci, Policy, & Mgmt",90,1,Clg of Natural Resources,german
14,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,german
15,2017 Spring,1,French,4,4,Clg of Letters & Science,german
16,2017 Spring,1,German,4,2,Clg of Letters & Science,german
17,2017 Spring,1,German,100,1,Clg of Letters & Science,german
18,2017 Spring,4,German,101,1,Clg of Letters & Science,german
19,2017 Spring,3,German,102A,1,Clg of Letters & Science,german
20,2017 Spring,4,German,108,1,Clg of Letters & Science,german
21,2017 Spring,3,German,152,1,Clg of Letters & Science,german
22,2017 Spring,2,German,155,1,Clg of Letters & Science,german
23,2017 Spring,2,German,157A,1,Clg of Letters & Science,german
24,2017 Spring,2,German,174,1,Clg of Letters & Science,german
25,2017 Spring,1,German,182,1,Clg of Letters & Science,german
26,2017 Spring,1,History,136C,1,Clg of Letters & Science,german
27,2017 Spring,1,History,162B,1,Clg of Letters & Science,german
28,2017 Spring,1,International & Area Stds,45,1,Clg of Letters & Science,german
29,2017 Spring,2,Italian Studies,120,1,Clg of Letters & Science,german
30,2017 Spring,2,Letters & Science,70C,1,Clg of Letters & Science,german
31,2017 Spring,1,Linguistics,100,1,Clg of Letters & Science,german
32,2017 Spring,1,Linguistics,108,1,Clg of Letters & Science,german
33,2017 Spring,1,Linguistics,120,1,Clg of Letters & Science,german
34,2017 Spring,1,Mathematics,53,1,Clg of Letters & Science,german
35,2017 Spring,1,Mathematics,53,2,Clg of Letters & Science,german
36,2017 Spring,1,Mathematics,104,3,Clg of Letters & Science,german
37,2017 Spring,1,Molecular & Cell Biology,C44,1,Clg of Letters & Science,german
38,2017 Spring,1,Music,52A,1,Clg of Letters & Science,german
39,2017 Spring,1,Music,80,1,Clg of Letters & Science,german
40,2017 Spring,1,Music,144,1,Clg of Letters & Science,german
41,2017 Spring,1,Philosophy,25B,1,Clg of Letters & Science,german
42,2017 Spring,1,Physical Education,1,15,Clg of Letters & Science,german
43,2017 Spring,1,Physical Education,2,10,Clg of Letters & Science,german
44,2017 Spring,1,Political Science,124A,1,Clg of Letters & Science,german
45,2017 Spring,1,Political Science,148A,1,Clg of Letters & Science,german
46,2017 Spring,1,Psychology,114,1,Clg of Letters & Science,german
47,2017 Spring,1,Psychology,130,1,Clg of Letters & Science,german
48,2017 Spring,1,Psychology,158,1,Clg of Letters & Science,german
49,2017 Spring,1,Social Welfare,197,4,School of Social Welfare,german
50,2017 Spring,1,Sociology,198,7,Clg of Letters & Science,german
51,2017 Spring,1,Spanish,100,1,Clg of Letters & Science,german
52,2017 Spring,2,Statistics,2,1,Clg of Letters & Science,german
53,2017 Spring,1,Theater Dance & Perf Stds,125,1,Clg of Letters & Science,german
54,2017 Spring,1,Theater Dance & Perf Stds,169,1,Clg of Letters & Science,german
55,2017 Spring,1,Theater Dance & Perf Stds,172,2,Clg of Letters & Science,german
