Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,African American Studies,142AC,1,Clg of Letters & Science,history
1,2017 Spring,1,American Studies,101,1,Clg of Letters & Science,history
2,2017 Spring,2,Anthropology,160AC,1,Clg of Letters & Science,history
3,2017 Spring,3,Anthropology,174AC,1,Clg of Letters & Science,history
4,2017 Spring,1,Anthropology,196,1,Clg of Letters & Science,history
5,2017 Spring,2,Arabic,1B,2,Clg of Letters & Science,history
6,2017 Spring,1,Arabic,20B,2,Clg of Letters & Science,history
7,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,history
8,2017 Spring,1,Armenian,126,1,Clg of Letters & Science,history
9,2017 Spring,1,Art Practice,13,1,Clg of Letters & Science,history
10,2017 Spring,1,Art Practice,14,1,Clg of Letters & Science,history
11,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,history
12,2017 Spring,2,Asian American Studies,121,1,Clg of Letters & Science,history
13,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,history
14,2017 Spring,1,Asian American Studies,138,1,Clg of Letters & Science,history
15,2017 Spring,1,Business Admin-Undergrad,96,2,Haas School of Business,history
16,2017 Spring,1,Business Admin-Undergrad,106,1,Haas School of Business,history
17,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,history
18,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,history
19,2017 Spring,1,Celtic Studies,173,1,Clg of Letters & Science,history
20,2017 Spring,1,Chicano Studies,180,1,Clg of Letters & Science,history
21,2017 Spring,1,Chicano Studies,197,1,Clg of Letters & Science,history
22,2017 Spring,1,Chinese,101,2,Clg of Letters & Science,history
23,2017 Spring,1,City & Regional Planning,118AC,1,Clg of Environmental Design,history
24,2017 Spring,1,Civil & Environmental Eng,110,1,Clg of Engineering,history
25,2017 Spring,1,Classics,10B,1,Clg of Letters & Science,history
26,2017 Spring,1,Classics,170A,1,Clg of Letters & Science,history
27,2017 Spring,2,Classics,180,1,Clg of Letters & Science,history
28,2017 Spring,1,College Writing Programs,R4B,11,Clg of Letters & Science,history
29,2017 Spring,1,College Writing Programs,130,1,Clg of Letters & Science,history
30,2017 Spring,1,College Writing Programs,151,1,Clg of Letters & Science,history
31,2017 Spring,1,Computer Science,10,1,Clg of Engineering,history
32,2017 Spring,2,Computer Science,61A,1,Clg of Engineering,history
33,2017 Spring,1,Computer Science,97,213,Clg of Engineering,history
34,2017 Spring,1,Computer Science,170,1,Clg of Engineering,history
35,2017 Spring,1,Computer Science,C191,1,Clg of Engineering,history
36,2017 Spring,1,Computer Science,198,3,Clg of Engineering,history
37,2017 Spring,1,Computer Science,198,67,Clg of Engineering,history
38,2017 Spring,1,Dutch,166,1,Clg of Letters & Science,history
39,2017 Spring,1,East Asian Languages,110,1,Clg of Letters & Science,history
40,2017 Spring,1,East Asian Languages,191,1,Clg of Letters & Science,history
41,2017 Spring,3,Economics,1,1,Clg of Letters & Science,history
