Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,197,3,Clg of Letters & Science,history of art
1,2017 Spring,1,American Studies,C112B,1,Clg of Letters & Science,history of art
2,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,history of art
3,2017 Spring,2,Anthropology,121AC,1,Clg of Letters & Science,history of art
4,2017 Spring,1,Architecture,170B,1,Clg of Environmental Design,history of art
5,2017 Spring,1,Architecture,198,4,Clg of Environmental Design,history of art
6,2017 Spring,1,Art Practice,8,1,Clg of Letters & Science,history of art
7,2017 Spring,1,Art Practice,14,1,Clg of Letters & Science,history of art
8,2017 Spring,1,Art Practice,102,1,Clg of Letters & Science,history of art
9,2017 Spring,1,Art Practice,119,1,Clg of Letters & Science,history of art
10,2017 Spring,2,Art Practice,137,1,Clg of Letters & Science,history of art
11,2017 Spring,1,Art Practice,138,1,Clg of Letters & Science,history of art
12,2017 Spring,1,Art Practice,180,1,Clg of Letters & Science,history of art
13,2017 Spring,1,Art Practice,185,1,Clg of Letters & Science,history of art
14,2017 Spring,1,Business Admin-Undergrad,102A,1,Haas School of Business,history of art
15,2017 Spring,2,Business Admin-Undergrad,118,1,Haas School of Business,history of art
16,2017 Spring,1,Business Admin-Undergrad,195A,1,Haas School of Business,history of art
17,2017 Spring,1,Business Admin-Undergrad,195T,1,Haas School of Business,history of art
18,2017 Spring,1,Chemistry,3B,2,Clg of Chemistry,history of art
19,2017 Spring,1,Chemistry,3BL,1,Clg of Chemistry,history of art
20,2017 Spring,1,Classics,161,1,Clg of Letters & Science,history of art
21,2017 Spring,1,Classics,170A,1,Clg of Letters & Science,history of art
22,2017 Spring,1,Classics,C175F,1,Clg of Letters & Science,history of art
23,2017 Spring,1,College Writing Programs,25AC,1,Clg of Letters & Science,history of art
24,2017 Spring,1,Comparative Literature,24,1,Clg of Letters & Science,history of art
25,2017 Spring,1,Comparative Literature,165,1,Clg of Letters & Science,history of art
26,2017 Spring,1,Comparative Literature,198,2,Clg of Letters & Science,history of art
27,2017 Spring,1,Computer Science,C8,1,Clg of Engineering,history of art
28,2017 Spring,1,East Asian Languages,110,1,Clg of Letters & Science,history of art
29,2017 Spring,1,Education,40AC,1,Grad School of Education,history of art
30,2017 Spring,1,Education,W140A,1,Grad School of Education,history of art
31,2017 Spring,1,English,84,1,Clg of Letters & Science,history of art
32,2017 Spring,1,"Env Sci, Policy, & Mgmt",C11,1,Clg of Natural Resources,history of art
33,2017 Spring,1,Film,108,2,Clg of Letters & Science,history of art
34,2017 Spring,1,Film,140,2,Clg of Letters & Science,history of art
35,2017 Spring,1,Film,180,1,Clg of Letters & Science,history of art
36,2017 Spring,1,French,2,5,Clg of Letters & Science,history of art
37,2017 Spring,1,French,2,8,Clg of Letters & Science,history of art
38,2017 Spring,1,French,3,4,Clg of Letters & Science,history of art
39,2017 Spring,1,French,4,2,Clg of Letters & Science,history of art
40,2017 Spring,1,French,13,1,Clg of Letters & Science,history of art
41,2017 Spring,2,Gender & Womens Studies,100AC,1,Clg of Letters & Science,history of art
42,2017 Spring,1,Geography,164,1,Clg of Letters & Science,history of art
43,2017 Spring,1,German,157A,1,Clg of Letters & Science,history of art
44,2017 Spring,1,Global Studies,110K,1,Clg of Letters & Science,history of art
45,2017 Spring,1,Hindi-Urdu,100B,1,Clg of Letters & Science,history of art
46,2017 Spring,1,History,R1B,4,Clg of Letters & Science,history of art
47,2017 Spring,1,History,5,1,Clg of Letters & Science,history of art
48,2017 Spring,1,History,101,14,Clg of Letters & Science,history of art
49,2017 Spring,1,History,106B,1,Clg of Letters & Science,history of art
50,2017 Spring,1,History,164A,1,Clg of Letters & Science,history of art
51,2017 Spring,1,History,178,1,Clg of Letters & Science,history of art
52,2017 Spring,1,History,182A,1,Clg of Letters & Science,history of art
53,2017 Spring,2,History of Art,11,1,Clg of Letters & Science,history of art
54,2017 Spring,2,History of Art,35,1,Clg of Letters & Science,history of art
55,2017 Spring,1,History of Art,87AC,1,Clg of Letters & Science,history of art
56,2017 Spring,23,History of Art,100,1,Clg of Letters & Science,history of art
57,2017 Spring,11,History of Art,C109,1,Clg of Letters & Science,history of art
58,2017 Spring,19,History of Art,134A,1,Clg of Letters & Science,history of art
59,2017 Spring,6,History of Art,C145A,1,Clg of Letters & Science,history of art
60,2017 Spring,14,History of Art,188A,1,Clg of Letters & Science,history of art
61,2017 Spring,5,History of Art,192A,1,Clg of Letters & Science,history of art
62,2017 Spring,7,History of Art,192DH,1,Clg of Letters & Science,history of art
63,2017 Spring,3,History of Art,192E,1,Clg of Letters & Science,history of art
64,2017 Spring,8,History of Art,192G,1,Clg of Letters & Science,history of art
