Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,industrial engineering operations research
1,2017 Spring,2,Anthropology,3AC,1,Clg of Letters & Science,industrial engineering operations research
2,2017 Spring,1,Anthropology,R5B,2,Clg of Letters & Science,industrial engineering operations research
3,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,industrial engineering operations research
4,2017 Spring,1,Architecture,98,3,Clg of Environmental Design,industrial engineering operations research
5,2017 Spring,1,Art Practice,13,2,Clg of Letters & Science,industrial engineering operations research
6,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,industrial engineering operations research
7,2017 Spring,1,Bengali,101B,1,Clg of Letters & Science,industrial engineering operations research
8,2017 Spring,1,Business Admin-Undergrad,10,1,Haas School of Business,industrial engineering operations research
9,2017 Spring,3,Business Admin-Undergrad,102A,1,Haas School of Business,industrial engineering operations research
10,2017 Spring,1,Business Admin-Undergrad,115,1,Haas School of Business,industrial engineering operations research
11,2017 Spring,1,Business Admin-Undergrad,170,1,Haas School of Business,industrial engineering operations research
12,2017 Spring,1,Business Admin-Undergrad,178,1,Haas School of Business,industrial engineering operations research
13,2017 Spring,1,Chemistry,1AL,1,Clg of Chemistry,industrial engineering operations research
14,2017 Spring,15,Civil & Environmental Eng,11,1,Clg of Engineering,industrial engineering operations research
15,2017 Spring,1,Civil & Environmental Eng,C30,2,Clg of Engineering,industrial engineering operations research
16,2017 Spring,1,Civil & Environmental Eng,60,1,Clg of Engineering,industrial engineering operations research
17,2017 Spring,1,Civil & Environmental Eng,88B,1,Clg of Engineering,industrial engineering operations research
18,2017 Spring,1,Civil & Environmental Eng,98,3,Clg of Engineering,industrial engineering operations research
19,2017 Spring,4,Civil & Environmental Eng,155,1,Clg of Engineering,industrial engineering operations research
20,2017 Spring,1,Civil & Environmental Eng,198,9,Clg of Engineering,industrial engineering operations research
21,2017 Spring,1,College Writing Programs,R1A,12,Clg of Letters & Science,industrial engineering operations research
22,2017 Spring,1,College Writing Programs,R4B,7,Clg of Letters & Science,industrial engineering operations research
23,2017 Spring,1,College Writing Programs,25AC,1,Clg of Letters & Science,industrial engineering operations research
24,2017 Spring,1,College Writing Programs,151,1,Clg of Letters & Science,industrial engineering operations research
25,2017 Spring,1,Comparative Literature,R1B,12,Clg of Letters & Science,industrial engineering operations research
26,2017 Spring,1,Comparative Literature,R1B,13,Clg of Letters & Science,industrial engineering operations research
27,2017 Spring,11,Computer Science,C8,1,Clg of Engineering,industrial engineering operations research
28,2017 Spring,1,Computer Science,9F,1,Clg of Engineering,industrial engineering operations research
