Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Aerospace Studies,135B,1,Clg of Letters & Science,integrative biology
1,2017 Spring,1,African American Studies,30B,1,Clg of Letters & Science,integrative biology
2,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,integrative biology
3,2017 Spring,1,African American Studies,118,1,Clg of Letters & Science,integrative biology
4,2017 Spring,5,African American Studies,131,1,Clg of Letters & Science,integrative biology
5,2017 Spring,1,African American Studies,C156,1,Clg of Letters & Science,integrative biology
6,2017 Spring,2,African American Studies,156AC,1,Clg of Letters & Science,integrative biology
7,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,integrative biology
8,2017 Spring,2,Anthropology,3AC,1,Clg of Letters & Science,integrative biology
9,2017 Spring,2,Anthropology,R5B,1,Clg of Letters & Science,integrative biology
10,2017 Spring,2,Anthropology,112,1,Clg of Letters & Science,integrative biology
11,2017 Spring,1,Anthropology,121AC,1,Clg of Letters & Science,integrative biology
12,2017 Spring,1,Anthropology,127B,1,Clg of Letters & Science,integrative biology
13,2017 Spring,2,Anthropology,134,1,Clg of Letters & Science,integrative biology
14,2017 Spring,2,Anthropology,156A,1,Clg of Letters & Science,integrative biology
15,2017 Spring,2,Anthropology,160AC,1,Clg of Letters & Science,integrative biology
16,2017 Spring,2,Anthropology,170,1,Clg of Letters & Science,integrative biology
17,2017 Spring,3,Anthropology,180,1,Clg of Letters & Science,integrative biology
18,2017 Spring,1,Anthropology,196,1,Clg of Letters & Science,integrative biology
19,2017 Spring,1,Arabic,1B,6,Clg of Letters & Science,integrative biology
20,2017 Spring,1,Arabic,1B,7,Clg of Letters & Science,integrative biology
21,2017 Spring,1,Arabic,107,1,Clg of Letters & Science,integrative biology
22,2017 Spring,1,Armenian,101B,1,Clg of Letters & Science,integrative biology
23,2017 Spring,1,Art Practice,12,1,Clg of Letters & Science,integrative biology
24,2017 Spring,1,Art Practice,13,1,Clg of Letters & Science,integrative biology
25,2017 Spring,1,Art Practice,15,1,Clg of Letters & Science,integrative biology
26,2017 Spring,1,Art Practice,118,1,Clg of Letters & Science,integrative biology
27,2017 Spring,2,Art Practice,120,1,Clg of Letters & Science,integrative biology
28,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,integrative biology
29,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,integrative biology
30,2017 Spring,2,Asian American Studies,132AC,1,Clg of Letters & Science,integrative biology
31,2017 Spring,2,Asian American Studies,144,1,Clg of Letters & Science,integrative biology
32,2017 Spring,1,Asian American Studies,176,1,Clg of Letters & Science,integrative biology
33,2017 Spring,1,Asian American Studies,197,2,Clg of Letters & Science,integrative biology
34,2017 Spring,1,Asian American Studies,198,5,Clg of Letters & Science,integrative biology
35,2017 Spring,1,Asian Studies,198,4,Clg of Letters & Science,integrative biology
36,2017 Spring,1,Astronomy,C12,1,Clg of Letters & Science,integrative biology
37,2017 Spring,1,Astronomy,98,2,Clg of Letters & Science,integrative biology
38,2017 Spring,1,Astronomy,198,2,Clg of Letters & Science,integrative biology
39,2017 Spring,1,Bioengineering,110,1,Clg of Engineering,integrative biology
40,2017 Spring,1,Bioengineering,111,1,Clg of Engineering,integrative biology
41,2017 Spring,4,Biology,1A,1,Clg of Letters & Science,integrative biology
42,2017 Spring,4,Biology,1A,2,Clg of Letters & Science,integrative biology
43,2017 Spring,7,Biology,1AL,1,Clg of Letters & Science,integrative biology
44,2017 Spring,1,Biology,1AL,2,Clg of Letters & Science,integrative biology
45,2017 Spring,1,Biology,1B,1,Clg of Letters & Science,integrative biology
46,2017 Spring,3,Biology,1B,2,Clg of Letters & Science,integrative biology
47,2017 Spring,2,Buddhist Studies,C128,1,Clg of Letters & Science,integrative biology
48,2017 Spring,5,Business Admin-Undergrad,96,1,Haas School of Business,integrative biology
49,2017 Spring,2,Business Admin-Undergrad,96,2,Haas School of Business,integrative biology
50,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,integrative biology
51,2017 Spring,1,Business Admin-Undergrad,106,1,Haas School of Business,integrative biology
52,2017 Spring,1,Business Admin-Undergrad,170,1,Haas School of Business,integrative biology
53,2017 Spring,1,Business Admin-Undergrad,195A,1,Haas School of Business,integrative biology
54,2017 Spring,1,Business Admin-Undergrad,195T,1,Haas School of Business,integrative biology
55,2017 Spring,1,Business Admin-Undergrad,196,1,Haas School of Business,integrative biology
56,2017 Spring,2,Business Admin-Undergrad,196,2,Haas School of Business,integrative biology
57,2017 Spring,2,Celtic Studies,125,1,Clg of Letters & Science,integrative biology
58,2017 Spring,1,Celtic Studies,173,1,Clg of Letters & Science,integrative biology
59,2017 Spring,1,Chemical Engineering,198,3,Clg of Chemistry,integrative biology
60,2017 Spring,6,Chemistry,1B,1,Clg of Chemistry,integrative biology
61,2017 Spring,3,Chemistry,3B,1,Clg of Chemistry,integrative biology
62,2017 Spring,3,Chemistry,3B,2,Clg of Chemistry,integrative biology
63,2017 Spring,3,Chemistry,3BL,1,Clg of Chemistry,integrative biology
64,2017 Spring,1,Chemistry,3BL,2,Clg of Chemistry,integrative biology
65,2017 Spring,1,Chemistry,98,3,Clg of Chemistry,integrative biology
66,2017 Spring,1,Chemistry,C130,1,Clg of Chemistry,integrative biology
67,2017 Spring,1,Chicano Studies,50,1,Clg of Letters & Science,integrative biology
68,2017 Spring,1,Chinese,1B,2,Clg of Letters & Science,integrative biology
69,2017 Spring,1,Chinese,10X,2,Clg of Letters & Science,integrative biology
70,2017 Spring,1,Chinese,10Y,1,Clg of Letters & Science,integrative biology
71,2017 Spring,1,Chinese,112,1,Clg of Letters & Science,integrative biology
72,2017 Spring,1,Civil & Environmental Eng,198,3,Clg of Engineering,integrative biology
73,2017 Spring,2,Classics,10B,1,Clg of Letters & Science,integrative biology
74,2017 Spring,2,Classics,17B,1,Clg of Letters & Science,integrative biology
75,2017 Spring,1,Classics,28,1,Clg of Letters & Science,integrative biology
76,2017 Spring,1,Classics,35,1,Clg of Letters & Science,integrative biology
77,2017 Spring,3,Classics,161,1,Clg of Letters & Science,integrative biology
78,2017 Spring,1,Classics,170A,1,Clg of Letters & Science,integrative biology
79,2017 Spring,2,Classics,180,1,Clg of Letters & Science,integrative biology
80,2017 Spring,3,Cognitive Science,198,5,Clg of Letters & Science,integrative biology
81,2017 Spring,1,College Writing Programs,R4B,8,Clg of Letters & Science,integrative biology
82,2017 Spring,1,College Writing Programs,10A,2,Clg of Letters & Science,integrative biology
83,2017 Spring,2,College Writing Programs,10A,4,Clg of Letters & Science,integrative biology
84,2017 Spring,3,College Writing Programs,151,1,Clg of Letters & Science,integrative biology
