Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,African American Studies,115,1,Clg of Letters & Science,interdisciplinary studies
1,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,interdisciplinary studies
2,2017 Spring,1,African American Studies,158B,1,Clg of Letters & Science,interdisciplinary studies
3,2017 Spring,1,African American Studies,159,1,Clg of Letters & Science,interdisciplinary studies
4,2017 Spring,1,American Studies,102,1,Clg of Letters & Science,interdisciplinary studies
5,2017 Spring,1,Anthropology,1,1,Clg of Letters & Science,interdisciplinary studies
6,2017 Spring,2,Anthropology,2AC,1,Clg of Letters & Science,interdisciplinary studies
7,2017 Spring,1,Anthropology,119,1,Clg of Letters & Science,interdisciplinary studies
8,2017 Spring,3,Anthropology,121AC,1,Clg of Letters & Science,interdisciplinary studies
9,2017 Spring,3,Anthropology,137,1,Clg of Letters & Science,interdisciplinary studies
10,2017 Spring,1,Anthropology,156,1,Clg of Letters & Science,interdisciplinary studies
11,2017 Spring,1,Anthropology,160AC,1,Clg of Letters & Science,interdisciplinary studies
12,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,interdisciplinary studies
13,2017 Spring,1,Anthropology,189,1,Clg of Letters & Science,interdisciplinary studies
14,2017 Spring,1,Anthropology,189,3,Clg of Letters & Science,interdisciplinary studies
15,2017 Spring,1,Arabic,20B,1,Clg of Letters & Science,interdisciplinary studies
16,2017 Spring,1,Architecture,129,1,Clg of Environmental Design,interdisciplinary studies
17,2017 Spring,1,Architecture,140,1,Clg of Environmental Design,interdisciplinary studies
18,2017 Spring,1,Architecture,198BC,2,Clg of Environmental Design,interdisciplinary studies
19,2017 Spring,1,Armenian,1B,1,Clg of Letters & Science,interdisciplinary studies
20,2017 Spring,1,Armenian,126,1,Clg of Letters & Science,interdisciplinary studies
21,2017 Spring,1,Art Practice,180,1,Clg of Letters & Science,interdisciplinary studies
22,2017 Spring,1,Asian American Studies,144,1,Clg of Letters & Science,interdisciplinary studies
23,2017 Spring,1,Asian American Studies,176,1,Clg of Letters & Science,interdisciplinary studies
24,2017 Spring,1,Asian Studies,198,1,Clg of Letters & Science,interdisciplinary studies
25,2017 Spring,1,Astronomy,C12,1,Clg of Letters & Science,interdisciplinary studies
26,2017 Spring,1,Buddhist Studies,C128,1,Clg of Letters & Science,interdisciplinary studies
27,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,interdisciplinary studies
28,2017 Spring,1,Business Admin-Undergrad,102A,1,Haas School of Business,interdisciplinary studies
29,2017 Spring,1,Business Admin-Undergrad,104,1,Haas School of Business,interdisciplinary studies
30,2017 Spring,1,Business Admin-Undergrad,105,1,Haas School of Business,interdisciplinary studies
31,2017 Spring,1,Business Admin-Undergrad,106,1,Haas School of Business,interdisciplinary studies
32,2017 Spring,1,Business Admin-Undergrad,115,1,Haas School of Business,interdisciplinary studies
33,2017 Spring,2,Business Admin-Undergrad,118,1,Haas School of Business,interdisciplinary studies
34,2017 Spring,1,Business Admin-Undergrad,141,1,Haas School of Business,interdisciplinary studies
35,2017 Spring,2,Business Admin-Undergrad,155,1,Haas School of Business,interdisciplinary studies
36,2017 Spring,1,Business Admin-Undergrad,160,1,Haas School of Business,interdisciplinary studies
37,2017 Spring,2,Business Admin-Undergrad,161,1,Haas School of Business,interdisciplinary studies
38,2017 Spring,2,Business Admin-Undergrad,170,1,Haas School of Business,interdisciplinary studies
39,2017 Spring,1,Business Admin-Undergrad,178,1,Haas School of Business,interdisciplinary studies
40,2017 Spring,1,Business Admin-Undergrad,190T,2,Haas School of Business,interdisciplinary studies
41,2017 Spring,1,Business Admin-Undergrad,190T,3,Haas School of Business,interdisciplinary studies
42,2017 Spring,2,Business Admin-Undergrad,192A,1,Haas School of Business,interdisciplinary studies
43,2017 Spring,2,Business Admin-Undergrad,192N,1,Haas School of Business,interdisciplinary studies
44,2017 Spring,2,Business Admin-Undergrad,192T,1,Haas School of Business,interdisciplinary studies
45,2017 Spring,1,Chicano Studies,110,1,Clg of Letters & Science,interdisciplinary studies
46,2017 Spring,1,Chicano Studies,174,1,Clg of Letters & Science,interdisciplinary studies
47,2017 Spring,1,Chicano Studies,176,1,Clg of Letters & Science,interdisciplinary studies
48,2017 Spring,1,Chicano Studies,180AC,1,Clg of Letters & Science,interdisciplinary studies
49,2017 Spring,1,Chicano Studies,197,4,Clg of Letters & Science,interdisciplinary studies
50,2017 Spring,1,City & Regional Planning,113B,1,Clg of Environmental Design,interdisciplinary studies
51,2017 Spring,2,City & Regional Planning,114,1,Clg of Environmental Design,interdisciplinary studies
52,2017 Spring,4,City & Regional Planning,118AC,1,Clg of Environmental Design,interdisciplinary studies
53,2017 Spring,1,Classics,17B,1,Clg of Letters & Science,interdisciplinary studies
54,2017 Spring,1,Cognitive Science,C127,1,Clg of Letters & Science,interdisciplinary studies
55,2017 Spring,1,Cognitive Science,198,3,Clg of Letters & Science,interdisciplinary studies
56,2017 Spring,1,Cognitive Science,198,5,Clg of Letters & Science,interdisciplinary studies
57,2017 Spring,1,College Writing Programs,9C,1,Clg of Letters & Science,interdisciplinary studies
58,2017 Spring,5,Computer Science,C8,1,Clg of Engineering,interdisciplinary studies
59,2017 Spring,1,Computer Science,61A,1,Clg of Engineering,interdisciplinary studies
60,2017 Spring,1,Computer Science,61B,1,Clg of Engineering,interdisciplinary studies
61,2017 Spring,1,Computer Science,189,1,Clg of Engineering,interdisciplinary studies
62,2017 Spring,4,Computer Science,195,1,Clg of Engineering,interdisciplinary studies
63,2017 Spring,1,Computer Science,198,56,Clg of Engineering,interdisciplinary studies
64,2017 Spring,1,Computer Science,198,67,Clg of Engineering,interdisciplinary studies
65,2017 Spring,1,Computer Science,198,75,Clg of Engineering,interdisciplinary studies
66,2017 Spring,1,Computer Science,198,195,Clg of Engineering,interdisciplinary studies
67,2017 Spring,2,Demography,C175,1,Clg of Letters & Science,interdisciplinary studies
68,2017 Spring,2,Design Innovation,98,1,Clg of Engineering,interdisciplinary studies
69,2017 Spring,1,Design Innovation,190,3,Clg of Engineering,interdisciplinary studies
70,2017 Spring,1,Design Innovation,198,1,Clg of Engineering,interdisciplinary studies
71,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,interdisciplinary studies
72,2017 Spring,4,Development Studies,C100,1,Clg of Letters & Science,interdisciplinary studies
73,2017 Spring,2,East Asian Languages,112,1,Clg of Letters & Science,interdisciplinary studies
74,2017 Spring,3,Economics,115,1,Clg of Letters & Science,interdisciplinary studies
75,2017 Spring,1,Economics,133,1,Clg of Letters & Science,interdisciplinary studies
76,2017 Spring,2,Economics,138,1,Clg of Letters & Science,interdisciplinary studies
77,2017 Spring,1,Economics,139,1,Clg of Letters & Science,interdisciplinary studies
78,2017 Spring,1,Economics,140,1,Clg of Letters & Science,interdisciplinary studies
79,2017 Spring,1,Economics,141,1,Clg of Letters & Science,interdisciplinary studies
80,2017 Spring,1,Economics,151,1,Clg of Letters & Science,interdisciplinary studies
81,2017 Spring,1,Economics,157,1,Clg of Letters & Science,interdisciplinary studies
82,2017 Spring,1,Economics,174,1,Clg of Letters & Science,interdisciplinary studies
83,2017 Spring,2,Education,W142,1,Grad School of Education,interdisciplinary studies
84,2017 Spring,3,Education,182AC,1,Grad School of Education,interdisciplinary studies
85,2017 Spring,2,Education,188F,1,Grad School of Education,interdisciplinary studies
86,2017 Spring,1,Education,197,12,Grad School of Education,interdisciplinary studies
87,2017 Spring,1,Education,198,33,Grad School of Education,interdisciplinary studies
88,2017 Spring,1,Electrical Engineering,127,1,Clg of Engineering,interdisciplinary studies
89,2017 Spring,1,Engineering,26,1,Clg of Engineering,interdisciplinary studies
90,2017 Spring,1,English,143A,2,Clg of Letters & Science,interdisciplinary studies
91,2017 Spring,1,English,143A,3,Clg of Letters & Science,interdisciplinary studies
92,2017 Spring,1,English,198,1,Clg of Letters & Science,interdisciplinary studies
93,2017 Spring,1,English,198,5,Clg of Letters & Science,interdisciplinary studies
94,2017 Spring,1,English,198,6,Clg of Letters & Science,interdisciplinary studies
95,2017 Spring,1,"Env Sci, Policy, & Mgmt",98,2,Clg of Natural Resources,interdisciplinary studies
96,2017 Spring,1,"Env Sci, Policy, & Mgmt",113,1,Clg of Natural Resources,interdisciplinary studies
97,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,interdisciplinary studies
98,2017 Spring,1,"Env Sci, Policy, & Mgmt",165,1,Clg of Natural Resources,interdisciplinary studies
99,2017 Spring,1,"Env Sci, Policy, & Mgmt",168,1,Clg of Natural Resources,interdisciplinary studies
100,2017 Spring,1,"Env Sci, Policy, & Mgmt",197,4,Clg of Natural Resources,interdisciplinary studies
101,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,2,Clg of Natural Resources,interdisciplinary studies
