Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,2,Astronomy,C12,1,Clg of Letters & Science,italian studies
1,2017 Spring,1,Celtic Studies,173,1,Clg of Letters & Science,italian studies
2,2017 Spring,1,Chemistry,1B,1,Clg of Chemistry,italian studies
3,2017 Spring,1,English,80K,1,Clg of Letters & Science,italian studies
4,2017 Spring,1,English,166,5,Clg of Letters & Science,italian studies
5,2017 Spring,1,English,190,11,Clg of Letters & Science,italian studies
6,2017 Spring,1,English,198BC,3,Clg of Letters & Science,italian studies
7,2017 Spring,1,History,C191,1,Clg of Letters & Science,italian studies
8,2017 Spring,1,Integrative Biology,131L,2,Clg of Letters & Science,italian studies
9,2017 Spring,1,Italian Studies,30,1,Clg of Letters & Science,italian studies
10,2017 Spring,2,Italian Studies,102,1,Clg of Letters & Science,italian studies
11,2017 Spring,3,Italian Studies,105,1,Clg of Letters & Science,italian studies
12,2017 Spring,1,Italian Studies,120,1,Clg of Letters & Science,italian studies
13,2017 Spring,4,Italian Studies,197,1,Clg of Letters & Science,italian studies
14,2017 Spring,1,Letters & Science,22,1,Clg of Letters & Science,italian studies
15,2017 Spring,1,Linguistics,1B,2,Clg of Letters & Science,italian studies
16,2017 Spring,1,Psychology,2,1,Clg of Letters & Science,italian studies
17,2017 Spring,1,Psychology,110,1,Clg of Letters & Science,italian studies
18,2017 Spring,1,Psychology,166AC,1,Clg of Letters & Science,italian studies
19,2017 Spring,1,Sociology,150,1,Clg of Letters & Science,italian studies
