Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Asian Studies,198,4,Clg of Letters & Science,japanese
1,2017 Spring,1,Astronomy,198,2,Clg of Letters & Science,japanese
2,2017 Spring,1,Buddhist Studies,190,1,Clg of Letters & Science,japanese
3,2017 Spring,1,Chinese,7B,1,Clg of Letters & Science,japanese
4,2017 Spring,1,Chinese,10X,3,Clg of Letters & Science,japanese
5,2017 Spring,1,Chinese,101,1,Clg of Letters & Science,japanese
6,2017 Spring,1,Chinese,110B,1,Clg of Letters & Science,japanese
7,2017 Spring,1,Chinese,155,1,Clg of Letters & Science,japanese
8,2017 Spring,1,City & Regional Planning,101,1,Clg of Environmental Design,japanese
9,2017 Spring,1,City & Regional Planning,113B,1,Clg of Environmental Design,japanese
10,2017 Spring,1,City & Regional Planning,114,1,Clg of Environmental Design,japanese
11,2017 Spring,1,Cognitive Science,1,1,Clg of Letters & Science,japanese
12,2017 Spring,1,Computer Science,61B,1,Clg of Engineering,japanese
13,2017 Spring,3,East Asian Languages,105,1,Clg of Letters & Science,japanese
14,2017 Spring,1,East Asian Languages,110,1,Clg of Letters & Science,japanese
15,2017 Spring,1,East Asian Languages,115,1,Clg of Letters & Science,japanese
16,2017 Spring,1,East Asian Languages,C128,1,Clg of Letters & Science,japanese
17,2017 Spring,1,Education,198,36,Grad School of Education,japanese
18,2017 Spring,1,English,111,1,Clg of Letters & Science,japanese
19,2017 Spring,1,Environ Econ & Policy,C118,1,Clg of Natural Resources,japanese
20,2017 Spring,1,Ethnic Studies,198,7,Clg of Letters & Science,japanese
21,2017 Spring,1,Japanese,1B,6,Clg of Letters & Science,japanese
22,2017 Spring,3,Japanese,7B,1,Clg of Letters & Science,japanese
23,2017 Spring,1,Japanese,10B,2,Clg of Letters & Science,japanese
24,2017 Spring,3,Japanese,100B,1,Clg of Letters & Science,japanese
25,2017 Spring,4,Japanese,100B,2,Clg of Letters & Science,japanese
26,2017 Spring,2,Japanese,100X,1,Clg of Letters & Science,japanese
27,2017 Spring,7,Japanese,C141,1,Clg of Letters & Science,japanese
28,2017 Spring,11,Japanese,155,1,Clg of Letters & Science,japanese
29,2017 Spring,2,Japanese,161,1,Clg of Letters & Science,japanese
30,2017 Spring,1,Korean,10B,2,Clg of Letters & Science,japanese
31,2017 Spring,1,Korean,187,1,Clg of Letters & Science,japanese
32,2017 Spring,1,Landscape Arch & Env Plan,170,1,Clg of Environmental Design,japanese
33,2017 Spring,1,Linguistics,115,1,Clg of Letters & Science,japanese
34,2017 Spring,1,Linguistics,197,1,Clg of Letters & Science,japanese
35,2017 Spring,1,Molecular & Cell Biology,C61,1,Clg of Letters & Science,japanese
36,2017 Spring,1,Music,26AC,1,Clg of Letters & Science,japanese
37,2017 Spring,1,Physical Education,2,1,Clg of Letters & Science,japanese
38,2017 Spring,1,Physical Education,2,9,Clg of Letters & Science,japanese
39,2017 Spring,1,Political Science,143B,1,Clg of Letters & Science,japanese
40,2017 Spring,1,Psychology,C143,1,Clg of Letters & Science,japanese
41,2017 Spring,1,Sociology,110,1,Clg of Letters & Science,japanese
