Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,5B,1,Clg of Letters & Science,landscape architecture
1,2017 Spring,1,African American Studies,198BC,1,Clg of Letters & Science,landscape architecture
2,2017 Spring,1,Anthropology,137,1,Clg of Letters & Science,landscape architecture
3,2017 Spring,1,Architecture,98BC,2,Clg of Environmental Design,landscape architecture
4,2017 Spring,2,Architecture,109,1,Clg of Environmental Design,landscape architecture
5,2017 Spring,1,Architecture,160,1,Clg of Environmental Design,landscape architecture
6,2017 Spring,1,Art Practice,100,1,Clg of Letters & Science,landscape architecture
7,2017 Spring,1,Asian American Studies,20A,1,Clg of Letters & Science,landscape architecture
8,2017 Spring,1,Asian American Studies,121,1,Clg of Letters & Science,landscape architecture
9,2017 Spring,1,Biology,1A,1,Clg of Letters & Science,landscape architecture
10,2017 Spring,1,Biology,1AL,1,Clg of Letters & Science,landscape architecture
11,2017 Spring,1,Buddhist Studies,C115,1,Clg of Letters & Science,landscape architecture
12,2017 Spring,1,Chemistry,1A,1,Clg of Chemistry,landscape architecture
13,2017 Spring,1,Chemistry,1AL,2,Clg of Chemistry,landscape architecture
14,2017 Spring,1,Chicano Studies,197,1,Clg of Letters & Science,landscape architecture
15,2017 Spring,1,City & Regional Planning,113B,1,Clg of Environmental Design,landscape architecture
16,2017 Spring,3,City & Regional Planning,114,1,Clg of Environmental Design,landscape architecture
17,2017 Spring,2,City & Regional Planning,118AC,1,Clg of Environmental Design,landscape architecture
18,2017 Spring,3,City & Regional Planning,120,1,Clg of Environmental Design,landscape architecture
19,2017 Spring,1,City & Regional Planning,180,1,Clg of Environmental Design,landscape architecture
20,2017 Spring,3,City & Regional Planning,190,1,Clg of Environmental Design,landscape architecture
21,2017 Spring,1,Civil & Environmental Eng,98,3,Clg of Engineering,landscape architecture
22,2017 Spring,1,Civil & Environmental Eng,198,6,Clg of Engineering,landscape architecture
23,2017 Spring,1,Cognitive Science,198,5,Clg of Letters & Science,landscape architecture
24,2017 Spring,1,College Writing Programs,R4B,7,Clg of Letters & Science,landscape architecture
25,2017 Spring,1,Design Innovation,98,1,Clg of Engineering,landscape architecture
26,2017 Spring,1,Design Innovation,198,3,Clg of Engineering,landscape architecture
27,2017 Spring,1,Earth & Planetary Science,39A,1,Clg of Letters & Science,landscape architecture
28,2017 Spring,2,Earth & Planetary Science,50,1,Clg of Letters & Science,landscape architecture
29,2017 Spring,1,English,R1B,16,Clg of Letters & Science,landscape architecture
30,2017 Spring,1,English,119,1,Clg of Letters & Science,landscape architecture
31,2017 Spring,2,English,166,5,Clg of Letters & Science,landscape architecture
32,2017 Spring,1,"Env Sci, Policy, & Mgmt",50AC,1,Clg of Natural Resources,landscape architecture
33,2017 Spring,1,"Env Sci, Policy, & Mgmt",72,1,Clg of Natural Resources,landscape architecture
34,2017 Spring,1,"Env Sci, Policy, & Mgmt",102C,1,Clg of Natural Resources,landscape architecture
35,2017 Spring,2,"Env Sci, Policy, & Mgmt",102D,1,Clg of Natural Resources,landscape architecture
36,2017 Spring,1,"Env Sci, Policy, & Mgmt",113,1,Clg of Natural Resources,landscape architecture
37,2017 Spring,1,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,landscape architecture
38,2017 Spring,1,"Env Sci, Policy, & Mgmt",C167,1,Clg of Natural Resources,landscape architecture
39,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,8,Clg of Natural Resources,landscape architecture
40,2017 Spring,1,Environmental Design,R3B,1,Clg of Environmental Design,landscape architecture
41,2017 Spring,9,Environmental Design,4B,1,Clg of Environmental Design,landscape architecture
42,2017 Spring,9,Environmental Design,4C,1,Clg of Environmental Design,landscape architecture
43,2017 Spring,6,Environmental Design,100,1,Clg of Environmental Design,landscape architecture
44,2017 Spring,1,Environmental Design,193,1,Clg of Environmental Design,landscape architecture
45,2017 Spring,1,Gender & Womens Studies,134,1,Clg of Letters & Science,landscape architecture
46,2017 Spring,2,Geography,130,1,Clg of Letters & Science,landscape architecture
47,2017 Spring,1,Geography,185,1,Clg of Letters & Science,landscape architecture
48,2017 Spring,1,History,124B,1,Clg of Letters & Science,landscape architecture
49,2017 Spring,1,History,160,1,Clg of Letters & Science,landscape architecture
50,2017 Spring,1,Integrative Biology,198,6,Clg of Letters & Science,landscape architecture
51,2017 Spring,1,Japanese,188,1,Clg of Letters & Science,landscape architecture
52,2017 Spring,9,Landscape Arch & Env Plan,1,1,Clg of Environmental Design,landscape architecture
53,2017 Spring,16,Landscape Arch & Env Plan,102,1,Clg of Environmental Design,landscape architecture
54,2017 Spring,13,Landscape Arch & Env Plan,112,1,Clg of Environmental Design,landscape architecture
55,2017 Spring,23,Landscape Arch & Env Plan,121,1,Clg of Environmental Design,landscape architecture
56,2017 Spring,1,Landscape Arch & Env Plan,122,1,Clg of Environmental Design,landscape architecture
57,2017 Spring,1,Landscape Arch & Env Plan,130,1,Clg of Environmental Design,landscape architecture
58,2017 Spring,1,Landscape Arch & Env Plan,140,1,Clg of Environmental Design,landscape architecture
59,2017 Spring,13,Landscape Arch & Env Plan,160,1,Clg of Environmental Design,landscape architecture
60,2017 Spring,12,Landscape Arch & Env Plan,170,1,Clg of Environmental Design,landscape architecture
61,2017 Spring,1,Letters & Science,25,1,Clg of Letters & Science,landscape architecture
62,2017 Spring,1,Linguistics,1B,2,Clg of Letters & Science,landscape architecture
63,2017 Spring,1,Mathematics,1B,1,Clg of Letters & Science,landscape architecture
64,2017 Spring,1,Mathematics,16A,1,Clg of Letters & Science,landscape architecture
65,2017 Spring,1,Mathematics,198,1,Clg of Letters & Science,landscape architecture
66,2017 Spring,1,Music,26AC,1,Clg of Letters & Science,landscape architecture
67,2017 Spring,1,Native American Studies,R1B,1,Clg of Letters & Science,landscape architecture
