Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,122E,1,Clg of Letters & Science,latin american studies
1,2017 Spring,1,Business Admin-Undergrad,141,1,Haas School of Business,latin american studies
2,2017 Spring,1,Business Admin-Undergrad,192T,2,Haas School of Business,latin american studies
3,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,latin american studies
4,2017 Spring,1,Chicano Studies,180AC,1,Clg of Letters & Science,latin american studies
5,2017 Spring,1,Computer Science,61A,1,Clg of Engineering,latin american studies
6,2017 Spring,1,English,190,1,Clg of Letters & Science,latin american studies
7,2017 Spring,1,"Env Sci, Policy, & Mgmt",165,1,Clg of Natural Resources,latin american studies
8,2017 Spring,1,"Env Sci, Policy, & Mgmt",168,1,Clg of Natural Resources,latin american studies
9,2017 Spring,1,"Env Sci, Policy, & Mgmt",194B,1,Clg of Natural Resources,latin american studies
10,2017 Spring,1,Ethnic Studies,144AC,1,Clg of Letters & Science,latin american studies
11,2017 Spring,2,History,8B,1,Clg of Letters & Science,latin american studies
12,2017 Spring,1,History,103E,1,Clg of Letters & Science,latin american studies
13,2017 Spring,4,History,141B,1,Clg of Letters & Science,latin american studies
14,2017 Spring,1,Latin American Studies,H195,1,Clg of Letters & Science,latin american studies
15,2017 Spring,1,Legal Studies,132AC,1,School of Law,latin american studies
16,2017 Spring,1,Legal Studies,154,1,School of Law,latin american studies
17,2017 Spring,2,Mathematics,32,1,Clg of Letters & Science,latin american studies
18,2017 Spring,1,Molecular & Cell Biology,15,1,Clg of Letters & Science,latin american studies
19,2017 Spring,1,Political Science,116A,1,Clg of Letters & Science,latin american studies
20,2017 Spring,1,Political Science,148A,1,Clg of Letters & Science,latin american studies
21,2017 Spring,1,Portuguese,104,1,Clg of Letters & Science,latin american studies
22,2017 Spring,1,Portuguese,113,1,Clg of Letters & Science,latin american studies
23,2017 Spring,1,Portuguese,135,2,Clg of Letters & Science,latin american studies
24,2017 Spring,1,Psychology,2,1,Clg of Letters & Science,latin american studies
25,2017 Spring,1,Sociology,130,1,Clg of Letters & Science,latin american studies
26,2017 Spring,1,Sociology,190,6,Clg of Letters & Science,latin american studies
27,2017 Spring,1,Spanish,25,2,Clg of Letters & Science,latin american studies
28,2017 Spring,1,Spanish,100,1,Clg of Letters & Science,latin american studies
29,2017 Spring,1,Spanish,104B,1,Clg of Letters & Science,latin american studies
30,2017 Spring,1,Spanish,107B,1,Clg of Letters & Science,latin american studies
31,2017 Spring,1,Spanish,111B,1,Clg of Letters & Science,latin american studies
32,2017 Spring,1,Spanish,135,2,Clg of Letters & Science,latin american studies
33,2017 Spring,1,Spanish,135,3,Clg of Letters & Science,latin american studies
34,2017 Spring,1,Spanish,135,5,Clg of Letters & Science,latin american studies
35,2017 Spring,1,Spanish,135W,1,Clg of Letters & Science,latin american studies
