Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,3,African American Studies,5B,1,Clg of Letters & Science,legal studies
1,2017 Spring,1,African American Studies,115,1,Clg of Letters & Science,legal studies
2,2017 Spring,4,African American Studies,117,1,Clg of Letters & Science,legal studies
3,2017 Spring,1,African American Studies,118,1,Clg of Letters & Science,legal studies
4,2017 Spring,1,African American Studies,139,2,Clg of Letters & Science,legal studies
5,2017 Spring,2,African American Studies,142AC,1,Clg of Letters & Science,legal studies
6,2017 Spring,2,African American Studies,C156,1,Clg of Letters & Science,legal studies
7,2017 Spring,1,African American Studies,156AC,1,Clg of Letters & Science,legal studies
8,2017 Spring,2,African American Studies,197,3,Clg of Letters & Science,legal studies
9,2017 Spring,1,American Studies,10,1,Clg of Letters & Science,legal studies
10,2017 Spring,1,American Studies,101,1,Clg of Letters & Science,legal studies
11,2017 Spring,2,Anthropology,2AC,1,Clg of Letters & Science,legal studies
12,2017 Spring,1,Anthropology,3AC,1,Clg of Letters & Science,legal studies
13,2017 Spring,3,Anthropology,137,1,Clg of Letters & Science,legal studies
14,2017 Spring,3,Anthropology,160AC,1,Clg of Letters & Science,legal studies
15,2017 Spring,1,Anthropology,180,1,Clg of Letters & Science,legal studies
16,2017 Spring,1,Arabic,1B,3,Clg of Letters & Science,legal studies
17,2017 Spring,1,Arabic,20B,1,Clg of Letters & Science,legal studies
18,2017 Spring,2,Architecture,198,4,Clg of Environmental Design,legal studies
19,2017 Spring,1,Armenian,126,1,Clg of Letters & Science,legal studies
20,2017 Spring,3,Asian American Studies,121,1,Clg of Letters & Science,legal studies
21,2017 Spring,2,Asian American Studies,144,1,Clg of Letters & Science,legal studies
22,2017 Spring,1,Asian American Studies,197,1,Clg of Letters & Science,legal studies
23,2017 Spring,1,Asian American Studies,197,13,Clg of Letters & Science,legal studies
24,2017 Spring,1,Asian Studies,150,1,Clg of Letters & Science,legal studies
25,2017 Spring,1,Asian Studies,150,2,Clg of Letters & Science,legal studies
26,2017 Spring,1,Asian Studies,198,1,Clg of Letters & Science,legal studies
27,2017 Spring,1,Asian Studies,198,4,Clg of Letters & Science,legal studies
28,2017 Spring,1,Astronomy,C12,1,Clg of Letters & Science,legal studies
29,2017 Spring,1,Buddhist Studies,C117,1,Clg of Letters & Science,legal studies
30,2017 Spring,1,Business Admin-Undergrad,10,1,Haas School of Business,legal studies
31,2017 Spring,1,Business Admin-Undergrad,96,1,Haas School of Business,legal studies
32,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,legal studies
33,2017 Spring,2,Business Admin-Undergrad,102A,1,Haas School of Business,legal studies
34,2017 Spring,1,Business Admin-Undergrad,102B,2,Haas School of Business,legal studies
35,2017 Spring,2,Business Admin-Undergrad,107,1,Haas School of Business,legal studies
36,2017 Spring,1,Business Admin-Undergrad,120AB,1,Haas School of Business,legal studies
37,2017 Spring,1,Business Admin-Undergrad,155,1,Haas School of Business,legal studies
38,2017 Spring,1,Business Admin-Undergrad,170,1,Haas School of Business,legal studies
39,2017 Spring,1,Business Admin-Undergrad,180,1,Haas School of Business,legal studies
40,2017 Spring,1,Business Admin-Undergrad,192A,1,Haas School of Business,legal studies
41,2017 Spring,2,Business Admin-Undergrad,192N,1,Haas School of Business,legal studies
42,2017 Spring,1,Business Admin-Undergrad,196,1,Haas School of Business,legal studies
43,2017 Spring,1,Business Admin-Undergrad,196,2,Haas School of Business,legal studies
44,2017 Spring,1,Business Admin-Undergrad,198,7,Haas School of Business,legal studies
45,2017 Spring,1,Celtic Studies,125,1,Clg of Letters & Science,legal studies
46,2017 Spring,4,Chicano Studies,50,1,Clg of Letters & Science,legal studies
47,2017 Spring,3,Chicano Studies,150B,1,Clg of Letters & Science,legal studies
48,2017 Spring,1,Chicano Studies,174,1,Clg of Letters & Science,legal studies
49,2017 Spring,3,Chicano Studies,180,1,Clg of Letters & Science,legal studies
50,2017 Spring,2,Chicano Studies,197,1,Clg of Letters & Science,legal studies
51,2017 Spring,1,Chinese,1A,4,Clg of Letters & Science,legal studies
52,2017 Spring,1,Chinese,7B,1,Clg of Letters & Science,legal studies
53,2017 Spring,1,Chinese,10B,1,Clg of Letters & Science,legal studies
54,2017 Spring,2,Chinese,101,1,Clg of Letters & Science,legal studies
55,2017 Spring,1,Chinese,110B,1,Clg of Letters & Science,legal studies
56,2017 Spring,2,Chinese,155,1,Clg of Letters & Science,legal studies
57,2017 Spring,2,City & Regional Planning,113B,1,Clg of Environmental Design,legal studies
58,2017 Spring,1,City & Regional Planning,118AC,1,Clg of Environmental Design,legal studies
59,2017 Spring,1,City & Regional Planning,198,1,Clg of Environmental Design,legal studies
60,2017 Spring,2,Classics,28,1,Clg of Letters & Science,legal studies
61,2017 Spring,2,Cognitive Science,C126,1,Clg of Letters & Science,legal studies
62,2017 Spring,3,Cognitive Science,198,5,Clg of Letters & Science,legal studies
63,2017 Spring,1,Cognitive Science,198,6,Clg of Letters & Science,legal studies
64,2017 Spring,1,College Writing Programs,1,3,Clg of Letters & Science,legal studies
65,2017 Spring,1,Comparative Literature,R1A,6,Clg of Letters & Science,legal studies
66,2017 Spring,1,Computer Science,C8,1,Clg of Engineering,legal studies
67,2017 Spring,2,Computer Science,61A,1,Clg of Engineering,legal studies
68,2017 Spring,1,Computer Science,198,56,Clg of Engineering,legal studies
69,2017 Spring,1,Design Innovation,198,2,Clg of Engineering,legal studies
70,2017 Spring,3,Development Studies,C100,1,Clg of Letters & Science,legal studies
71,2017 Spring,2,Dutch,166,1,Clg of Letters & Science,legal studies
72,2017 Spring,2,East Asian Languages,112,1,Clg of Letters & Science,legal studies
73,2017 Spring,2,Economics,2,1,Clg of Letters & Science,legal studies
74,2017 Spring,1,Economics,100A,1,Clg of Letters & Science,legal studies
75,2017 Spring,2,Economics,113,1,Clg of Letters & Science,legal studies
76,2017 Spring,2,Economics,115,1,Clg of Letters & Science,legal studies
77,2017 Spring,1,Economics,121,1,Clg of Letters & Science,legal studies
78,2017 Spring,2,Economics,133,1,Clg of Letters & Science,legal studies
79,2017 Spring,1,Economics,138,1,Clg of Letters & Science,legal studies
80,2017 Spring,1,Economics,139,1,Clg of Letters & Science,legal studies
81,2017 Spring,4,Economics,140,1,Clg of Letters & Science,legal studies
82,2017 Spring,2,Economics,151,1,Clg of Letters & Science,legal studies
83,2017 Spring,1,Economics,C175,1,Clg of Letters & Science,legal studies
84,2017 Spring,1,Economics,C181,1,Clg of Letters & Science,legal studies
85,2017 Spring,1,Economics,191,1,Clg of Letters & Science,legal studies
86,2017 Spring,1,Education,W140A,1,Grad School of Education,legal studies
87,2017 Spring,4,Education,182AC,1,Grad School of Education,legal studies
88,2017 Spring,3,Education,183,1,Grad School of Education,legal studies
89,2017 Spring,1,Education,197,1,Grad School of Education,legal studies
90,2017 Spring,2,Education,197,3,Grad School of Education,legal studies
91,2017 Spring,1,Education,198,1,Grad School of Education,legal studies
92,2017 Spring,1,Education,198,24,Grad School of Education,legal studies
93,2017 Spring,1,Education,198,25,Grad School of Education,legal studies
94,2017 Spring,1,Education,198,33,Grad School of Education,legal studies
95,2017 Spring,1,Education,198,35,Grad School of Education,legal studies
96,2017 Spring,1,Education,198,38,Grad School of Education,legal studies
97,2017 Spring,1,Education,198,42,Grad School of Education,legal studies
98,2017 Spring,1,Electrical Engineering,198,1,Clg of Engineering,legal studies
99,2017 Spring,1,English,45A,1,Clg of Letters & Science,legal studies
100,2017 Spring,1,English,45B,1,Clg of Letters & Science,legal studies
101,2017 Spring,1,English,105,1,Clg of Letters & Science,legal studies
102,2017 Spring,1,English,125E,1,Clg of Letters & Science,legal studies
103,2017 Spring,2,English,141,1,Clg of Letters & Science,legal studies
104,2017 Spring,1,English,198,7,Clg of Letters & Science,legal studies
105,2017 Spring,3,"Env Sci, Policy, & Mgmt",C11,1,Clg of Natural Resources,legal studies
106,2017 Spring,1,"Env Sci, Policy, & Mgmt",15,1,Clg of Natural Resources,legal studies
107,2017 Spring,1,"Env Sci, Policy, & Mgmt",40,1,Clg of Natural Resources,legal studies
108,2017 Spring,1,"Env Sci, Policy, & Mgmt",113,1,Clg of Natural Resources,legal studies
109,2017 Spring,2,"Env Sci, Policy, & Mgmt",150,2,Clg of Natural Resources,legal studies
110,2017 Spring,3,"Env Sci, Policy, & Mgmt",163AC,1,Clg of Natural Resources,legal studies
111,2017 Spring,2,"Env Sci, Policy, & Mgmt",C167,1,Clg of Natural Resources,legal studies
112,2017 Spring,4,"Env Sci, Policy, & Mgmt",168,1,Clg of Natural Resources,legal studies
113,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,13,Clg of Natural Resources,legal studies
114,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,15,Clg of Natural Resources,legal studies
115,2017 Spring,1,"Env Sci, Policy, & Mgmt",198BC,3,Clg of Natural Resources,legal studies
116,2017 Spring,2,Environ Econ & Policy,143,1,Clg of Natural Resources,legal studies
117,2017 Spring,1,Environ Econ & Policy,162,1,Clg of Natural Resources,legal studies
118,2017 Spring,1,Environmental Design,4C,1,Clg of Environmental Design,legal studies
119,2017 Spring,1,Environmental Design,100,1,Clg of Environmental Design,legal studies
120,2017 Spring,3,Ethnic Studies,11AC,1,Clg of Letters & Science,legal studies
121,2017 Spring,1,Ethnic Studies,21AC,1,Clg of Letters & Science,legal studies
122,2017 Spring,1,Ethnic Studies,100,1,Clg of Letters & Science,legal studies
123,2017 Spring,2,Ethnic Studies,101B,1,Clg of Letters & Science,legal studies
124,2017 Spring,1,Ethnic Studies,103A,1,Clg of Letters & Science,legal studies
125,2017 Spring,2,Ethnic Studies,144AC,1,Clg of Letters & Science,legal studies
126,2017 Spring,9,Ethnic Studies,181AC,1,Clg of Letters & Science,legal studies
