Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,African American Studies,142AC,1,Clg of Letters & Science,linguistics
1,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,linguistics
2,2017 Spring,1,Anthropology,156,1,Clg of Letters & Science,linguistics
3,2017 Spring,1,Anthropology,162,1,Clg of Letters & Science,linguistics
4,2017 Spring,1,Arabic,107,1,Clg of Letters & Science,linguistics
5,2017 Spring,1,Asian American Studies,R2B,2,Clg of Letters & Science,linguistics
6,2017 Spring,1,Asian Studies,198,5,Clg of Letters & Science,linguistics
7,2017 Spring,2,Astronomy,198,2,Clg of Letters & Science,linguistics
8,2017 Spring,1,Business Admin-Undergrad,10,1,Haas School of Business,linguistics
9,2017 Spring,1,Business Admin-Undergrad,96,2,Haas School of Business,linguistics
10,2017 Spring,1,Business Admin-Undergrad,96,3,Haas School of Business,linguistics
11,2017 Spring,1,Business Admin-Undergrad,102A,1,Haas School of Business,linguistics
12,2017 Spring,1,Business Admin-Undergrad,195A,1,Haas School of Business,linguistics
13,2017 Spring,1,Celtic Studies,105A,1,Clg of Letters & Science,linguistics
14,2017 Spring,1,Chemistry,C191,1,Clg of Chemistry,linguistics
15,2017 Spring,1,Chinese,110B,1,Clg of Letters & Science,linguistics
16,2017 Spring,1,Chinese,112,1,Clg of Letters & Science,linguistics
17,2017 Spring,1,Chinese,155,1,Clg of Letters & Science,linguistics
18,2017 Spring,1,City & Regional Planning,118AC,1,Clg of Environmental Design,linguistics
19,2017 Spring,1,Classics,28,1,Clg of Letters & Science,linguistics
20,2017 Spring,1,Classics,130,1,Clg of Letters & Science,linguistics
21,2017 Spring,1,Cognitive Science,C126,1,Clg of Letters & Science,linguistics
22,2017 Spring,1,Cognitive Science,C127,1,Clg of Letters & Science,linguistics
23,2017 Spring,1,Cognitive Science,C140,1,Clg of Letters & Science,linguistics
24,2017 Spring,1,Comparative Literature,112B,1,Clg of Letters & Science,linguistics
25,2017 Spring,1,Computer Science,97,1,Clg of Engineering,linguistics
26,2017 Spring,4,Computer Science,161,1,Clg of Engineering,linguistics
27,2017 Spring,2,Computer Science,170,1,Clg of Engineering,linguistics
28,2017 Spring,3,Computer Science,189,1,Clg of Engineering,linguistics
29,2017 Spring,1,Economics,1,1,Clg of Letters & Science,linguistics
30,2017 Spring,1,Education,114A,1,Grad School of Education,linguistics
31,2017 Spring,1,Education,W140A,1,Grad School of Education,linguistics
32,2017 Spring,1,Education,140AC,3,Grad School of Education,linguistics
33,2017 Spring,1,Education,182AC,1,Grad School of Education,linguistics
34,2017 Spring,2,Education,188F,1,Grad School of Education,linguistics
35,2017 Spring,1,Education,197,2,Grad School of Education,linguistics
36,2017 Spring,1,Education,198,9,Grad School of Education,linguistics
37,2017 Spring,1,Education,198,11,Grad School of Education,linguistics
38,2017 Spring,1,English,R1B,6,Clg of Letters & Science,linguistics
39,2017 Spring,1,English,80K,1,Clg of Letters & Science,linguistics
40,2017 Spring,1,English,111,1,Clg of Letters & Science,linguistics
41,2017 Spring,1,English,143A,1,Clg of Letters & Science,linguistics
42,2017 Spring,1,English,C181,1,Clg of Letters & Science,linguistics
43,2017 Spring,1,English,198BC,6,Clg of Letters & Science,linguistics
44,2017 Spring,1,"Env Sci, Policy, & Mgmt",40,1,Clg of Natural Resources,linguistics
45,2017 Spring,1,"Env Sci, Policy, & Mgmt",198,9,Clg of Natural Resources,linguistics
46,2017 Spring,1,Environmental Design,100,1,Clg of Environmental Design,linguistics
47,2017 Spring,1,Ethnic Studies,100,1,Clg of Letters & Science,linguistics
48,2017 Spring,1,Film,108,1,Clg of Letters & Science,linguistics
49,2017 Spring,1,Film,108,3,Clg of Letters & Science,linguistics
50,2017 Spring,1,Film,140,1,Clg of Letters & Science,linguistics
51,2017 Spring,1,Film,160,2,Clg of Letters & Science,linguistics
52,2017 Spring,1,French,1,5,Clg of Letters & Science,linguistics
53,2017 Spring,1,French,R1B,4,Clg of Letters & Science,linguistics
54,2017 Spring,1,French,3,2,Clg of Letters & Science,linguistics
55,2017 Spring,1,French,3,4,Clg of Letters & Science,linguistics
56,2017 Spring,2,French,35,1,Clg of Letters & Science,linguistics
57,2017 Spring,1,French,117A,1,Clg of Letters & Science,linguistics
58,2017 Spring,1,French,120B,1,Clg of Letters & Science,linguistics
59,2017 Spring,1,French,140D,1,Clg of Letters & Science,linguistics
60,2017 Spring,1,French,161B,1,Clg of Letters & Science,linguistics
61,2017 Spring,1,Gender & Womens Studies,100AC,1,Clg of Letters & Science,linguistics
62,2017 Spring,1,Gender & Womens Studies,104,1,Clg of Letters & Science,linguistics
63,2017 Spring,1,Gender & Womens Studies,134,1,Clg of Letters & Science,linguistics
64,2017 Spring,1,Gender & Womens Studies,198,4,Clg of Letters & Science,linguistics
65,2017 Spring,1,Geography,20,1,Clg of Letters & Science,linguistics
66,2017 Spring,1,Geography,130,1,Clg of Letters & Science,linguistics
67,2017 Spring,1,Geography,157,1,Clg of Letters & Science,linguistics
68,2017 Spring,1,German,1,3,Clg of Letters & Science,linguistics
69,2017 Spring,1,Global Poverty & Practice,105,2,Clg of Letters & Science,linguistics
