Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,2AC,1,Clg of Letters & Science,ls chemistry
1,2017 Spring,1,Anthropology,174AC,1,Clg of Letters & Science,ls chemistry
2,2017 Spring,1,Asian American Studies,132AC,1,Clg of Letters & Science,ls chemistry
3,2017 Spring,1,Business Admin-Undergrad,107,1,Haas School of Business,ls chemistry
4,2017 Spring,1,Chemistry,4B,1,Clg of Chemistry,ls chemistry
5,2017 Spring,4,Chemistry,104B,1,Clg of Chemistry,ls chemistry
6,2017 Spring,3,Chemistry,105,1,Clg of Chemistry,ls chemistry
7,2017 Spring,1,Chemistry,C110L,1,Clg of Chemistry,ls chemistry
8,2017 Spring,3,Chemistry,112B,1,Clg of Chemistry,ls chemistry
9,2017 Spring,1,Chemistry,114,1,Clg of Chemistry,ls chemistry
10,2017 Spring,1,Chemistry,115,1,Clg of Chemistry,ls chemistry
11,2017 Spring,3,Chemistry,120A,1,Clg of Chemistry,ls chemistry
12,2017 Spring,1,Chemistry,125,1,Clg of Chemistry,ls chemistry
13,2017 Spring,1,Chemistry,146,1,Clg of Chemistry,ls chemistry
14,2017 Spring,1,Chemistry,C150,1,Clg of Chemistry,ls chemistry
15,2017 Spring,3,Chemistry,C182,1,Clg of Chemistry,ls chemistry
16,2017 Spring,1,College Writing Programs,10A,1,Clg of Letters & Science,ls chemistry
17,2017 Spring,1,Comparative Literature,60AC,1,Clg of Letters & Science,ls chemistry
18,2017 Spring,1,Computer Science,C8,1,Clg of Engineering,ls chemistry
19,2017 Spring,1,Computer Science,161,1,Clg of Engineering,ls chemistry
20,2017 Spring,1,Computer Science,186,1,Clg of Engineering,ls chemistry
21,2017 Spring,1,Computer Science,198,75,Clg of Engineering,ls chemistry
22,2017 Spring,1,Earth & Planetary Science,103,1,Clg of Letters & Science,ls chemistry
23,2017 Spring,1,Earth & Planetary Science,C180,1,Clg of Letters & Science,ls chemistry
24,2017 Spring,1,Earth & Planetary Science,C182,1,Clg of Letters & Science,ls chemistry
25,2017 Spring,1,Energy and Resources,190,1,Clg of Natural Resources,ls chemistry
26,2017 Spring,1,Environ Econ & Policy,147,1,Clg of Natural Resources,ls chemistry
27,2017 Spring,1,Environ Econ & Policy,C181,1,Clg of Natural Resources,ls chemistry
28,2017 Spring,1,Environmental Design,100,1,Clg of Environmental Design,ls chemistry
29,2017 Spring,1,Geography,20,1,Clg of Letters & Science,ls chemistry
30,2017 Spring,1,Geography,143,1,Clg of Letters & Science,ls chemistry
31,2017 Spring,1,Geography,185,1,Clg of Letters & Science,ls chemistry
32,2017 Spring,1,German,108,1,Clg of Letters & Science,ls chemistry
33,2017 Spring,1,History,103B,3,Clg of Letters & Science,ls chemistry
34,2017 Spring,1,History,103F,2,Clg of Letters & Science,ls chemistry
35,2017 Spring,1,History,114B,1,Clg of Letters & Science,ls chemistry
36,2017 Spring,1,History,119A,1,Clg of Letters & Science,ls chemistry
37,2017 Spring,1,History,124B,1,Clg of Letters & Science,ls chemistry
38,2017 Spring,1,History,160,1,Clg of Letters & Science,ls chemistry
39,2017 Spring,1,Interdisciplinary Studies,190,1,Clg of Letters & Science,ls chemistry
40,2017 Spring,1,Japanese,1B,1,Clg of Letters & Science,ls chemistry
41,2017 Spring,1,Legal Studies,132AC,1,School of Law,ls chemistry
42,2017 Spring,1,Linguistics,198,1,Clg of Letters & Science,ls chemistry
43,2017 Spring,1,Mathematics,105,1,Clg of Letters & Science,ls chemistry
44,2017 Spring,1,Mathematics,113,5,Clg of Letters & Science,ls chemistry
45,2017 Spring,1,Mathematics,126,1,Clg of Letters & Science,ls chemistry
46,2017 Spring,1,Mathematics,198,2,Clg of Letters & Science,ls chemistry
47,2017 Spring,1,Nutritional Science & Tox,11,1,Clg of Natural Resources,ls chemistry
48,2017 Spring,1,Philosophy,3,1,Clg of Letters & Science,ls chemistry
49,2017 Spring,1,Physical Education,1,15,Clg of Letters & Science,ls chemistry
50,2017 Spring,1,Physical Education,3,3,Clg of Letters & Science,ls chemistry
51,2017 Spring,1,Physics,7B,3,Clg of Letters & Science,ls chemistry
52,2017 Spring,1,Physics,105,1,Clg of Letters & Science,ls chemistry
53,2017 Spring,1,Physics,137B,1,Clg of Letters & Science,ls chemistry
54,2017 Spring,1,Physics,198BC,4,Clg of Letters & Science,ls chemistry
55,2017 Spring,1,Political Science,157A,1,Clg of Letters & Science,ls chemistry
56,2017 Spring,1,Public Health,198,12,School of Public Health,ls chemistry
57,2017 Spring,1,Public Policy,C103,1,Goldman School Public Policy,ls chemistry
58,2017 Spring,2,Statistics,131A,1,Clg of Letters & Science,ls chemistry
59,2017 Spring,1,Statistics,197,7,Clg of Letters & Science,ls chemistry
60,2017 Spring,1,Statistics,198,5,Clg of Letters & Science,ls chemistry
